id,climate,energy,environment,resources,sustainability,dedicated
A000003,0,0,0,0,0,0
A000025,0,0,0,0,0,0
A000028,0,0,0,0,0,0
A000032,0,0,0,0,0,0
A000039,0,0,0,0,0,0
A000060,0,0,0,0,0,0
A000070,0,0,0,0,0,0
A000077,0,0,0,0,0,0
A000102,0,0,0,0,0,0
A000134,0,0,0,0,0,0
A000143,0,0,0,0,0,0
A000147,0,0,0,0,0,0
A000151,0,0,0,0,0,0
A000159,0,0,0,0,0,0
A000166,0,0,0,0,0,0
A000167,0,0,0,0,0,0
A000175,0,0,0,0,0,0
A000177,0,0,0,0,0,0
A000184,0,0,0,0,0,0
A000186,0,0,0,0,0,0
A000197,0,0,0,0,0,0
A000211,0,0,0,0,0,0
A000223,0,0,0,0,0,0
A000226,0,0,0,0,0,0
A000256,0,0,0,0,0,0
A000271,0,0,0,0,0,0
A000281,0,0,0,0,0,0
A000292,0,0,0,0,0,0
A000322,0,0,0,0,0,0
A000334,0,0,0,0,0,0
A000335,0,0,0,0,0,0
A000337,0,0,0,0,0,0
A000339,0,0,0,0,0,0
A000341,0,0,0,0,0,0
A000350,0,0,0,0,0,0
A000352,0,0,0,0,0,0
A000359,0,0,0,0,0,0
A000389,0,0,0,0,0,0
A000398,0,0,0,0,0,0
A000408,0,0,0,0,0,0
A000418,0,0,0,0,0,0
A000419,0,0,0,0,0,0
A000432,0,0,0,0,0,0
A000438,0,0,0,0,0,0
A000441,0,0,0,0,0,0
A000449,0,0,0,0,0,0
A000454,0,0,0,0,0,0
A000455,0,0,0,0,0,0
A000469,0,0,0,0,0,0
A000473,0,0,0,0,0,0
A000477,0,0,0,0,0,0
A000483,0,0,0,0,0,0
A000487,0,0,0,0,0,0
A000491,0,0,0,0,0,0
A000492,0,0,0,0,0,0
A000496,0,0,0,0,0,0
A000498,0,0,0,0,0,0
A000542,0,0,0,0,0,0
A000543,0,0,0,0,0,0
A000552,0,0,0,0,0,0
A000574,0,0,0,0,0,0
A000583,0,0,0,0,0,0
A000593,0,0,0,0,0,0
A000607,0,0,0,0,0,0
A000619,0,0,0,0,0,0
A000663,0,0,0,0,0,0
A000677,0,0,0,0,0,0
A000680,0,0,0,0,0,0
A000686,0,0,0,0,0,0
A000688,0,0,0,0,0,0
A000692,0,0,0,0,0,0
A000695,0,0,0,0,0,0
A000712,0,0,0,0,0,0
A000721,0,0,0,0,0,0
A000724,0,0,0,0,0,0
A000731,0,0,0,0,0,0
A000765,0,0,0,0,0,0
A000779,0,0,0,0,0,0
A000790,0,0,0,0,0,0
A000868,0,0,0,0,0,0
A000883,0,0,0,0,0,0
A000891,0,0,0,0,0,0
A000895,0,0,0,0,0,0
A000896,0,0,0,0,0,0
A000911,0,0,0,0,0,0
A000914,0,0,0,0,0,0
A000935,0,0,0,0,0,0
A000943,0,0,0,0,0,0
A000951,0,0,0,0,0,0
A000959,0,0,0,0,0,0
A000961,0,0,0,0,0,0
A000962,0,0,0,0,0,0
A000966,0,0,0,0,0,0
A000974,0,0,0,0,0,0
A000977,0,0,0,0,0,0
A000983,0,0,0,0,0,0
A001008,0,0,0,0,0,0
A001009,0,0,0,0,0,0
A001021,0,0,0,0,0,0
A001045,0,0,0,0,0,0
A001047,0,0,0,0,0,0
A001082,0,0,0,0,0,0
A001088,0,0,0,0,0,0
A001091,0,0,0,0,0,0
A001095,0,0,0,0,0,0
A001145,0,0,0,0,0,0
A001156,0,0,0,0,0,0
A001167,0,0,0,0,0,0
A001181,0,0,0,0,0,0
A001208,0,0,0,0,0,0
A001214,0,0,0,0,0,0
A001220,0,0,0,0,0,0
A001227,0,0,0,0,0,0
A001235,0,0,0,0,0,0
A001259,0,0,0,0,0,0
A001271,0,0,0,0,0,0
A001287,0,0,0,0,0,0
A001290,0,0,0,0,0,0
A001312,0,0,0,0,0,0
A001315,0,0,0,0,0,0
A001324,0,0,0,0,0,0
A001364,0,0,0,0,0,0
A001369,0,0,0,0,0,0
A001385,0,0,0,0,0,0
A001397,0,0,0,0,0,0
A001406,0,0,0,0,0,0
A001415,0,0,0,0,0,0
A001423,0,0,0,0,0,0
A001433,0,0,0,0,0,0
A001441,0,0,0,0,0,0
A001450,0,0,0,0,0,0
A001452,0,0,0,0,0,0
A001457,0,0,0,0,0,0
A001468,0,0,0,0,0,0
A001470,0,0,0,0,0,0
A001474,0,0,0,0,0,0
A001480,0,0,0,0,0,0
A001483,0,0,0,0,0,0
A001492,0,0,0,0,0,0
A001498,0,0,0,0,0,0
A001513,0,0,0,0,0,0
A001525,0,0,0,0,0,0
A001539,0,0,0,0,0,0
A001542,0,0,0,0,0,0
A001547,0,0,0,0,0,0
A001601,0,0,0,0,0,0
A001628,0,0,0,0,0,0
A001629,0,0,0,0,0,0
A001652,0,0,0,0,0,0
A001667,0,0,0,0,0,0
A001690,0,0,0,0,0,0
A001703,0,0,0,0,0,0
A001706,0,0,0,0,0,0
A001709,0,0,0,0,0,0
A001724,0,0,0,0,0,0
A001733,0,0,0,0,0,0
A001736,0,0,0,0,0,0
A001739,0,0,0,0,0,0
A001745,0,0,0,0,0,0
A001770,0,0,0,0,0,0
A001783,0,0,0,0,0,0
A001792,0,0,0,0,0,0
A001800,0,0,0,0,0,0
A001805,0,0,0,0,0,0
A001807,1,0,0,0,0,0
A001819,0,0,0,0,0,0
A001827,0,0,0,0,0,0
A001831,0,0,0,0,0,0
A001838,0,0,0,0,0,0
A001844,0,0,0,0,0,0
A001845,0,0,0,0,0,0
A001859,0,0,0,0,0,0
A001861,0,0,0,0,0,0
A001862,0,0,0,0,0,0
A001866,0,0,0,0,0,0
A001867,0,0,0,0,0,0
A001871,0,0,0,0,0,0
A001884,0,0,0,0,0,0
A001887,0,0,0,0,0,0
A001900,0,0,0,0,0,0
A001901,0,0,0,0,0,0
A001936,0,0,0,0,0,0
A001940,0,0,0,0,0,0
A001946,0,0,0,0,0,0
A001947,0,0,0,0,0,0
A001948,0,0,0,0,0,0
A001951,0,0,0,0,0,0
A001974,0,0,0,0,0,0
A001985,0,0,0,0,0,0
A001988,0,0,0,0,0,0
A001991,0,0,0,0,0,0
A001994,0,0,0,0,0,0
A002010,0,0,0,0,0,0
A002019,0,0,0,0,0,0
A002023,0,0,0,0,0,0
