id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated
F000494,0,0,0,0,0,0,0,0,0,0,0,0,0
F000471,0,0,0,0,0,0,0,0,0,0,0,0,0
F000294,0,0,0,0,0,0,0,0,0,0,0,0,0
F000312,0,0,0,0,0,0,0,0,0,0,0,0,0
F000845,0,0,0,0,0,0,0,0,0,0,0,0,0
F000135,0,0,0,0,0,0,0,0,0,0,0,0,0
F000110,0,0,0,0,0,0,0,0,0,0,0,0,0
F000846,0,0,0,0,0,0,0,0,0,0,0,0,0
F000847,0,0,0,0,0,0,0,0,0,0,0,0,0
F000886,0,0,0,0,0,0,0,0,0,0,0,0,0
F000006,0,0,0,1,1,0,0,0,0,0,0,0,0
F000848,0,0,0,0,0,0,0,0,0,0,0,0,0
F000115,0,0,0,0,0,0,0,0,0,0,0,0,0
F000081,0,0,0,0,0,0,0,0,0,0,0,0,0
F000083,0,0,0,0,1,0,0,0,0,0,0,0,0
F000479,0,0,0,0,0,0,0,0,0,0,0,0,0
F000759,0,0,0,0,0,0,0,0,0,0,0,0,0
F000463,0,0,0,0,0,0,0,0,0,0,0,0,0
F000762,0,0,0,0,0,0,0,0,0,0,0,0,0
F000902,0,0,0,0,0,0,0,0,0,0,0,0,0
F000600,0,0,0,0,0,0,0,0,0,0,0,0,0
F000853,0,0,0,0,0,0,0,0,0,0,0,0,0
F000165,0,0,0,0,0,0,0,0,0,0,0,0,0
F000903,0,0,0,0,0,0,0,0,0,0,0,0,0
F000936,0,0,0,0,0,0,0,0,0,0,0,0,0
F000242,0,0,0,0,0,0,0,1,0,0,0,0,0
F000923,0,0,0,0,0,0,0,0,0,0,0,0,0
F000423,0,0,0,0,0,0,0,0,0,0,0,0,0
F001011,0,0,0,0,0,0,0,1,0,0,0,0,0
F000132,0,0,0,0,0,0,0,0,0,0,0,0,0
F000763,0,0,0,0,0,0,0,0,0,0,0,0,0
F000533,0,0,0,0,0,0,0,0,0,0,0,0,0
F000917,0,0,0,0,0,0,0,0,0,0,0,0,0
F000265,0,0,0,0,0,0,0,0,0,0,0,0,0
F000921,0,0,0,0,0,0,0,0,0,0,0,0,0
F000922,0,0,0,0,0,0,0,0,0,0,0,0,0
F000888,0,0,0,0,0,0,0,0,0,0,0,0,0
F000545,0,0,0,0,0,0,0,0,0,0,0,0,0
F000044,0,0,0,0,0,0,0,0,0,0,0,0,0
F000390,0,0,0,0,0,0,0,0,0,0,0,0,0
F000346,0,0,0,0,0,0,0,0,0,0,0,0,0
F000406,0,0,0,0,0,0,0,0,0,0,0,0,0
F000540,0,0,0,0,0,0,0,0,0,0,0,0,0
F000228,0,0,0,0,0,0,0,0,0,0,0,0,0
I002960,1,0,0,0,0,0,0,0,0,0,0,0,1
I003031,1,0,0,0,0,0,0,0,0,0,0,0,1
I003032,0,0,0,0,0,0,0,0,0,0,0,0,0
I003033,0,0,0,0,0,0,0,0,0,0,0,0,0
I002961,0,0,0,0,0,0,0,0,0,0,0,0,0
I002962,0,0,0,0,0,0,0,0,0,0,0,0,0
I002954,0,0,0,0,0,0,0,0,0,0,0,0,0
I002955,0,0,0,0,0,0,0,0,0,0,0,0,0
I002963,0,0,0,0,0,0,0,0,0,0,0,0,0
I002964,0,0,0,0,0,0,0,0,0,0,0,0,0
I002967,0,0,0,0,0,0,0,0,0,0,0,0,0
I002968,0,0,0,0,0,0,0,0,0,0,0,0,0
I002969,0,0,0,0,0,0,0,0,0,0,0,0,0
I002970,0,0,0,0,1,0,0,0,0,0,0,0,1
I002956,0,0,0,0,0,0,0,0,0,0,0,0,0
I002591,0,0,0,1,0,0,0,0,0,1,1,0,1
I002957,0,0,0,0,0,0,0,0,0,0,0,0,0
I002971,0,0,0,0,0,0,0,0,0,0,0,0,0
I003034,0,0,0,0,0,0,0,0,0,0,0,0,0
I002973,0,0,0,0,0,0,0,0,0,0,0,0,0
I002976,0,0,0,0,0,0,0,0,0,0,0,0,0
I003035,0,0,0,0,0,0,0,1,0,0,0,0,1
I002978,0,0,0,0,0,0,0,0,0,0,0,0,0
I002765,0,0,0,0,0,0,0,0,0,0,0,0,0
I003036,0,0,0,0,0,0,0,0,0,0,0,0,0
I002965,0,0,0,0,0,0,0,0,0,0,0,0,0
I002966,0,0,0,0,0,0,0,0,0,0,0,0,0
A000077,0,0,0,0,0,0,0,0,0,0,0,0,0
A002627,0,0,0,0,0,0,0,0,0,0,0,0,0
A002171,0,0,0,0,0,0,0,0,0,0,0,0,0
A001724,0,0,0,0,0,0,0,0,0,0,0,0,0
A000419,0,0,0,0,0,0,0,0,0,0,0,0,0
A002098,0,0,0,0,0,0,0,1,0,0,0,0,0
A001862,0,0,0,0,0,0,0,0,0,0,0,0,0
A005391,0,0,0,0,0,0,0,0,0,0,0,0,0
A002050,0,0,0,0,0,0,0,0,0,0,0,0,0
A005057,0,0,0,0,0,0,0,0,0,0,0,0,0
A004223,0,0,0,0,0,0,0,0,0,0,0,0,0
A004224,0,0,0,0,0,0,0,0,0,0,0,0,0
A004228,0,0,0,0,0,0,0,0,0,0,0,0,0
A004229,0,0,0,0,0,0,0,0,0,0,0,0,0
A005577,0,0,0,0,0,0,0,0,0,0,0,0,0
A005387,0,0,0,0,0,0,0,0,0,0,0,0,0
A005388,0,0,0,0,0,0,0,0,0,0,0,0,0
A005389,0,0,0,0,0,0,0,0,0,0,0,0,0
A002728,0,0,0,0,0,0,0,0,0,0,0,0,0
A005366,0,0,0,0,0,0,0,0,0,0,0,0,0
A000895,0,0,0,0,0,0,0,0,0,0,0,0,0
A005377,0,0,0,0,0,0,0,0,0,0,0,0,0
A005056,0,0,0,0,0,0,0,0,0,0,0,0,0
A000271,0,0,0,0,0,0,0,0,0,0,0,0,0
A005390,0,0,0,0,0,0,0,0,0,0,0,0,0
H002107,0,0,0,0,0,0,0,0,0,0,0,0,0
