id,climate,energy,environment,durability,total
AB7TGTDI,0,0,0,0,0
AB7TGTDR,0,0,0,0,0
AB7TGTDS,0,0,0,0,0
AB7TGTDT,0,0,0,0,0
AB7TGTED,0,0,0,0,0
AB7TGTEF,1,0,0,1,1
AB7TGTEI,0,0,0,0,0
AB7TGTER,0,0,0,0,0
AB7TGTES,0,0,0,0,0
AB7TGTET,0,0,0,0,0
AB7TGTFD,1,0,0,1,1
AB7TGTFI,1,0,0,1,1
AB7TGTFR,1,0,0,1,1
AB7TGTFS,1,0,0,1,1
AB7TGTFT,1,0,0,1,1
ABAFRI,1,0,0,2,2
ABARCH,1,0,1,1,2
ABKUNS,0,0,0,1,1
ABMORA,1,0,0,4,4
ABOOTCAI,1,0,1,3,4
ABOOTCCC,1,0,1,3,4
ABOOTCCU,1,0,1,3,4
ABOOTCIN,1,0,1,3,4
ABOOTCJA,1,0,1,3,4
ABSHIE,1,0,1,4,5
ABSLAV,1,0,1,1,2
ABTALKDG,0,0,0,0,0
ABTALKDI,0,0,0,0,0
ABTALKDS,0,0,0,0,0
ABTALKDZ,0,0,0,0,0
ABTALKED,0,0,0,0,0
ABTALKEG,0,0,0,0,0
ABTALKEI,0,0,0,0,0
ABTALKEL,0,0,0,0,0
ABTALKES,0,0,0,0,0
ABTALKEZ,0,0,0,0,0
ABTALKFD,0,0,0,0,0
ABTALKFE,0,0,0,0,0
ABTALKFG,0,0,0,0,0
ABTALKFI,0,0,0,0,0
ABTALKFL,0,0,0,0,0
ABTALKFS,0,0,0,0,0
ABTALKFZ,0,0,0,0,0
ABTALKLG,0,0,0,0,0
ABTALKLI,0,0,0,0,0
ABTALKLS,0,0,0,0,0
ABTALKLZ,0,0,0,0,0
ABTALKND,0,0,0,0,0
ABTALKNE,0,0,0,0,0
ABTALKNF,0,0,0,0,0
ABTALKNG,0,0,0,0,0
ABTALKNI,0,0,0,0,0
ABTALKNL,0,0,0,0,0
ABTALKNS,0,0,0,0,0
ABTALKNZ,0,0,0,0,0
ABWYSB,2,0,5,4,8
AM7MECDI,0,0,0,0,0
AM7MECDR,0,0,0,0,0
AM7MECDS,0,0,0,0,0
AM7MECDT,0,0,0,0,0
AM7MECED,0,0,0,0,0
AM7MECEF,0,0,0,0,0
AM7MECEI,0,0,0,0,0
AM7MECER,0,0,0,0,0
AM7MECES,0,0,0,0,0
AM7MECET,0,0,0,0,0
AM7MECFD,0,0,0,0,0
AM7MECFI,0,0,0,0,0
AM7MECFR,0,0,0,0,0
AM7MECFS,0,0,0,0,0
AM7MECFT,0,0,0,0,0
AM7TLKDI,0,0,0,0,0
AM7TLKDR,0,0,0,0,0
AM7TLKDS,0,0,0,0,0
AM7TLKDT,0,0,0,0,0
AM7TLKED,0,0,0,0,0
AM7TLKEF,0,0,0,0,0
AM7TLKEI,0,0,0,0,0
AM7TLKER,0,0,0,0,0
AM7TLKES,0,0,0,0,0
AM7TLKET,0,0,0,0,0
AM7TLKFD,0,0,0,0,0
AM7TLKFI,0,0,0,0,0
AM7TLKFR,0,0,0,0,0
AM7TLKFS,0,0,0,0,0
AM7TLKFT,0,0,0,0,0
AM7VRTDI,0,0,0,0,0
AM7VRTDR,0,0,0,0,0
AM7VRTDS,0,0,0,0,0
AM7VRTDT,0,0,0,0,0
AM7VRTED,0,0,0,0,0
AM7VRTEF,0,0,0,0,0
AM7VRTEI,0,0,0,0,0
AM7VRTER,0,0,0,0,0
AM7VRTES,0,0,0,0,0
AM7VRTET,0,0,0,0,0
AM7VRTFD,0,0,0,0,0
AM7VRTFI,0,0,0,0,0
AM7VRTFR,0,0,0,0,0
AM7VRTFS,0,0,0,0,0
AM7VRTFT,0,0,0,0,0
AMAFRS,0,0,0,0,0
AMARCH,0,0,0,0,0
AMGEDI,0,0,0,1,1
AMHTLE,0,0,0,0,0
AMKUNS,0,0,0,0,0
AMMORA,0,0,0,0,0
AMOOTCAI,0,0,1,2,3
AMOOTCCH,0,0,1,2,3
AMOOTCIN,0,0,1,2,3
AMOOTCJA,0,0,1,2,3
AMOWYS,0,0,0,0,0
AMSHIE,0,0,0,0,0
AMSLAV,0,0,0,0,0
AMTALKDG,0,0,0,0,0
AMTALKDI,0,0,0,0,0
AMTALKDS,0,0,0,0,0
AMTALKDU,0,0,0,0,0
AMTALKDZ,1,0,0,1,1
AMTALKED,1,0,0,1,1
AMTALKEG,1,0,0,1,1
AMTALKEI,1,0,0,1,1
AMTALKEL,1,0,0,1,1
AMTALKEN,1,0,0,1,1
AMTALKES,1,0,0,1,1
AMTALKEZ,2,0,0,2,2
AMTALKFD,0,0,0,0,0
AMTALKFE,1,0,0,1,1
AMTALKFG,0,0,0,0,0
AMTALKFI,0,0,0,0,0
AMTALKFL,0,0,0,0,0
AMTALKFR,0,0,0,0,0
AMTALKFS,0,0,0,0,0
AMTALKFZ,1,0,0,1,1
AMTALKGR,0,0,0,0,0
AMTALKIB,0,0,0,0,0
AMTALKLA,0,0,0,0,0
AMTALKLG,0,0,0,0,0
AMTALKLI,0,0,0,0,0
AMTALKLS,0,0,0,0,0
AMTALKLZ,1,0,0,1,1
AMTALKNA,0,0,0,0,0
AMTALKND,0,0,0,0,0
AMTALKNE,1,0,0,1,1
AMTALKNF,0,0,0,0,0
AMTALKNG,0,0,0,0,0
AMTALKNI,0,0,0,0,0
AMTALKNL,0,0,0,0,0
AMTALKNS,0,0,0,0,0
AMTALKNZ,1,0,0,1,1
AMTALKSC,1,0,0,1,1
AMVMLE,0,0,0,0,0
AMWYSB,0,0,0,0,0
AOCULTAR,0,0,0,0,0
