id,climate,energy,environment,resources,sustainability,dedicated,total
CBFYST,1,1,0,0,0,0,1
KZCONF,0,0,0,0,0,0,0
FZBECOFI,0,0,0,0,1,0,1
AZTAKSEN,0,0,0,0,0,0,0
AZTAKSDU,0,0,0,0,0,0,0
HILIGH,0,0,0,0,2,0,2
HOWETCWI,0,0,0,0,0,0,0
HOWETCGL,0,0,0,0,0,0,0
EY6SOM,0,0,0,0,0,0,0
IN6SFP,0,0,1,1,2,1,2
HOWETCGF,0,0,0,0,0,0,0
HOWETCFS,0,0,0,0,0,0,0
HOWETEET,0,0,0,0,0,0,0
HOWETIBE,0,0,1,0,0,0,1
HOWETCCH,0,0,1,0,0,0,1
HOWETCBI,0,0,1,0,0,0,1
HOWETCBB,0,0,1,0,0,0,1
HOWETZ,0,0,0,0,0,0,0
HOTALATT,0,0,0,0,0,0,0
HOTALATL,0,0,0,0,0,0,0
HOTALAOS,0,0,0,0,0,0,0
HOTALASL,0,0,0,0,0,0,0
HOTALAAF,0,0,0,0,0,0,0
HOTALZ,0,0,0,0,0,0,0
HOMAAKSO,0,0,0,0,0,0,0
HOMAABRE,0,0,0,0,0,0,0
HOMAAKPO,0,0,0,0,0,0,0
HOMAABCR,0,0,0,0,0,0,0
HOMAAKCO,0,0,0,0,0,0,0
HOWETCIN,0,0,0,0,0,0,0
GHSTAG,0,0,0,0,0,0,0
EHRIND,0,1,0,0,0,0,1
EHRIIR,0,0,1,1,1,0,1
XHMARW,3,1,11,2,1,4,11
EHCOSC,0,0,0,0,0,0,0
EHCIVI,0,0,1,0,1,0,2
EZ7ETSAU,0,2,0,0,0,1,2
EZ7EISES,0,1,0,0,0,0,1
EZ7EISIC,0,1,0,0,0,0,1
EZ7EISEL,0,1,0,0,0,0,1
EZ7EMS,0,1,0,0,0,0,1
EZ7CHS,0,2,1,2,0,1,4
EZ7BOS,1,2,0,0,0,0,3
IZ7BCS,0,2,1,0,1,1,3
DZGEBS,0,0,1,0,1,0,1
AZSHIS,1,0,1,1,1,1,2
CZGEOS,0,0,5,0,2,1,6
FZ7HWS,0,0,0,0,0,0,0
AZGEDS,0,0,0,0,3,0,3
KZEUSS,0,0,1,0,0,0,1
DZERWS,0,0,0,0,0,0,0
FZEECS,0,0,2,0,1,1,2
KZCOSS,0,0,0,0,0,0,0
KZCOWSNM,0,0,0,0,0,0,0
KZCOWSJR,0,0,0,0,0,0,0
KZCOWSFT,0,0,0,0,0,0,0
EZRUSS,0,0,1,0,2,1,2
KZSOLS,0,0,0,0,0,0,0
HZSOCS,1,0,1,0,2,1,2
BZRECS,0,0,1,0,1,0,2
HZPSYSKL,0,0,1,0,1,0,1
