id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
FBHAIR,0,0,0,1,2,0,0,2,0,0,0,0,0,4
IMSUBE,2,0,0,1,1,0,0,1,0,1,1,0,5,5
AMTALKFS,0,0,0,0,0,0,0,1,0,0,0,0,0,1
HMPSYCKL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM7MECNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIBIPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOWETCWI,0,0,2,0,1,0,0,0,0,0,0,1,0,2
IY6PGF,0,0,1,2,0,0,0,1,0,1,1,0,1,4
OBMBTE,0,0,1,0,1,0,0,4,2,4,2,2,1,11
OBFOTE,0,0,1,0,1,0,0,4,2,4,1,1,1,9
OBENTE,0,0,4,3,4,0,0,10,9,4,6,2,7,24
EY6SOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IY6SFP,0,0,1,2,0,0,0,1,0,1,1,0,1,4
IN6SFP,0,0,1,2,0,0,0,1,0,2,2,0,1,5
EN6SOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EZ6IOV,0,0,0,1,0,0,0,2,0,0,0,0,0,3
EZ6MPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IZ6BIV,0,0,0,0,1,0,0,0,0,0,1,0,2,2
EZ6IOS,0,0,0,1,0,0,0,2,0,0,0,0,0,3
EZ6MPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IZ6BIS,0,0,0,2,2,0,0,1,0,0,2,0,4,4
HOWETCGF,0,0,2,0,1,0,0,0,0,0,0,1,0,2
HOWETCFS,0,0,2,0,1,0,0,0,0,0,0,1,0,2
HOWETEET,0,0,2,0,1,0,0,0,0,0,0,1,0,2
HOWETIBE,0,0,2,0,1,0,0,0,0,0,0,1,0,2
HOWETCCH,0,0,2,0,1,0,0,0,0,0,0,1,0,2
HOWETCBI,0,0,2,0,1,0,0,0,0,0,0,1,0,2
HOWETCIN,0,0,2,0,1,0,0,0,0,0,0,1,0,2
HOWETCGL,0,0,2,0,1,0,0,0,0,0,0,1,0,2
AM7MECND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM7MECFT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM7MECFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM7MECFR,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AM7MECFI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM7MECFD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM7MECET,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM7MECES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM7MECER,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AM7MECEI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM7MECEF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM7MECED,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM7MECDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM7MECDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM7MECDR,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AM7MECDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMIMBR,0,7,7,0,1,0,0,81,22,0,1,0,29,85
CMMASM,0,0,2,0,0,0,0,18,3,0,0,0,9,19
DMMABE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMPSYCTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KMPOLINP,1,0,1,1,1,0,0,0,0,0,0,1,1,1
KMPOLIIP,0,0,2,0,1,0,0,1,0,0,0,0,1,2
JMPHEN,0,0,0,1,0,0,0,1,0,0,1,1,0,2
HMPEDAKO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMPEDAPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMOOTCAI,0,0,2,0,1,0,0,1,0,0,0,0,0,4
AMOOTCJA,0,0,2,0,1,0,0,1,0,0,0,0,0,4
AMOOTCIN,0,0,2,0,1,0,0,1,0,0,0,0,0,4
AMOOTCCH,0,0,2,0,1,0,0,1,0,0,0,0,0,4
AMSLAV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMNUFS,0,0,0,0,0,2,0,1,0,0,0,0,0,2
CMAGEN,0,1,0,0,0,0,0,7,4,1,1,0,5,9
AMMORA,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AM7MECNT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM7MECNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM7MECNR,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AM7MECNI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM7MECNF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMLAMAUL,1,1,5,1,1,0,0,13,5,1,7,0,6,20
CMLAMALG,1,1,4,1,1,0,0,11,4,1,8,0,6,20
JMDISC,0,0,1,2,2,0,0,5,2,2,1,0,6,9
IMSINR,0,1,4,6,8,0,0,10,7,4,11,2,10,29
EMRUST,2,0,2,2,1,0,0,8,1,0,1,4,5,12
IMSOGLSB,0,0,4,0,1,3,0,8,0,0,0,0,3,11
IMSOGLPL,1,1,3,0,0,0,0,5,2,0,0,0,3,8
IMSOGLSP,0,0,4,0,1,4,0,10,1,0,0,0,3,14
IMSOGLSE,1,1,3,0,0,1,0,7,2,0,0,0,3,10
KMSOCY,0,0,1,1,0,0,0,1,0,1,0,0,0,1
KMSOCI,0,0,2,2,0,0,0,3,0,1,0,0,1,4
HMSOCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMKINEIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMKINEOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMRDVC,0,1,6,1,1,2,0,18,3,0,0,0,16,22
DMKINEKD,0,0,0,0,0,0,0,0,0,0,0,1,0,1
DMKINEMU,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HMPSYCBD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMRECH,1,0,5,0,1,0,0,6,1,0,0,1,4,11
AMTALKFZ,0,0,1,0,0,0,0,1,0,0,0,0,0,2
AMTALKFL,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AMTALKFI,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AMTALKFG,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AMTALKFE,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AMTALKFD,0,0,0,0,0,0,0,2,0,0,0,0,0,2
AMTALKFR,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AMTALKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMTALKEZ,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AMTALKEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMTALKEI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMTALKEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMTALKED,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AMTALKEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMTALKDS,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AMTALKDZ,0,0,1,0,0,0,0,1,0,0,0,0,0,2
AMTALKDI,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AMTALKDG,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AMTALKDU,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CBGEOL,0,0,0,0,1,0,0,4,0,0,2,0,1,6
ABSHIE,1,0,4,1,1,0,0,6,1,0,1,0,2,10
CBGEOF,0,0,2,0,0,0,0,3,1,0,0,0,2,5
DBARTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBFYST,0,0,1,0,1,0,0,0,0,0,0,1,0,1
JBFAWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBECON,0,0,1,1,2,0,0,2,0,0,0,0,1,4
GBDIER,0,0,0,0,0,0,0,4,0,0,0,0,0,4
BBCRIM,0,0,1,0,0,0,0,2,0,0,0,0,0,3
KBCOMM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBCHMI,0,0,1,0,2,0,0,1,3,0,0,1,2,3
IB7BWE,0,0,1,1,1,0,0,6,2,0,0,1,2,9
DBBIOM,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CBBIOL,0,0,2,0,0,0,0,14,2,0,0,0,7,14
CBBIBI,0,0,0,0,0,0,0,2,0,1,0,0,2,3
IBBIOI,0,2,2,2,2,0,0,14,2,1,3,3,8,25
FB7BKM,0,0,3,0,0,0,0,0,0,0,0,0,0,3
ABARCH,0,0,5,0,1,0,0,5,1,0,0,1,2,8
ABAFRI,1,0,4,1,1,0,0,5,1,0,1,0,2,9
HOWETCBB,0,0,2,0,1,0,0,0,0,0,0,1,0,2
HOGEDHPS,0,0,2,0,1,0,0,0,0,0,0,1,0,2
FFBECO,0,0,1,1,0,0,0,0,0,0,0,0,0,1
EHFSEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IQUNIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEMEDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEMWIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCPPOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCSTGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCPUPO,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FCPUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCPROR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCPBAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCPOME,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCPFRR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCOVIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCRACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOEKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCMYCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCMOPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMILR,0,0,1,0,0,0,0,1,0,0,0,0,1,1
HCMIAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
