id,decarbonization,energy,consumption,environment,climatology,durability,society
D012264,0,0,0,0,0,0,0
D012254,0,0,0,0,0,0,0
A005292,0,0,0,0,0,0,0
C003727,0,0,0,0,0,0,0
A005032,0,0,0,0,0,0,0
E775000,0,0,0,0,0,0,0
C004180,0,0,0,0,0,0,0
E018230,0,0,0,0,0,0,0
E711070,0,0,0,0,0,0,0
D012104,0,0,0,0,0,0,0
I700229,0,0,0,0,0,0,0
G000802,0,0,0,0,0,0,0
D002183,0,0,0,0,0,0,0
G000763,0,0,0,0,0,0,0
I700046,0,0,0,0,0,0,0
C003404,0,0,0,0,0,0,0
I002426,0,0,0,0,1,1,0
C004191,0,0,0,0,0,0,0
K001177,0,0,0,0,0,0,0
H001914,0,0,0,0,0,0,0
D012668,0,0,0,0,0,0,0
A003312,0,0,0,0,0,0,0
A003313,0,0,0,0,0,0,0
A003320,0,0,0,0,0,0,0
F000294,0,0,0,0,0,0,0
F000312,0,0,0,0,0,0,0
F000819,0,0,0,0,0,0,0
F000872,0,0,0,0,0,0,0
C003924,0,0,0,1,0,0,0
E051482,0,0,0,0,0,0,0
E051494,0,0,0,0,0,0,0
K000299,0,0,0,0,0,0,0
F000866,0,0,0,0,0,0,0
F710368,0,0,0,0,0,0,0
B001754,0,0,0,0,0,0,0
K000279,0,0,0,0,0,0,0
E030740,0,0,0,0,0,0,0
K001053,0,0,0,0,0,0,0
D013119,0,0,0,1,0,0,0
J000452,0,0,0,0,0,0,0
C003866,0,0,0,0,0,0,0
C003533,0,0,0,0,0,0,0
K001137,0,0,0,0,0,0,0
K001258,0,0,0,0,0,0,0
K000431,0,0,0,0,0,0,0
K000987,0,0,0,0,0,0,0
C003812,0,0,0,1,0,0,0
E900028,0,0,0,0,0,0,0
B001778,0,0,0,0,0,0,0
E901184,0,0,0,0,0,0,0
E900305,0,0,0,0,0,0,0
A004424,0,0,0,0,0,0,0
E900394,0,0,0,0,0,0,0
C004126,0,0,0,0,0,0,0
I002763,0,0,0,0,0,0,0
E901147,0,0,0,0,0,0,0
D013230,0,0,0,0,0,0,0
D013231,0,0,0,0,0,0,0
D012672,0,0,0,0,0,0,0
C004125,0,0,0,0,0,0,0
E900032,0,0,0,0,0,0,0
D012681,0,0,0,1,0,0,0
D012670,0,0,0,0,0,0,0
D012669,0,0,0,0,0,0,0
D012562,0,0,0,0,0,0,0
K001282,0,0,0,0,0,0,0
C004147,0,0,0,0,0,0,0
B001588,0,0,0,0,0,0,0
C004276,0,0,0,0,0,0,0
C003816,0,0,0,0,0,0,0
E900260,0,0,0,0,0,0,0
C004169,0,0,0,0,0,0,0
I000675,1,0,0,0,0,0,0
I002752,0,0,0,0,0,0,0
C004159,0,0,0,0,0,0,0
E064452,0,0,0,0,0,0,0
E064453,0,0,0,0,0,0,0
E064460,0,0,0,0,0,0,0
D012294,0,0,0,0,0,0,0
I002407,0,0,0,0,0,0,0
A005197,0,0,0,0,0,0,0
A005330,0,0,0,0,0,0,0
I002408,0,1,0,0,1,0,0
A005327,0,0,0,0,0,0,0
A000350,0,0,0,0,0,0,0
A005309,0,0,0,0,0,0,0
I002519,0,0,0,0,0,0,0
I002643,0,1,1,1,0,0,0
I002213,0,0,0,0,0,0,0
I002650,0,0,0,0,0,0,0
I700238,0,0,0,0,0,0,0
I002484,0,0,0,1,0,0,0
I002733,0,0,0,1,0,0,0
D000111,0,0,0,0,0,0,0
I000086,0,0,0,0,0,0,0
C003557,0,0,0,0,0,0,0
C004110,0,0,0,0,0,0,0
C002997,0,0,0,0,0,0,0
F000739,0,0,0,0,0,0,0
D012142,0,0,0,0,0,0,0
I001555,0,0,0,0,0,0,0
D002881,0,0,0,0,0,0,0
D012641,0,0,0,0,0,0,0
K001066,0,0,0,0,0,0,0
D001765,0,0,0,0,0,0,0
C003944,0,0,0,0,0,0,0
C003963,0,0,0,0,0,0,0
I700199,0,0,0,0,0,0,0
C001522,0,0,0,0,0,0,0
I700205,0,0,0,0,0,0,0
C000424,0,0,0,0,0,0,0
D013034,0,0,0,0,0,0,0
I002424,0,0,0,0,0,0,0
I002418,0,0,0,0,0,0,0
D001089,0,0,0,0,0,0,0
G000734,0,0,0,0,0,0,0
G000729,0,0,0,0,0,0,0
G000746,0,0,0,0,0,0,0
D012570,0,0,0,0,0,0,0
A003304,0,0,0,0,0,0,0
A001045,0,0,0,0,0,0,0
A005343,0,0,0,0,0,0,0
D013031,0,0,0,0,0,0,0
D000580,0,0,0,0,0,0,0
C002166,0,0,0,1,0,0,0
C003607,0,0,0,0,0,0,0
E055030,0,0,0,0,0,0,0
D000829,0,0,0,0,0,0,0
G000730,0,0,0,0,0,0,0
B001629,0,0,0,0,0,0,0
C003218,0,0,0,0,0,0,0
A005344,0,0,0,0,0,0,0
A000359,0,0,0,0,0,0,0
J000397,0,0,0,0,0,0,0
D001805,0,0,0,0,0,0,0
I000250,0,0,0,0,0,0,0
C002782,0,0,0,1,0,0,0
E761042,0,0,0,0,0,0,0
C002794,0,0,0,0,0,0,0
C003773,0,0,0,0,0,0,0
C003777,0,0,0,0,0,0,0
C003782,0,0,0,0,0,0,0
C000145,0,0,0,0,0,0,0
D001099,0,0,0,0,0,0,0
J000439,0,0,0,0,0,0,0
G000809,0,0,0,0,0,0,0
G000671,0,0,0,0,0,0,0
A001961,0,0,0,0,0,0,0
E030210,0,0,0,0,0,0,0
E731038,0,0,0,0,0,0,0
E731039,0,0,0,0,0,0,0
E735026,0,0,0,0,0,0,0
C003574,0,0,0,0,0,0,0
C003575,0,0,0,0,0,0,0
A003328,0,0,0,0,0,0,0
E035010,0,0,0,0,0,0,0
E051511,0,0,0,0,0,0,0
C003398,0,0,0,1,0,0,0
J000479,0,0,0,0,0,0,0
A002725,0,0,0,0,0,0,0
I002676,0,0,0,0,0,0,0
F710405,0,0,0,0,0,0,0
B001587,0,0,0,0,0,0,0
C004049,0,0,0,0,0,0,0
C004085,0,0,0,0,0,0,0
C004322,0,0,0,1,0,0,0
C004155,0,0,0,0,0,0,0
C004160,0,0,0,0,0,0,0
F000853,0,0,0,0,0,0,0
C004097,0,0,0,0,0,0,0
C002138,0,0,0,0,0,0,0
C003824,0,0,0,0,0,0,0
F000712,0,0,0,0,0,0,0
F710225,0,0,0,0,0,1,0
C003986,0,0,0,0,0,0,0
E070410,0,0,0,0,0,0,0
D012259,0,0,0,0,0,0,0
I002686,0,0,0,1,0,0,0
D000564,0,0,0,0,0,0,0
E900396,0,0,0,0,0,0,0
E900331,0,0,0,0,0,0,0
E900340,0,0,0,0,0,0,0
C004314,0,0,0,0,0,0,0
O000138,0,0,0,1,0,0,0
I002653,0,0,0,0,0,0,0
I002644,0,0,0,0,0,0,0
C003974,0,0,0,0,0,0,0
E022230,0,0,0,0,0,0,0
A005381,0,0,0,0,0,0,0
A005382,0,0,0,0,0,0,0
A001887,0,0,0,0,0,0,0
A005313,0,0,0,0,0,0,0
A005324,0,0,0,0,0,0,0
E064881,0,0,0,0,0,0,0
C004154,0,0,0,0,0,0,0
I002745,0,0,0,0,0,0,0
I002504,0,0,0,1,0,0,0
C004268,0,0,0,0,0,0,0
C004259,0,0,0,0,0,0,0
C004303,0,0,0,1,0,0,0
C003695,0,0,0,1,0,0,0
C004248,0,0,0,0,0,0,0
A703118,0,0,0,0,0,0,0
C004343,0,0,0,0,0,0,0
C003897,0,0,0,1,0,0,0
E900356,0,0,0,0,0,0,0
I002160,0,0,0,0,0,0,0
I002713,0,0,0,1,0,0,0
D013132,0,0,0,0,0,0,0
I002756,0,0,0,0,0,0,0
I000928,0,0,0,1,0,0,0
I002795,0,0,0,0,0,0,0
I002794,0,0,0,0,0,0,0
I002792,0,0,0,1,0,1,0
I002709,0,0,0,1,0,0,0
C003813,0,0,0,0,0,0,0
I002790,0,0,0,0,0,0,0
C003912,0,0,0,0,0,0,0
I002086,0,0,0,1,0,1,0
C002476,0,0,0,1,0,0,0
G000789,0,0,0,0,0,0,0
C003224,0,0,0,1,0,0,0
A002896,0,0,0,0,0,0,0
A002897,0,0,0,0,0,0,0
A005474,0,0,0,0,0,0,0
A005478,0,0,0,0,0,0,0
A005477,0,0,0,0,0,0,0
A005475,0,0,0,0,0,0,0
A005476,0,0,0,0,0,0,0
A005479,0,0,0,0,0,0,0
A005219,0,0,0,0,0,0,0
F000224,0,0,0,0,0,0,0
F000509,0,0,0,0,0,0,0
B001747,0,0,0,0,0,0,0
C004090,0,0,0,0,0,0,0
A003323,0,0,0,0,0,0,0
A003322,0,0,0,0,0,0,0
A003321,0,0,0,0,0,0,0
A003301,0,0,0,0,0,0,0
A003303,0,0,0,0,0,0,0
A003325,0,0,0,0,0,0,0
A005434,0,0,0,0,0,0,0
A005437,0,0,0,0,0,0,0
A005224,0,0,0,0,0,0,0
A005226,0,0,0,0,0,0,0
A005223,0,0,0,0,0,0,0
A005433,0,0,0,0,0,0,0
A005435,0,0,0,0,0,0,0
C004158,0,0,0,0,0,0,0
A005432,0,0,0,0,0,0,0
A002679,0,0,0,0,0,0,0
E087000,0,0,0,0,0,0,0
E087010,0,0,0,0,0,0,0
E087100,0,0,0,0,0,0,0
E087110,0,0,0,0,0,0,0
E082013,0,0,0,0,0,0,0
A005283,0,0,0,0,0,0,0
E082710,0,0,0,0,0,0,0
E081111,0,0,0,0,0,0,0
E081211,0,0,0,0,0,0,0
E081311,0,0,0,0,0,0,0
E080111,0,0,0,0,0,0,0
E080210,0,0,0,0,0,0,0
A005091,0,0,0,0,0,0,0
I002470,0,0,0,1,1,0,0
C003181,0,0,0,1,0,0,0
E900412,0,0,0,0,0,0,0
C003756,0,0,0,0,0,0,0
D002869,0,0,0,0,0,0,0
D002872,0,0,0,0,0,0,0
J000509,0,0,0,0,0,0,0
I002463,0,0,0,1,1,0,0
H002119,0,0,0,0,0,0,0
C002349,0,0,0,0,0,0,0
C002329,0,0,0,0,0,0,0
C004134,0,0,0,0,0,0,0
C004136,0,0,0,0,0,0,0
E081603,0,0,0,0,0,0,0
E085095,0,0,0,0,0,0,0
E900041,0,0,0,0,0,0,0
C004222,0,0,0,0,0,0,0
E025010,0,0,0,0,0,0,0
E022020,0,0,0,0,0,0,0
A703905,0,0,0,0,0,0,0
K000598,0,0,0,0,0,0,0
A703606,0,0,0,0,0,0,0
F000640,0,0,0,0,0,0,0
E092970,0,0,0,0,0,0,0
C003785,0,0,0,0,0,0,0
E016020,0,0,0,0,0,0,0
E064681,0,0,0,0,0,0,0
B001691,0,0,0,0,0,0,0
E061621,0,0,0,0,0,0,0
A005288,0,0,0,0,0,0,0
E030320,0,0,0,0,0,0,0
F710318,0,0,0,0,0,0,0
B001692,0,0,0,0,0,0,0
K001154,0,0,0,0,0,0,0
A003405,0,0,0,0,0,0,0
A005329,0,0,0,0,0,0,0
I700151,0,0,0,0,0,0,0
C003573,0,0,0,0,0,0,0
C004005,0,0,0,0,0,0,0
E711069,0,0,0,1,0,0,0
