id,decarbonization,energy,consumption,environment,climatology,durability,society
A703058,0,0,0,0,0,0,0
A703060,0,0,0,0,0,0,0
A703059,0,0,0,0,0,0,0
A703061,0,0,0,0,0,0,0
A703062,0,0,0,0,0,0,0
A703063,0,0,0,0,0,0,0
A703064,0,0,0,0,0,0,0
A703065,0,0,0,0,0,0,0
A703067,0,0,0,0,0,0,0
A703066,0,0,0,0,0,0,0
A703068,0,0,0,0,0,0,0
A703069,0,0,0,0,0,0,0
A703019,0,0,0,0,0,0,0
A703021,0,0,0,0,0,0,0
A703020,0,0,0,0,0,0,0
A703022,0,0,0,0,0,0,0
A703023,0,0,0,0,0,0,0
A703024,0,0,0,0,0,0,0
A703025,0,0,0,0,0,0,0
A703026,0,0,0,0,0,0,0
A703027,0,0,0,0,0,0,0
A703028,0,0,0,0,0,0,0
A703029,0,0,0,0,0,0,0
A703044,0,0,0,0,0,0,0
A704056,0,0,0,0,0,0,0
A703016,0,0,0,0,0,0,0
A703009,0,0,0,0,0,0,0
A703010,0,0,0,0,0,0,0
A703011,0,0,0,0,0,0,0
A704054,0,0,0,0,0,0,0
A703013,0,0,0,0,0,0,0
A703012,0,0,0,0,0,0,0
A703014,0,0,0,0,0,0,0
A704055,0,0,0,0,0,0,0
A703016,0,0,0,0,0,0,0
A704056,0,0,0,0,0,0,0
A703018,0,0,0,0,0,0,0
A703000,0,0,0,0,0,0,0
A703001,0,0,0,0,0,0,0
A000455,0,0,0,0,0,0,0
A703002,0,0,0,0,0,0,0
A704051,0,0,0,0,0,0,0
A704052,0,0,0,0,0,0,0
A703006,0,0,0,0,0,0,0
A703071,0,0,0,0,0,0,0
A703074,0,0,0,0,0,0,0
A703072,0,0,0,0,0,0,0
A703075,0,0,0,0,0,0,0
A703073,0,0,0,0,0,0,0
A703076,0,0,0,0,0,0,0
A703077,0,0,0,0,0,0,0
A703078,0,0,0,0,0,0,0
A703080,0,0,0,0,0,0,0
A703079,0,0,0,0,0,0,0
A703081,0,0,0,0,0,0,0
A703082,0,0,0,0,0,0,0
A703019,0,0,0,0,0,0,0
