id,climate,energy,environment,durability
648,0,0,0,1
294,0,0,0,0
H20,0,2,0,0
750,0,0,0,2
H05,0,0,0,0
P51,0,0,0,0
P25,0,0,0,0
P27,0,0,0,0
768,0,0,0,5
P37,0,0,1,0
349,0,0,0,0
135,0,0,0,0
P70,0,0,0,0
711,2,0,0,0
H15,0,0,0,0
831,0,0,0,0
749,0,0,0,1
H94,0,0,0,0
H90,0,0,1,1
H50,0,1,0,0
151,0,0,0,0
279,1,0,1,0
H74,0,0,0,0
H95,0,1,0,0
628,0,0,1,1
H64,0,0,0,0
247,0,0,0,0
H09,0,2,0,0
655,0,0,0,3
605,0,1,0,0
H63,0,0,0,0
656,0,1,0,2
E28,0,1,0,0
H62,0,2,0,0
015,1,0,0,1
E62,1,0,0,1
025,0,0,0,0
625,0,0,0,2
225,1,1,0,1
055,1,0,2,1
045,0,0,0,0
649,0,0,0,2
E61,0,1,0,0
H01,0,1,0,0
H70,1,0,0,1
E60,0,1,1,1
H12,0,0,0,0
065,1,0,0,1
597,0,0,0,1
