id,climate,energy,environment,resources,sustainability,dedicated,total
648,0,0,1,0,2,1,2
656,0,1,1,0,2,2,3
E60,0,1,2,0,4,2,4
E61,0,1,0,0,1,0,2
015,1,0,1,0,0,1,1
E62,1,0,1,0,0,0,2
P56,0,0,0,0,0,0,0
P31,0,0,0,0,0,0,0
P25,0,1,0,0,0,0,1
P70,0,0,0,0,0,0,0
P54,0,0,0,0,0,0,0
768,0,0,0,0,7,3,7
P27,0,0,0,0,0,0,0
279,1,0,4,0,2,3,4
625,0,0,1,0,3,2,3
H15,0,0,0,0,0,0,0
E28,3,3,4,0,4,5,8
P47,0,0,0,0,0,0,0
349,0,0,2,0,0,2,2
H74,0,0,0,0,0,0,0
711,3,1,2,0,1,2,5
H12,0,0,0,0,1,0,1
N29,0,0,0,0,0,0,0
H90,0,0,2,1,1,2,2
H50,3,5,0,0,3,3,6
H64,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0
749,0,0,0,0,1,1,1
H63,1,2,0,0,0,0,2
H62,0,1,1,1,2,2,3
628,0,0,1,0,2,2,2
247,0,0,0,0,0,0,0
F48,0,0,0,0,0,0,0
N01,0,0,0,0,0,0,0
H70,1,0,0,0,0,0,1
294,0,0,0,0,1,0,1
750,0,1,2,0,6,2,7
H09,0,2,1,1,3,0,4
H05,0,0,0,0,0,0,0
H20,0,5,3,1,3,3,10
605,0,1,1,0,2,0,2
H95,0,0,1,1,0,1,2
025,2,0,1,0,1,1,3
597,0,0,0,0,0,0,0
065,1,0,0,0,0,0,1
N30,0,0,0,0,0,0,0
055,2,0,6,1,1,3,7
831,0,0,0,0,0,0,0
225,1,1,1,0,0,0,2
045,1,1,1,0,0,1,2
H01,0,1,0,0,0,0,1
N10,0,0,0,0,2,1,2
135,0,0,0,0,0,0,0
655,0,0,1,0,3,3,3
649,0,0,1,0,3,2,3
