id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
045,0,0,0,0,1,0,0,2,0,0,0,0,1,2
225,0,0,1,0,0,0,0,3,0,0,0,0,0,3
055,0,0,2,0,1,1,0,13,1,0,0,1,5,14
H01,0,0,0,0,0,0,0,1,0,0,0,0,0,1
649,0,0,1,1,1,0,0,3,1,0,0,1,2,7
648,0,0,1,0,1,0,0,2,1,0,0,1,1,5
H63,0,0,1,0,0,0,0,0,0,0,0,1,0,1
H62,0,0,0,2,2,0,0,2,1,0,2,0,2,4
P56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
768,1,0,0,0,1,0,0,6,0,0,1,5,4,9
349,0,0,0,0,0,0,0,2,2,0,0,0,2,2
831,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,0,0,1,0,0,0,0,4,2,0,0,0,4,5
N30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N10,0,0,0,2,5,0,0,2,1,2,3,0,5,8
N29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
628,0,0,0,0,0,0,0,1,1,0,0,0,1,2
H74,0,0,0,0,0,0,0,0,1,0,0,0,0,1
711,2,0,4,0,1,0,0,3,0,1,0,1,1,7
749,0,0,0,0,0,0,0,1,0,0,0,1,1,2
H12,0,0,0,1,0,0,0,1,0,0,0,0,0,2
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H90,0,0,0,1,1,0,0,2,4,0,0,0,2,4
F48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H50,0,1,1,0,5,0,0,0,0,0,0,2,4,6
H64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H95,0,0,0,0,0,0,0,1,0,0,2,0,1,2
605,0,0,0,1,1,0,0,1,0,0,0,0,0,2
I11,0,0,1,0,0,0,0,0,0,0,0,0,0,1
247,0,0,0,0,0,0,0,1,0,0,0,0,1,1
H09,1,0,3,2,3,0,0,5,0,0,1,0,0,11
655,0,0,1,1,0,0,0,3,1,0,0,1,2,6
656,0,0,0,0,1,0,0,2,1,0,1,1,1,4
E28,0,1,1,0,5,0,0,5,3,0,0,1,7,10
E61,0,0,1,1,2,0,0,3,0,0,0,0,0,6
E62,0,0,1,0,0,0,0,1,0,0,0,0,1,2
E60,0,0,0,1,1,0,0,2,0,0,0,0,1,3
015,0,0,1,0,0,0,0,1,0,0,0,1,1,2
625,0,0,0,0,1,0,0,2,1,0,0,0,2,4
N01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H70,0,0,1,0,0,0,0,0,0,0,0,0,0,1
294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,0,0,1,0,1,0,0,2,1,0,0,4,2,8
H05,0,0,0,0,2,0,0,0,0,0,0,0,2,2
135,0,0,0,0,0,0,0,0,0,0,0,1,0,1
H20,0,0,1,1,5,0,0,3,3,1,2,3,3,15
597,0,0,0,1,0,0,0,0,0,0,0,0,0,1
065,0,0,1,0,0,0,0,1,0,0,0,0,0,2
025,0,0,1,0,2,0,0,2,0,0,0,1,1,4
