id,climate,energy,environment,resources,sustainability,dedicated
ACTU-F4001,0,0,0,0,0,0
ACTU-F4002,0,0,0,0,0,0
ACTU-F401,0,0,0,0,0,0
ACTU-F402,0,0,0,0,0,0
ACTU-F403,0,0,0,0,0,0
ACTU-F404,0,0,0,0,0,0
ACTU-F405,0,0,0,0,0,0
ACTU-F502,0,0,0,0,0,0
ACTU-F503,0,0,0,0,0,0
ACTU-F504,0,0,0,0,0,0
ACTU-F505,0,0,0,0,0,0
ACTU-F506,0,0,0,0,0,0
ACTU-Y101,0,0,0,0,0,0
ACTU-Y102,0,0,0,0,0,0
ACTU-Y105,0,0,0,0,0,0
ACTU-Y108,0,0,0,0,0,0
ACTU-Y109,0,0,0,0,0,0
ACTU-Y110,0,0,0,0,0,0
ACTU-Y111,0,0,0,0,0,0
ACTU-Y112,0,0,0,0,0,0
ARCH-H100,0,0,0,0,0,0
ARCH-H1001,0,0,0,0,0,0
ARCH-H1002,0,0,0,0,0,0
ARCH-H200,0,0,0,0,0,0
ARCH-H2003,0,0,0,0,0,0
ARCH-H2006,0,0,0,0,0,0
ARCH-H2007,0,0,0,0,0,0
ARCH-H300,0,0,0,0,0,0
ARCH-H400,0,0,1,1,1,1
ARCH-H4002,0,0,0,0,0,0
ARCH-H403,0,0,0,0,0,0
ARCH-H406,0,0,0,0,0,0
ARCH-H502,0,0,0,0,1,0
ARCH-H504,0,0,0,0,0,0
ARCH-P7103,0,0,0,0,0,0
ARCH-P7104,0,0,0,0,0,0
ARCH-P7105,0,0,0,0,0,0
ARCH-P7106,0,0,0,0,0,0
ARCH-P7109,0,0,0,0,0,0
ARCH-P7110,0,0,0,0,0,0
ARCH-P7111,0,0,0,0,1,0
ARCH-P7112,0,0,0,0,0,0
ARCH-P7113,0,0,0,0,0,0
ARCH-P7114,0,0,0,0,0,0
ARCH-P7115,0,0,0,0,0,0
ARCH-P7117,0,0,0,0,0,0
ARCH-P7118,0,0,0,0,0,0
ARCH-P7120,0,0,1,0,0,1
ARCH-P7123,0,0,0,0,0,0
ARCH-P7124,0,0,0,0,0,0
ARCH-P7125,0,0,0,0,0,0
ARCH-P7126,0,0,0,0,0,0
ARCH-P7129,0,0,0,0,0,0
ARCH-P7130,0,0,0,0,0,0
ARCH-P7213,0,0,0,0,0,0
ARCH-P7214,0,0,0,0,0,0
ARCH-P8103,0,0,0,0,0,0
ARCH-P8105,0,0,0,0,0,0
ARCH-P8109,0,0,0,0,0,0
ARCH-P8117,0,0,0,0,0,0
ARCH-P8119,0,0,1,0,0,1
ARCH-P8121,0,0,0,0,0,0
ARCH-P8123,0,0,0,0,0,0
ARCH-P8125,0,0,0,0,0,0
ARCH-P8127,0,0,0,0,0,0
ARCH-P8213,0,0,0,0,0,0
ARCH-Y008,0,0,0,0,0,0
ARCH-Y302,0,0,0,0,0,0
ARCH-Y400,0,0,0,0,0,0
ARCH-Y402,0,0,0,0,0,0
ARCH-Y405,0,0,0,0,0,0
ARCH-Y406,0,0,0,0,0,0
ARCH-Y407,0,0,0,0,0,0
