id,decarbonization,energy,consumption,environment,climatology,durability,society
MA60-HMUSI,0,0,0,1,0,0,0
POLI4-J,0,1,0,1,1,0,0
BA-PPHIL,0,0,0,0,0,0,0
BA-KINE,0,0,0,0,0,0,0
BA-MOTR,0,0,0,0,0,0,0
BA-PHAR,0,0,0,1,0,0,0
POLI4-S,0,0,0,0,0,0,0
BA-DENT,0,0,0,1,0,0,0
MS-METRA,0,0,0,0,0,0,0
MS-SAPUM,0,0,0,1,0,0,0
MS-STME,0,0,0,0,0,0,0
MS-RISA,0,0,0,0,0,0,0
M-EDPHC,0,0,0,0,0,0,0
M-EDPHD,0,0,0,0,0,0,0
M-EDPHM,0,0,0,0,0,0,0
M-MOTRO,0,0,0,0,0,0,0
M-MOTRA,0,0,0,0,0,0,0
M-MOTRS,0,0,0,0,0,0,0
M-MOTRF,0,0,0,0,0,0,0
M-SAPUE,0,0,0,4,0,3,0
M-SAPUH,0,0,0,1,0,1,0
M-SAPUG,0,0,0,1,0,1,0
M-EDPHP,0,0,0,0,0,0,0
MS-OSTE,0,0,0,0,0,0,0
MS-PHAI,0,0,0,0,0,0,0
MS-COSM,0,0,0,0,0,0,0
MS-PHAP,0,0,0,0,0,0,0
MS-HEMA,0,0,0,0,0,0,0
MS-BIOP,0,0,0,0,0,0,0
M-SAPUB,0,0,0,1,0,1,0
MS-OBST,0,0,0,0,0,0,0
MS-DENG,0,0,0,0,0,0,0
MS-ANAP,0,0,0,0,0,0,0
MS-APSY,0,0,0,0,0,0,0
MS-ANES,0,0,0,0,0,0,0
MS-BIOC,0,0,0,0,0,0,0
MS-NECH,0,0,0,0,0,0,0
MS-CARD,0,0,0,0,0,0,0
MS-RHUM,0,0,0,0,0,0,0
MS-RDGN,0,0,0,0,0,0,0
MS-PPSY,0,0,0,0,0,0,0
MS-NEUR,0,0,0,0,0,0,0
MS-PEDI,0,0,0,0,0,0,0
MS-ORTH,0,0,0,0,0,0,0
MS-ONCO,0,0,0,0,0,0,0
MS-OFTA,0,0,0,0,0,0,0
MS-PNEU,0,0,0,0,0,0,0
MS-MEDL,0,0,0,0,0,0,0
MS-ORTO,0,0,0,0,0,0,0
MS-MEGE,0,0,0,0,0,0,0
MS-TERA,0,0,0,0,0,0,0
MS-STOM,0,0,0,0,0,0,0
MS-SAMU,0,0,0,0,0,0,0
MS-URGE,0,0,0,0,0,0,0
MS-GECLI,0,0,0,0,0,0,0
MS-GAST,0,0,0,0,0,0,0
MS-MINT,0,0,0,0,0,0,0
MS-MEDP,0,0,0,0,0,0,0
MS-MEDN,0,0,0,0,0,0,0
MS-DER,0,0,0,0,0,0,0
MS-UROL,0,0,0,0,0,0,0
MS-ORL,0,0,0,0,0,0,0
MS-CHIR,0,0,0,0,0,0,0
MS-CHIP,0,0,0,0,0,0,0
MS-GERI,0,0,0,0,0,0,0
MS-NATE,0,0,0,0,0,0,0
MS-NUAP,0,0,0,0,0,0,0
MS-TRANL,0,0,0,0,0,5,0
MS-EURC,0,0,0,0,0,0,0
MS-URDE,0,0,0,5,2,1,0
MS-MTDU,0,0,0,1,1,0,0
MS-PEDA,0,0,0,0,0,0,0
MS-RISP,0,0,0,0,0,0,0
MS-FINA,0,0,0,0,0,0,0
MS-BGDA,0,0,0,0,0,0,0
MS-DINT,0,0,0,0,0,0,0
MS-GEST,0,0,0,0,0,0,0
MS-DSOC,0,0,0,0,0,0,0
MS-DREU,0,0,0,0,0,0,0
MS-DNOT,0,0,0,0,0,0,0
MS-GEPC,0,0,0,0,0,0,0
MS-PHIP,0,0,0,0,1,0,0
MS-DFIS,0,0,0,0,0,0,0
MS-GENR,0,0,0,0,0,0,0
MS-AFRI,0,0,0,0,0,0,0
MS-SOCA,0,0,0,1,0,0,0
MA-MEDI,0,0,0,0,0,0,0
MA-DENT,0,0,0,0,0,0,0
MA-BIMED,0,0,0,0,0,0,0
MA-IREL,0,0,0,0,0,0,0
MA-IRMA,0,0,0,1,0,1,0
MA-IRPH,0,1,0,1,1,2,0
M-PHARS,0,0,0,0,0,0,0
M-PHARW,0,0,0,0,0,0,0
MA-IRCN,0,0,0,2,0,2,0
MA-IRAR,0,0,0,6,1,2,0
MA-IRIF,0,0,0,0,0,1,0
MA-IREM,1,2,1,1,2,2,0
MA-SECU,0,0,0,0,0,0,0
MA-IRBE,1,3,0,9,3,3,1
MA-IRBA,0,0,0,14,1,3,0
MA-IRCB,0,0,0,0,0,1,0
MA-TOUR,0,0,0,2,0,1,0
MA-IRBC,0,0,0,3,0,0,0
MA-INFO,0,0,0,0,0,0,0
M-ENVIE,1,2,0,8,4,3,1
M-ENVIG,1,2,0,12,3,5,1
M-GEOGE,0,1,0,5,2,2,0
M-GEOGD,1,2,0,1,2,2,1
M-GEOGT,1,2,0,5,2,4,1
M-GEOGM,0,0,0,0,0,0,0
MA-STAT,0,0,0,0,0,0,0
MA-GEOL,1,2,0,3,4,1,1
MA-MATH,0,0,0,0,0,0,0
MA-ACTU,0,0,0,0,0,0,0
MA-BMOL,0,0,0,0,0,0,0
MA-CHIM,0,0,0,1,1,3,0
MA-BINF,0,0,0,3,0,0,0
MA-EDUC,0,0,0,0,0,0,0
MA-ARCH,0,2,0,6,0,1,0
MA-LOGU,0,0,0,0,0,0,0
MA-INGE,0,0,0,2,0,2,0
MA-GEST,0,0,0,1,0,1,0
MA-PSYC,0,0,0,1,0,0,0
MA-ECOE,0,0,0,0,0,0,0
MA-ECON,0,0,0,0,0,0,0
MA-CRIM,0,0,0,1,0,0,0
MA-STIC,0,0,0,1,0,0,0
MA-LING,0,0,0,1,0,0,0
MA-COMU,0,0,0,1,0,0,0
MA-JOUR,0,0,0,0,0,0,0
MA-TRAD,0,0,0,2,0,0,0
MA-ARTS,0,0,0,0,0,0,0
MA-DROI,0,0,0,1,1,1,0
MA-BABL,0,0,0,3,0,1,0
MA-LCLAS,0,0,0,0,0,0,0
MA-LFRLE,0,0,0,1,0,0,0
MA-LSLAV,0,0,0,1,0,0,0
MA-LROMA,0,0,0,0,0,0,0
MA-INTER,0,0,0,0,0,0,0
MA-LGERM,0,0,0,2,0,0,0
MA-TRAV,0,0,0,0,0,1,1
MA-LORIE,0,0,0,1,0,0,0
MA-GRHU,0,0,0,1,0,0,0
MA-TRAA,0,0,0,0,0,0,0
