id,climate,energy,environment,resources,sustainability,dedicated,total
MA60-HMUSI,0,0,0,0,0,0,0
MA60-EDPH,0,0,0,0,0,0,0
MA60-PRELA,0,0,0,0,0,0,0
BA-KINE,0,0,0,0,0,0,0
BA-PHAR,0,0,0,0,0,0,0
BA-BIME,0,0,0,0,0,0,0
POLI4-J,0,0,0,0,0,0,0
BA-MEDI,0,0,1,0,0,1,1
AG-SAPU,0,0,0,0,0,0,0
MS-METRA,0,0,1,0,0,1,1
MS-SAPUA,0,0,0,0,0,0,0
MS-STME,0,0,0,0,0,0,0
M-EDPHP,0,0,0,0,0,0,0
M-SAPUB,0,0,3,0,1,4,4
MS-OSTE,0,0,0,0,0,0,0
MS-PHAI,0,0,0,0,0,0,0
MS-PHAP,0,0,0,0,0,0,0
MS-COSM,0,0,1,0,0,0,1
MS-ANES,0,0,0,0,0,0,0
MS-APSY,0,0,0,0,0,0,0
MS-ANAP,0,0,0,0,0,0,0
MS-UROL,0,0,0,0,0,0,0
MS-URGE,0,0,0,0,0,0,0
MS-PEDI,0,0,0,0,0,0,0
MS-ORTO,0,0,0,0,0,0,0
MS-ORL,0,0,0,0,0,0,0
MS-ONCO,0,0,0,0,0,0,0
MS-ORTH,0,0,0,0,0,0,0
MS-OBST,0,0,0,0,0,0,0
MS-OFTA,0,0,0,0,0,0,0
MS-NEUR,0,0,0,0,0,0,0
MS-NECH,0,0,0,0,0,0,0
MS-BIOP,0,0,0,0,0,0,0
MS-MINT,0,0,0,0,0,0,0
MS-MEGE,0,0,0,0,0,0,0
MS-MEDP,0,0,0,0,0,0,0
MS-MEDL,0,0,0,0,0,0,0
MS-GERI,0,0,0,0,0,0,0
MS-MEDN,0,0,0,0,0,0,0
MS-GAST,0,0,0,0,0,0,0
MS-GECLI,0,0,0,0,0,0,0
MS-TERA,0,0,0,0,0,0,0
MS-STOM,0,0,0,0,0,0,0
MS-SAMU,0,0,0,0,0,0,0
MS-RHUM,0,0,0,0,0,0,0
MS-RDGN,0,0,0,0,0,0,0
MS-PPSY,0,0,0,0,0,0,0
MS-PNEU,0,0,0,0,0,0,0
MS-CHIR,0,0,0,0,0,0,0
MS-DENG,0,0,0,0,0,0,0
MS-CARD,0,0,0,0,0,0,0
MS-DER,0,0,0,0,0,0,0
MS-NUAP,0,0,0,0,0,0,0
MS-TRANL,0,0,0,0,3,1,3
MS-CHIP,0,0,0,0,0,0,0
MS-EURI,0,0,1,0,0,0,1
MS-URDE,1,0,2,1,4,3,5
MS-NATE,0,0,0,0,0,0,0
MS-BIOC,0,0,0,0,0,0,0
MS-MTDU,1,0,0,1,1,0,3
MS-RISP,0,0,0,0,0,0,0
MS-BGDA,0,0,0,0,0,0,0
MS-GEST,0,0,0,0,1,0,1
MS-FINA,0,0,0,0,1,0,1
MS-DREU,0,0,2,0,0,1,2
MS-PEDA,0,0,0,0,0,0,0
MS-DNOT,0,0,1,0,0,0,1
MS-DSOC,0,0,0,0,0,0,0
MS-DINT,1,0,3,0,0,1,3
MS-DENF,0,0,0,0,0,0,0
MS-GEPC,0,0,0,0,0,0,0
MS-GENR,0,0,0,0,0,0,0
MS-SOCA,0,0,1,0,0,1,1
MS-PHIP,0,0,1,0,0,1,1
MS-EAFRI,0,0,0,0,0,0,0
MS-DFIS,0,0,0,0,0,0,0
M-MOTRO,0,0,0,0,0,0,0
M-PHARS,0,0,1,0,0,0,1
MA-BIMED,0,0,0,0,0,0,0
MA-MEDI,0,0,0,0,0,0,0
MA-DENT,0,0,0,0,0,0,0
MA-IRPH,1,2,1,0,2,2,3
MA-IRMA,0,0,2,3,3,1,5
M-IRIFS,0,0,0,0,1,0,1
MA-IREL,0,0,0,0,1,0,1
MA-IRCN,0,2,2,1,2,2,4
MA-IRCB,0,0,1,0,1,1,2
MA-TOUR,0,0,3,0,2,1,4
M-IREMR,1,3,1,0,3,4,6
MA-STAT,0,0,0,0,0,0,0
MA-IRAR,0,0,1,1,3,1,3
MA-CHIM,1,2,2,0,1,2,5
MA-BINF,0,0,1,1,0,0,1
M-BMOLD,0,0,0,0,0,0,0
MA-GEOL,7,1,8,0,2,4,14
MA-SECU,0,0,0,0,0,0,0
M-BIORA,0,1,12,1,1,9,14
MA-PHYS,1,0,1,0,0,0,2
MA-MATH,0,0,0,0,0,0,0
M-GEOGD,3,1,2,1,2,1,5
M-ENVIG,2,2,19,3,10,17,26
MA-ACTU,0,0,0,0,0,0,0
MA-IRBE,5,2,10,2,5,7,15
MA-IRBA,1,0,9,0,1,4,9
MA-IRBC,1,0,1,0,1,0,1
MA-INFO,0,0,0,0,0,0,0
MA-ARCH,2,1,6,3,7,3,9
MA-LOGU,0,0,0,0,0,0,0
MA-EDUC,0,0,0,0,0,0,0
MA-ORTP,0,0,0,0,0,0,0
MA-GEST,0,0,2,1,3,0,3
MA-PSYC,0,0,0,0,0,0,0
MA-ECOE,0,0,0,0,0,0,0
MA-INGE,1,1,2,1,3,1,4
MA-CRIM,0,0,0,0,0,0,0
MA-ECON,0,0,2,0,1,0,2
MA-DROI,1,0,6,1,1,2,7
MA-STIC,0,0,0,0,0,0,0
MA-ARTS,0,0,0,0,0,0,0
MA-COMU,0,0,0,0,0,0,0
MA-LORIE,0,0,0,0,0,0,0
MA-BABL,0,0,0,0,0,0,0
MA-LSLAV,0,0,0,0,0,0,0
MA-LING,0,0,0,0,0,0,0
MA-LROMA,0,0,0,0,0,0,0
MA-JOUR,0,0,0,0,0,0,0
MA-TRAV,1,0,0,0,0,0,1
MA-TRAA,0,0,0,0,0,0,0
MA-TRAD,0,1,1,0,0,0,1
MA-LCLAS,0,0,0,0,0,0,0
MA-LFRLE,0,0,0,0,0,0,0
MA-INTER,0,0,0,0,0,0,0
MA-COOP,0,0,2,0,0,1,2
MA-LGERM,0,0,0,0,0,0,0
MA-HMUSI,0,0,0,0,0,0,0
MA-GRHU,0,0,0,0,0,0,0
MA-HHIST,0,0,2,1,1,2,2
MA-LLANG,0,0,0,0,0,0,0
MA-SOCO,0,0,0,0,1,0,1
MA-ETEU,0,0,2,0,1,3,3
MA-PRELA,0,0,0,0,0,0,0
MA-PPHIL,0,0,0,0,0,0,0
MA-HHAAR,0,0,1,0,0,1,1
MA-PINT,2,0,0,0,0,0,2
MA-PGECU,0,0,0,0,0,0,0
MA-POLI,0,0,1,0,1,1,1
MA-PETHI,1,0,7,2,2,6,8
MA-ANTR,0,0,1,0,0,1,1
MA-ADMP,0,0,0,0,0,0,0
