id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
MA60-EDPH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA60-HMUSI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA60-PRELA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPAES-PEDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POLI4-J,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POLI4-S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA-HHIST,0,0,1,0,0,0,0,3,0,0,0,0,0,4
BA-ES3TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA-ES3SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA-ES3SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA-SIPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-METRA,0,0,0,0,0,0,0,1,0,0,0,0,1,1
MS-STME,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M-SAPUB,1,0,0,0,1,0,0,4,0,0,0,0,3,4
M-SAPUG,1,0,0,0,1,0,0,3,0,0,0,0,3,3
M-SAPUE,1,0,1,1,1,1,0,14,4,0,2,0,14,15
M-SAPUH,1,0,0,0,1,0,0,3,0,0,0,0,3,3
MS-SAPUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-OSTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-PHAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-PHAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-COSM,0,0,0,0,0,0,0,0,1,0,0,0,0,1
MS-BIOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-UROL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-URGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-TERA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-MINT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-MEGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-MEDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-MEDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-MEDL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-HEMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-GERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-PEDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-ORTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-ORTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-ONCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-OFTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-OBST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-NEUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-NECH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-STOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-SAMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-RHUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-RDGN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-PPSY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-PNEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-DENG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-CHIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-CHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-CARD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-BIOC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-APSY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-ANES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-ANAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-GECLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-GAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-DER,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-NATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-NUAP,0,0,0,0,0,0,0,1,0,0,0,0,1,1
MS-TRANL,2,0,2,0,0,0,0,1,1,0,0,3,1,4
MS-EURI,0,0,1,0,0,0,0,2,0,0,0,0,2,2
MS-URDE,3,0,1,1,1,0,0,3,0,0,0,0,3,4
MS-MTDU,2,0,1,0,0,0,0,1,0,0,1,0,1,4
MS-PEDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-RISP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-FENS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-GEST,0,0,0,1,0,0,0,0,0,0,0,0,0,1
MS-BGDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-FINA,0,0,0,1,0,0,0,0,0,0,0,0,0,1
MS-DENF,0,0,1,0,0,0,0,0,0,0,0,0,0,1
MS-DSOC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-DREU,0,0,2,0,1,0,0,0,0,0,0,0,1,2
MS-DNOT,1,0,0,0,0,0,0,1,0,0,0,0,0,1
MS-DINT,0,0,4,0,2,0,0,2,1,0,0,0,3,4
MS-DFIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-SOCA,0,0,0,0,0,0,0,1,0,0,0,0,1,1
MS-PHIP,0,0,0,0,0,1,0,1,1,0,1,0,1,2
MS-ARCS,0,0,0,0,0,0,0,3,0,0,0,0,1,3
MS-GEPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-GENR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-EAFRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA-MEDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA-DENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M-MOTRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M-MOTRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M-MOTRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M-EDPHD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M-PHARS,0,0,0,0,0,0,0,0,1,1,0,0,0,1
M-BIMEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M-BIMES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M-PHARW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M-EDPHM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M-EDPHP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M-EDPHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA-IRPH,0,2,2,2,2,0,0,3,1,0,1,0,5,6
MA-IRMA,0,2,2,2,3,0,0,4,2,2,4,0,5,11
MA-IREL,0,2,2,2,2,0,0,3,0,0,1,0,4,5
M-IRIFB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M-IRIFS,0,2,2,2,2,0,0,3,0,0,1,0,4,5
MA-IRCN,2,2,2,2,3,0,0,5,2,0,4,0,7,12
M-IREMR,0,2,3,2,7,0,0,3,1,0,1,3,8,12
M-IREMI,0,2,3,2,3,0,0,4,0,0,2,0,5,7
MA-IRCB,0,2,2,2,2,0,0,4,1,0,1,0,5,6
MA-IRAR,3,2,2,2,4,0,0,6,1,0,4,0,7,11
MA-TOUR,0,0,2,0,0,0,0,3,1,0,0,0,2,5
MA-STAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA-SECU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA-PHYS,0,0,1,0,0,0,0,1,0,0,0,0,0,2
MA-MATH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA-CHIM,0,0,1,0,0,0,0,1,2,2,0,0,2,3
M-GEOGD,1,3,2,0,0,0,0,4,1,0,1,0,1,5
M-GEOGT,1,3,3,0,0,0,0,9,2,0,1,0,5,10
M-ENVIE,0,4,8,1,1,0,0,22,5,2,3,0,16,27
M-BMOLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M-BIORE,0,1,3,1,0,1,0,30,0,0,1,0,28,32
M-BIORD,0,0,0,0,0,0,0,3,0,0,0,0,2,3
M-BIORA,0,0,1,0,1,1,0,19,2,0,0,0,12,20
M-BMOLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M-BMOLD,0,0,0,0,0,0,0,1,0,0,0,0,0,1
M-ENVIG,1,4,5,3,3,1,0,24,6,0,5,0,20,28
M-GEOGM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M-GEOGE,2,0,1,1,1,0,0,2,0,0,0,1,3,4
MA-BINF,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MA-AGEC,0,0,0,0,1,5,0,7,0,0,0,0,4,7
MA-ACTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA-IRBE,0,3,5,2,1,1,0,13,5,2,2,1,8,17
MA-IRBC,0,1,0,1,0,0,0,1,0,0,0,1,0,1
MA-IRBA,0,1,1,1,0,5,0,6,0,0,0,1,3,9
MA-INFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA-GEOL,0,3,6,0,0,0,0,10,3,0,1,0,5,14
MA-ARCH,2,0,3,0,2,0,0,5,0,1,3,0,3,9
MA-PSYC,0,0,0,0,0,0,0,1,0,1,0,0,0,2
MA-ORTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA-LOGU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA-EDUC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA-ECON,0,0,0,0,0,0,0,1,0,0,0,0,1,1
MA-ECOE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA-INGE,0,1,2,1,1,0,0,1,0,0,1,0,2,4
MA-GEST,0,0,0,0,1,0,0,1,0,0,1,0,0,2
MA-DROI,1,0,3,1,1,0,0,5,1,0,0,0,3,7
MA-CRIM,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MA-STIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA-LSLAV,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MA-LROMA,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MA-LORIE,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MA-LING,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MA-LLANG,0,0,0,0,0,0,0,2,0,0,0,0,0,2
MA-LFRLE,0,0,0,0,0,0,0,2,0,0,0,0,0,2
MA-LCLAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA-LGERM,0,0,0,0,0,0,0,2,0,0,0,0,0,2
MA-JOUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA-COMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA-ARTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA-BABL,0,0,1,0,0,0,0,2,0,0,0,0,0,3
MA-TRAV,0,0,1,0,0,0,0,0,0,0,0,0,0,1
MA-INTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA-TRAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA-SOCO,1,0,0,0,0,0,0,0,0,0,0,0,0,1
MA-PRELA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA-PPHIL,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MA-POLI,0,0,1,0,0,0,0,0,0,0,0,0,0,1
MA-PINT,0,0,5,0,0,1,0,1,1,0,0,0,2,5
MA-PGECU,0,0,0,0,0,0,0,2,0,0,0,0,0,2
MA-PETHI,0,1,2,0,0,1,0,8,4,0,2,0,6,9
MA-ETEU,0,0,1,0,0,0,0,3,0,0,0,0,3,3
MA-COOP,0,0,0,0,0,0,0,2,0,0,0,0,1,2
MA-ANTR,0,0,0,0,0,0,0,2,0,0,0,0,1,2
MA-ADMP,0,0,1,0,1,0,0,0,0,0,0,0,0,2
