id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
R1ARCH01,0,0,3,0,0,3,0,9,0,0,0,0,3,12
GYIMBA90,0,0,0,1,0,0,0,0,0,0,0,0,1,1
GYCOBM93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMICRO90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VYANLA00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYCUDC00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYECHR91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GYEMBA90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYEMES91,0,1,0,0,1,0,0,4,3,0,1,0,1,5
GYEMPM90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYEMAI90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GYEMFI90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RYEMEO90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GYEMDT90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GYEMAM90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GYEMAC90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PYEMCN90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYSSDU90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYMSIH90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYAHOS90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYSSMT90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYMAFV90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYINSO90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VYPVAC90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYMMAP90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GYMAPU90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GYMEES90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYGARC90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
