id,decarbonization,energy,consumption,environment,climatology,durability,society
ACER0007-1,0,0,0,0,0,0,0
ACER0008-1,0,0,0,0,0,0,0
ACER0009-1,0,0,0,0,0,0,0
ACER0010-1,0,0,0,0,0,0,0
ACER0011-1,0,0,0,0,0,0,0
ACER0016-1,0,0,0,0,0,0,0
ACER0017-1,0,0,0,0,0,0,0
ACER0018-1,0,0,0,0,0,0,0
ACER0019-1,0,0,0,0,0,0,0
ACER0020-1,0,0,0,0,0,0,0
ACER0021-1,0,0,0,0,0,0,0
ACER0022-1,0,0,0,0,0,0,0
ACER0023-1,0,0,0,0,0,0,0
ACER0037-1,0,0,0,0,0,0,0
ACER0038-1,0,0,0,0,0,0,0
ACER0039-1,0,0,0,0,0,0,0
ACER0040-1,0,0,0,0,0,0,0
ACER0041-1,0,0,0,0,0,0,0
ACER0042-1,0,0,0,0,0,0,0
ACER0043-1,0,0,0,0,0,0,0
ACER0044-1,0,0,0,0,0,0,0
ACER0048-1,1,1,1,0,1,0,0
ACER0049-1,0,0,0,0,1,0,0
ACER0056-1,0,0,0,0,0,0,0
ACER0057-1,0,0,0,0,0,0,0
ACER0058-1,0,0,0,0,0,0,0
ACER0059-1,0,0,0,0,0,0,0
ACER0060-1,0,0,0,0,0,0,0
ACER0061-1,0,0,0,0,0,0,0
ACER0062-1,0,0,0,0,0,0,0
ACER0063-1,0,0,0,0,0,0,0
ACER0069-1,0,0,0,0,0,0,0
ACER0070-1,0,0,0,0,0,0,0
ACER0071-1,0,0,0,0,0,0,0
ACER0072-1,0,0,0,0,0,0,0
ACER0073-1,0,0,0,0,0,0,0
ACER0074-1,0,0,0,0,0,0,0
ACER0075-1,0,0,0,0,1,0,0
ACER0076-1,0,0,0,0,0,0,0
ACER0077-1,0,0,0,0,0,0,0
ACER0078-1,0,0,0,0,0,0,0
ACER0079-1,0,0,0,0,0,0,0
ACER0080-1,0,0,0,0,0,0,0
ACER0081-1,0,0,0,0,0,0,0
ACER0082-1,0,0,0,0,0,0,0
ACER0083-2,0,0,0,0,0,0,0
AERO0001-1,0,0,0,0,0,0,0
AERO0003-1,0,0,0,0,0,0,0
AERO0004-1,0,0,0,0,0,0,0
AERO0014-1,0,0,0,0,0,0,0
AERO0015-1,0,0,0,0,0,0,0
AERO0018-3,0,0,0,0,0,0,0
AERO0024-1,0,0,0,0,0,0,0
AERO0025-1,0,0,0,0,0,0,0
AERO0026-1,0,0,0,0,0,0,0
AERO0030-1,0,0,0,0,0,0,0
AERO0032-1,0,1,0,0,0,0,0
AERO0033-1,0,0,0,0,0,0,0
AERO0034-1,0,0,0,0,0,0,0
AERO0035-1,0,0,0,0,0,0,0
AERO0036-1,0,0,0,0,0,0,0
AESS0004-1,0,0,0,0,0,0,0
AESS0068-1,0,0,0,0,0,0,0
AESS0069-1,0,0,0,0,0,0,0
AESS0140-1,0,0,0,0,0,0,0
AESS0143-1,0,0,0,0,0,0,0
AESS0202-1,0,0,0,0,0,0,0
AESS0219-1,0,0,0,0,0,0,0
AESS0220-2,0,0,0,0,0,0,0
AESS0237-1,0,0,0,0,0,0,0
AESS0238-1,0,0,0,0,0,0,0
AESS0241-1,0,0,0,0,0,0,0
AESS0246-1,0,0,0,0,0,0,0
AESS0248-1,0,0,0,0,0,0,0
AESS0249-1,0,0,0,0,0,0,0
AESS0313-1,0,0,0,0,0,0,0
AESS0314-1,0,0,0,0,0,0,0
AESS0315-1,0,0,0,0,0,0,0
AESS0316-1,0,0,0,0,0,0,0
AESS0319-1,0,0,0,0,0,0,0
AESS0320-1,0,0,0,0,0,0,0
AESS0321-1,0,0,0,0,0,0,0
AESS0322-1,0,0,0,0,0,0,0
AESS0323-1,0,0,0,0,0,0,0
AESS0324-1,0,0,0,0,0,0,0
AESS0325-1,0,0,0,0,0,0,0
AESS0326-1,0,0,0,0,0,0,0
AESS0329-1,0,0,0,0,0,0,0
AESS0330-1,0,0,0,0,0,0,0
AESS0331-2,0,0,0,0,0,0,0
AESS0332-2,0,0,0,0,0,0,0
AESS0333-1,0,0,0,0,0,0,0
AESS0334-1,0,0,0,0,0,0,0
AESS0335-1,0,0,0,0,0,0,0
AESS0336-1,0,0,0,0,0,0,0
AESS0339-1,0,0,0,0,0,0,0
AESS1214-1,0,0,0,0,0,0,0
AESS1215-1,0,0,0,0,0,0,0
AESS1216-1,0,0,0,0,0,0,0
AESS1217-1,0,0,0,0,0,0,0
AESS1218-1,0,0,0,0,0,0,0
AESS1219-1,0,0,0,0,0,0,0
AESS1220-1,0,0,0,0,0,0,0
AESS1221-1,0,0,0,0,0,0,0
AESS1222-1,0,0,0,0,0,0,0
AESS1223-1,0,0,0,0,0,0,0
AESS1224-1,0,0,0,0,0,0,0
AESS1225-1,0,0,0,0,0,0,0
AESS2214-1,0,0,0,0,0,0,0
AESS2215-1,0,0,0,0,0,0,0
