id,climate,energy,environment,resources,sustainability,dedicated
UA-A1-ARCHIT-001-M,0,0,0,0,0,0
UA-A1-ARCHIT-002-M,0,0,0,0,0,0
UA-A1-ARCHIT-003-M,0,0,0,0,0,0
UA-A1-ARCHIT-005-M,0,0,0,0,0,0
UA-A1-ARCHIT-007-M,0,0,0,0,0,0
UA-A1-ARCHIT-009-M,0,0,0,0,0,0
UA-A1-ARCHIT-011-M,0,0,0,0,0,0
UA-A1-ARCHIT-012-M,0,0,0,0,0,0
UA-A1-ARCHIT-013-M,0,0,0,0,0,0
UA-A1-ARCHIT-014-M,0,0,0,0,0,0
UA-B1-ARCHIT-001-M,0,0,0,0,0,0
UA-B1-ARCHIT-002-M,0,0,0,0,0,0
UA-B1-ARCHIT-003-M,0,0,0,0,0,0
UA-B1-ARCHIT-004-M,0,0,0,0,0,0
UA-B1-ARCHIT-005-M,0,0,0,0,0,0
UA-B1-ARCHIT-006-M,0,0,0,0,0,0
UA-B1-ARCHIT-007-M,0,0,0,0,0,0
UA-B1-ARCHIT-008-M,0,0,0,0,0,0
UA-B1-ARCHIT-009-M,0,0,0,0,0,0
UA-B1-ARCHIT-010-M,0,0,0,0,0,0
UA-B1-ARCHIT-012-M,1,1,1,1,1,1
UA-B1-ARCHIT-013-M,0,0,0,0,0,0
UA-B1-ARCHIT-014-M,0,0,0,0,0,0
UA-B1-ARCHIT-015-M,0,0,0,0,0,0
UA-B1-ARCHIT-016-M,0,0,0,0,0,0
UA-B1-ARCHIT-018-M,0,0,0,0,0,0
UA-B1-ARCHIT-019-M,0,0,0,0,0,0
UA-B2-ARCHIT-001-M,0,0,0,0,0,0
UA-B2-ARCHIT-002-M,0,0,0,0,0,0
UA-B2-ARCHIT-003-M,0,0,0,0,0,0
UA-B2-ARCHIT-004-M,0,0,0,0,0,0
UA-B2-ARCHIT-005-M,0,0,0,0,0,0
UA-B2-ARCHIT-006-M,0,0,0,0,0,0
UA-B2-ARCHIT-007-M,0,0,0,0,0,0
UA-B2-ARCHIT-008-M,0,0,0,0,0,0
UA-B2-ARCHIT-009-M,0,0,0,0,0,0
UA-B2-ARCHIT-010-M,0,0,0,0,0,0
UA-B2-ARCHIT-011-M,0,0,0,0,0,0
UA-B2-ARCHIT-012-M,0,0,0,0,0,0
UA-B2-ARCHIT-013-M,0,0,0,0,0,0
UA-B2-ARCHIT-014-M,0,0,0,0,0,0
UA-B2-ARCHIT-015-M,0,0,0,0,0,0
UA-B2-ARCHIT-016-M,0,0,0,0,0,0
UA-B2-ARCHIT-017-M,0,0,0,0,0,0
UA-B2-ARCHIT-018-M,0,0,0,0,0,0
UA-B2-ARCHIT-019-M,0,0,0,0,0,0
UA-B3-ARCHIT-001-M,0,0,0,0,1,0
UA-B3-ARCHIT-002-M,0,0,0,0,0,0
UA-B3-ARCHIT-003-M,0,0,0,0,0,0
UA-B3-ARCHIT-004-M,0,0,0,0,0,0
UA-B3-ARCHIT-005-M,0,0,0,0,0,0
UA-B3-ARCHIT-006-M,0,0,0,0,0,0
UA-B3-ARCHIT-007-M,0,0,0,0,0,0
UA-B3-ARCHIT-009-M,0,0,0,0,0,0
UA-B3-ARCHIT-010-M,0,0,0,0,0,0
UA-B3-ARCHIT-011-M,0,0,0,0,0,0
UA-B3-ARCHIT-012-M,0,0,0,0,0,0
UA-B3-ARCHIT-013-M,0,1,0,0,0,0
UA-B3-ARCHIT-014-M,0,0,0,0,0,0
UA-B3-ARCHIT-015-M,0,0,0,0,0,0
UA-B3-ARCHIT-016-M,0,0,0,0,0,0
UA-B3-ARCHIT-031-M,0,0,0,0,0,0
UA-B3-ARCHIT-035-M,0,0,0,0,0,0
UA-C1-CAPNPO-001-M,0,0,0,0,0,0
UA-C1-CAPNPO-002-M,0,0,0,0,0,0
UA-C1-CAPNPO-003-M,0,0,0,0,0,0
UA-C1-CAPNPO-004-M,0,0,0,0,0,0
UA-C1-CAPNPO-005-M,0,0,0,0,0,0
UA-C1-CAPNPO-006-M,0,0,0,0,0,0
UA-C1-CAPPOR-001-M,0,0,0,0,0,0
UA-C1-CAPPOR-002-M,0,0,0,0,0,0
UA-C1-CAPPOR-003-M,0,0,0,0,0,0
UA-C1-CAPPOR-004-M,0,0,0,0,0,0
UA-M1-ARCHIT-001-M,0,0,0,0,0,0
UA-M1-ARCHIT-002-M,0,0,0,0,0,0
UA-M1-ARCHIT-003-M,0,0,0,0,0,0
UA-M1-ARCHIT-004-M,1,0,0,0,0,0
UA-M1-ARCHIT-005-M,0,0,0,0,0,0
UA-M1-ARCHIT-006-M,0,0,0,0,0,0
UA-M1-ARCHIT-007-M,0,0,0,0,0,0
UA-M1-ARCHIT-008-M,0,0,0,0,0,0
UA-M1-ARCHIT-010-M,0,0,0,0,0,0
UA-M1-ARCHIT-011-M,0,0,0,0,0,0
UA-M1-ARCHIT-012-M,0,0,0,0,0,0
UA-M1-ARCHIT-013-M,0,0,0,0,0,0
UA-M1-ARCHIT-014-M,0,0,0,0,0,0
UA-M1-ARCHIT-016-M,0,0,1,0,0,1
UA-M1-FINADB-001-M,0,0,0,0,0,0
UA-M1-FINADB-002-M,0,0,0,0,0,0
UA-M1-FINADB-003-M,0,0,1,0,0,0
UA-M1-FINADB-004-M,0,0,0,0,0,0
UA-M1-FINADB-005-M,0,0,0,0,0,0
UA-M1-FINURB-001-M,0,0,0,0,0,0
UA-M1-FINURB-002-M,0,0,0,0,0,0
UA-M1-FINURB-003-M,0,0,0,0,1,0
UA-M1-FINURB-004-M,0,0,0,0,0,0
UA-M2-ARCHIT-001-M,0,0,0,0,0,0
UA-M2-ARCHIT-002-M,0,0,0,0,0,0
UA-M2-ARCHIT-003-M,0,0,0,0,0,0
UA-M2-ARCHIT-004-M,1,0,0,0,0,0
UA-M2-ARCHIT-009-M,0,0,0,0,0,0
UA-M2-ARCHIT-011-M,0,0,0,0,0,0
UA-M2-ARCHIT-020-M,0,0,0,0,0,0
UA-M2-ARCHIT-021-M,0,0,0,0,0,0
UA-M2-ARCHIT-022-M,0,0,0,0,0,0
UA-M2-ARCHIT-023-M,0,0,0,0,0,0
UA-M2-ARCHIT-024-M,0,0,0,0,0,0
UA-M2-ARCHIT-025-M,0,0,0,0,0,0
UA-M2-ARCHIT-026-M,0,0,0,0,0,0
UA-M2-ARCHIT-027-M,0,0,0,0,0,0
UA-M2-ARCHIT-029-M,0,0,0,0,0,0
UA-M2-FINADB-001-M,0,0,0,0,0,0
UA-M2-FINADB-002-M,0,0,0,0,0,0
UA-M2-FINADB-003-M,0,0,0,0,0,0
UA-M2-FINADB-004-M,0,0,0,0,0,0
UA-M2-FINADB-005-M,0,0,0,0,0,0
UA-M2-FINADB-006-M,0,0,1,0,0,0
UA-M2-FINADB-020-M,0,0,0,0,0,0
UA-M2-FINADB-021-M,0,0,0,0,0,0
UA-M2-FINURB-001-M,0,0,0,0,0,0
UA-M2-FINURB-004-M,0,0,1,0,0,1
UA-M2-FINURB-006-M,0,0,0,0,1,0
UA-M2-FINURB-007-M,0,0,0,0,0,0
UA-M2-FINURB-020-M,0,0,0,0,0,0
UA-M2-FINURB-021-M,0,0,0,0,0,0
UH-B1-SCHUMS-004-M,0,0,0,0,0,0
UH-B1-SCHUMS-005-M,0,0,0,0,0,0
UH-B1-SCHUMS-006-M,0,0,0,0,0,0
UH-B1-SCHUMS-008-M,0,0,0,0,0,0
UH-B1-SCHUMS-009-M,0,0,0,0,0,0
UH-B1-SCHUMS-010-M,0,0,0,0,0,0
