id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated
UA-A1-ARCHIT-001-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-A1-ARCHIT-002-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-A1-ARCHIT-003-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-A1-ARCHIT-005-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-A1-ARCHIT-007-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-A1-ARCHIT-009-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-A1-ARCHIT-011-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-A1-ARCHIT-012-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-A1-ARCHIT-013-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-A1-ARCHIT-014-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B1-ARCHIT-001-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B1-ARCHIT-002-M,0,0,1,0,1,0,0,0,0,0,0,0,0
UA-B1-ARCHIT-003-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B1-ARCHIT-005-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B1-ARCHIT-006-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B1-ARCHIT-007-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B1-ARCHIT-008-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B1-ARCHIT-009-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B1-ARCHIT-010-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B1-ARCHIT-012-M,1,1,1,0,1,0,0,1,0,0,0,0,1
UA-B1-ARCHIT-013-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B1-ARCHIT-016-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B1-ARCHIT-018-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B1-ARCHIT-020-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B1-ARCHIT-034-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B1-ARCHIT-901-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B1-ARCHIT-902-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B1-ARCHIT-903-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B1-ARCHIT-904-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B1-ARCHIT-905-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B1-ARCHIT-906-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B1-ARCHIT-907-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B1-ARCHIT-908-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B2-ARCHIT-001-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B2-ARCHIT-002-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B2-ARCHIT-003-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B2-ARCHIT-004-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B2-ARCHIT-005-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B2-ARCHIT-006-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B2-ARCHIT-007-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B2-ARCHIT-008-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B2-ARCHIT-009-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B2-ARCHIT-010-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B2-ARCHIT-011-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B2-ARCHIT-013-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B2-ARCHIT-014-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B2-ARCHIT-015-M,1,0,0,0,0,0,0,0,0,0,0,0,0
UA-B2-ARCHIT-016-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B2-ARCHIT-017-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B2-ARCHIT-018-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B2-ARCHIT-035-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B2-ARCHIT-036-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B2-ARCHIT-037-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B3-ARCHIT-001-M,1,0,0,0,0,0,0,0,0,0,0,0,0
UA-B3-ARCHIT-002-M,0,0,1,0,1,0,0,0,0,0,0,0,0
UA-B3-ARCHIT-003-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B3-ARCHIT-004-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B3-ARCHIT-005-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B3-ARCHIT-007-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B3-ARCHIT-009-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B3-ARCHIT-011-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B3-ARCHIT-012-M,1,0,0,0,0,0,0,0,0,0,0,0,0
UA-B3-ARCHIT-013-M,0,0,0,0,1,0,0,0,0,0,0,0,0
UA-B3-ARCHIT-014-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B3-ARCHIT-015-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B3-ARCHIT-016-M,0,0,1,0,1,0,0,1,0,0,0,0,0
UA-B3-ARCHIT-020-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-B3-ARCHIT-035-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-M1-ARCHIT-001-M,0,0,0,0,0,0,0,0,0,0,0,0,0
UA-M1-ARCHIT-002-M,0,0,0,0,0,0,0,0,0,0,0,0,0
