id,decarbonization,energy,consumption,environment,climatology,durability,society
BPS1,0,0,0,1,0,0,0
MED1,0,0,0,1,0,0,0
BAC1,0,3,1,2,0,0,0
TIS1,0,0,0,5,0,0,0
BHS1,0,0,0,0,0,0,0
BWG1_S261,0,1,0,1,1,1,0
BGW1_S263,0,0,0,0,0,0,0
BWG1_S260,0,0,0,0,0,0,0
BWG1_S259,0,0,0,0,0,0,0
BSP1,0,0,0,0,0,0,0
BSM1,0,0,0,0,0,0,0
BSI1,0,0,0,0,0,0,0
BSC1,0,0,0,0,0,0,0
BIO1,0,2,0,2,0,0,0
MBI1,0,0,0,2,0,0,0
BSB1,0,1,0,8,0,0,0
BTI1,0,0,0,0,0,0,0
BPL1,0,0,0,1,0,0,0
BEP1,0,0,0,1,0,0,0
PAA1,0,0,0,1,0,0,0
MII1_S230,0,0,0,0,0,0,0
PHA1,0,0,0,0,0,0,0
BGI1,0,0,0,0,0,0,0
BIN1,0,2,0,1,0,1,0
BIA1,0,1,0,1,0,0,0
BBS1,0,0,0,1,0,0,0
