id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
MAT1_S235,5,1,2,0,0,0,0,6,0,0,1,0,4,12
MAT1_S236,4,1,2,0,0,0,0,6,1,0,0,1,4,10
TIS1,0,0,1,0,0,0,0,7,0,0,0,0,5,8
MCC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPT1_S204,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MPY1_S199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMT1_S191,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMT1_S193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMT1_S195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGT1_S209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIF1_S197,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MIF1_S198,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MMT1_S194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIF1_S283,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MCH1_S201,0,0,0,0,0,0,0,1,1,1,0,0,0,3
MCH1_S203,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MIQ1_S222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBI1,0,0,0,0,1,0,0,2,2,0,0,1,1,4
MCQ1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MSI1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MOE1_S244,2,2,2,1,3,0,0,16,2,1,1,1,13,19
MOE1_S245,0,0,0,0,0,0,0,10,0,0,0,0,8,10
MPY1_S200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOE1_S243,0,0,0,0,0,0,0,12,1,0,0,0,8,12
MBM1_S220,1,0,0,1,1,0,0,5,2,0,0,1,4,8
MBM1_S219,0,0,0,0,1,0,0,3,2,0,0,1,3,5
MBM1_S221,0,0,0,0,1,0,0,3,2,0,0,1,3,5
MCH1_S202,1,0,0,1,0,0,0,1,0,0,1,0,1,3
MSL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUE1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTR1_S181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTR1_S180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTR1_S277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTR1_S182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPT1_S205,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MPT1_S206,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MIS1_S210,0,0,2,0,1,0,0,3,1,0,0,0,1,3
BHS1,0,0,0,0,0,0,0,2,0,0,0,0,0,2
MIO1_S241,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWG1_S260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTI1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BSP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BSM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGW1_S263,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BSI1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BSC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BSB1,0,0,0,0,0,0,0,11,0,0,0,0,4,11
BIA1,0,0,0,0,1,0,0,1,1,1,1,0,0,3
BIN1,0,1,1,0,1,0,0,1,1,1,3,0,1,4
BGI1,0,1,1,0,1,0,0,0,1,1,2,0,1,2
BWG1_S261,0,1,1,0,1,0,0,2,2,1,2,0,3,4
BPL1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MEL1_S226,1,0,1,1,2,0,0,2,0,0,0,0,3,5
BWG1_S259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL1_S225,1,0,1,1,2,0,0,3,0,0,0,0,3,6
MEC1_S231,1,0,1,1,1,0,0,1,2,0,0,0,2,6
PAA1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MEL1_S227,1,0,1,1,2,0,0,2,0,0,0,1,3,6
MEC1_S232,1,0,1,1,2,0,0,1,2,0,0,0,3,7
BIO1,0,1,0,0,0,0,0,3,0,0,0,0,1,4
MMG1,1,0,1,1,1,0,0,5,4,0,1,0,5,10
BPS1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MAH1,3,0,1,0,2,0,0,1,1,0,0,0,3,7
MST1_S223,1,0,1,1,4,0,0,2,5,0,1,2,4,11
BBS1,0,0,0,0,0,0,0,2,0,0,0,0,0,2
MEC1_S233,1,0,1,1,1,0,0,1,2,0,0,0,2,6
ICI1_S228,1,0,1,1,1,0,0,1,0,0,0,0,2,4
MST1_S224,1,0,1,1,3,0,0,2,3,0,2,1,4,10
MSE1_S214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MED1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSY1_S212,0,0,0,0,0,0,0,1,0,0,0,0,0,1
OPC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBD1_S237,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSY1_S211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAC1,4,1,1,0,2,0,0,1,0,0,0,0,1,5
MGT1_S208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CES1_S293,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSE1_S215,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSE1_S279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CES1_S294,0,0,0,0,0,0,0,1,0,0,0,0,0,1
C631,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C561,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBD1_S282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C831,0,0,0,0,0,0,0,3,1,0,0,0,1,3
5081,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5041_S268,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5041_S287,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5041_S269,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5051,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APO1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATI1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5041_S267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABI1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C621,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APE1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C971,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAU1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C991,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C931,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ABP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
