id,decarbonization,energy,consumption,environment,climatology,durability,society
UA-B1-ARCHIT-001-M,0,0,0,0,0,0,0
UA-B1-ARCHIT-002-M,0,0,0,0,0,0,0
UA-B1-ARCHIT-003-M,0,0,0,0,0,0,0
UA-B1-ARCHIT-004-M,0,0,0,0,0,0,0
UA-B1-ARCHIT-005-M,0,0,0,0,0,0,0
UA-B1-ARCHIT-006-M,0,0,0,0,0,0,0
UA-B1-ARCHIT-007-M,0,0,0,0,0,0,0
UA-B1-ARCHIT-008-M,0,0,0,0,0,0,0
UA-B1-ARCHIT-009-M,0,0,0,0,0,0,0
UA-B1-ARCHIT-010-M,0,0,0,0,0,0,0
UA-B1-ARCHIT-012-M,0,1,0,1,0,0,0
UA-B1-ARCHIT-013-M,0,0,0,0,0,0,0
UA-B1-ARCHIT-014-M,0,0,0,0,0,0,0
UA-B1-ARCHIT-015-M,0,0,0,0,0,0,0
UA-B1-ARCHIT-016-M,0,0,0,1,0,0,0
UA-B1-ARCHIT-018-M,0,0,0,0,0,0,0
UA-B1-ARCHIT-019-M,0,0,0,0,0,0,0
UA-B1-ARCHIT-030-M,0,0,0,0,0,0,0
UA-B2-ARCHIT-001-M,0,0,0,0,0,0,0
UA-B2-ARCHIT-002-M,0,0,0,0,0,0,0
UA-B2-ARCHIT-003-M,0,0,0,0,0,0,0
UA-B2-ARCHIT-004-M,0,0,0,0,0,0,0
UA-B2-ARCHIT-005-M,0,0,0,0,0,0,0
UA-B2-ARCHIT-006-M,0,0,0,0,0,0,0
UA-B2-ARCHIT-007-M,0,0,0,0,0,0,0
UA-B2-ARCHIT-008-M,0,0,0,0,0,0,0
UA-B2-ARCHIT-009-M,0,0,0,0,0,0,0
UA-B2-ARCHIT-010-M,0,0,0,0,0,0,0
UA-B2-ARCHIT-011-M,0,0,0,0,0,0,0
UA-B2-ARCHIT-012-M,0,0,0,0,0,0,0
UA-B2-ARCHIT-013-M,0,0,0,0,0,0,0
UA-B2-ARCHIT-014-M,0,0,0,0,0,0,0
UA-B2-ARCHIT-015-M,0,1,1,0,0,0,0
UA-B2-ARCHIT-016-M,0,0,0,0,0,0,0
UA-B2-ARCHIT-017-M,0,0,0,0,0,0,0
UA-B2-ARCHIT-018-M,0,0,0,0,0,0,0
UA-B2-ARCHIT-019-M,0,0,0,0,0,0,0
UA-B2-ARCHIT-032-M,0,0,0,0,0,0,0
UA-B3-ARCHIT-001-M,0,0,0,0,0,0,0
UA-B3-ARCHIT-002-M,0,0,0,0,0,0,0
