id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
040B,0,0,0,0,0,0,0,2,0,0,0,0,0,2
022F,0,0,0,0,0,0,0,2,0,0,0,0,1,2
100B,0,0,2,0,0,0,0,9,2,0,0,0,5,9
001K,0,0,0,0,0,0,0,1,0,0,0,0,0,1
040K,0,0,0,0,0,0,0,0,0,0,0,0,0,0
050K,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000B,0,0,1,0,0,0,0,8,1,0,0,0,3,8
030B,0,0,0,0,0,0,0,1,0,0,0,0,0,1
9000,0,0,1,0,0,0,0,3,1,0,0,0,2,3
281F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460M,0,0,0,0,0,0,0,1,0,0,0,0,0,1
46AM,0,0,0,0,0,0,0,1,0,0,0,0,0,1
411M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422M,0,0,0,0,0,0,0,1,0,0,0,0,0,1
423M,0,0,0,0,0,0,0,1,0,0,0,0,0,1
460B,0,0,1,0,0,0,0,2,0,0,0,0,0,2
420B,0,0,1,0,0,0,0,1,0,0,0,0,0,1
410B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413K,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
538F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500K,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511K,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521K,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
