code,shift_score,shiftpatterns,class,teachers,climate_score,climate_patterns,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
AGES2530,0.0,{},0,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AGES2803,0.0,{},1,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AGES2804,0.0,{},2,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AGES9002,0.0,{},3,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AGES9003,0.0,{},4,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AGRE2020,0.0,{},5,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AGRE2120,0.0,{},6,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AGRE2220,0.0,{},7,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AGRE2221,0.8271874346698728,"{""ecologie finalite didactique22"": 1, ""ecologie finalite"": 1, ""ecologie"": 1}",8,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
AGRE2310,0.8271874346698728,"{""ecologie finalite didactique22"": 1, ""ecologie finalite"": 1, ""ecologie"": 1}",9,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
AGRE2400,0.0,{},10,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AGRO0001-1,0.0,{},11,[],0.0,{},0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
BIOD0001-3,0.0,{},12,[],0.0,{},0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
BIOE2001,2.2456095045084314,"{""ecologie finalite specialisee26"": 1, ""ecologie finalite specialisee16"": 1, ""ecologie finalite didactique26"": 1, ""ecologie finalite didactique16"": 1, ""ecologie finalite approfondie26"": 1, ""ecologie finalite approfondie16"": 1, ""ecologie finalite"": 1, ""ecologie"": 1}",13,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
BIOE2002,2.2456095045084314,"{""ecologie finalite specialisee26"": 1, ""ecologie finalite specialisee16"": 1, ""ecologie finalite didactique26"": 1, ""ecologie finalite didactique16"": 1, ""ecologie finalite approfondie26"": 1, ""ecologie finalite approfondie16"": 1, ""ecologie finalite"": 1, ""ecologie"": 1}",14,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
BIRE2101,2.0419371636318107,"{""ecologie finalite specialisee23"": 1, ""ecologie finalite specialisee13"": 1, ""ecologie finalite didactique23"": 1, ""ecologie finalite didactique13"": 1, ""ecologie finalite approfondie23"": 1, ""ecologie finalite approfondie13"": 1, ""ecologie finalite"": 1, ""ecologie"": 1}",15,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
BIRE2102,2.07092372815303,"{""ecologie finalite specialisee24"": 1, ""ecologie finalite specialisee14"": 1, ""ecologie finalite didactique24"": 1, ""ecologie finalite didactique14"": 1, ""ecologie finalite approfondie24"": 1, ""ecologie finalite approfondie14"": 1, ""ecologie finalite"": 1, ""ecologie"": 1}",16,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
BIRE2105,2.0529460660687655,"{""ecologie finalite specialisee23"": 1, ""ecologie finalite specialisee13"": 1, ""ecologie finalite didactique23"": 1, ""ecologie finalite didactique13"": 1, ""ecologie finalite approfondie23"": 1, ""ecologie finalite approfondie13"": 1, ""ecologie finalite"": 1, ""ecologie"": 1}",17,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
BIRF2104,2.0529460660687655,"{""ecologie finalite specialisee23"": 1, ""ecologie finalite specialisee13"": 1, ""ecologie finalite didactique23"": 1, ""ecologie finalite didactique13"": 1, ""ecologie finalite approfondie23"": 1, ""ecologie finalite approfondie13"": 1, ""ecologie finalite"": 1, ""ecologie"": 1}",18,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
BRAT2101,2.1532165458352246,"{""ecologie finalite specialisee25"": 1, ""ecologie finalite specialisee15"": 1, ""ecologie finalite didactique25"": 1, ""ecologie finalite didactique15"": 1, ""ecologie finalite approfondie25"": 1, ""ecologie finalite approfondie15"": 1, ""ecologie finalite"": 1, ""ecologie"": 1}",19,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
BRES2106,1.9754855505693116,"{""ecologie finalite specialisee22"": 1, ""ecologie finalite master"": 1, ""ecologie finalite didactique22"": 1, ""ecologie finalite didactique12"": 1, ""ecologie finalite approfondie12"": 1, ""ecologie finalite"": 1, ""ecologie"": 1}",20,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DCYBM101,0.0,{},21,['LACHAPELLE Amélie'],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DCYBM201,0.0,{},22,['GRANDJEAN Nathalie'],0.0,{},0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
DELVB101,0.0,{},23,['Deville Guy'],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DELVB201,0.0,{},24,['Burns John'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DGENM301,0.0,{},25,['Wattier Stéphanie'],0.0,{},0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
DGENM302,0.0,{},26,['GRANDJEAN Nathalie'],0.0,{},0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
DOCU0047-1,0.0,{},27,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DRHDB101,0.0,{},28,['Wattier Stéphanie'],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DRHDB102,0.0,{},29,['Wattier Stéphanie'],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DRHDB103,0.0,{},30,['Putz Audrey'],0.0,{},1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
DRHDB104,0.0,{},31,['ROMMELAERE Claire'],0.0,{},0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
DRHDB105,0.0,{},32,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
