id,climate,energy,environment,durability,total
hist1ba,0,0,0,0,0
filo1ba,0,0,0,0,0
sphd1ba,1,0,0,0,1
bben1ba,0,0,0,0,0
gerf2mc,0,0,0,0,0
soca1ba_tr,1,0,0,0,1
comu1ba_tr,1,0,0,0,1
comu1ba_fa,1,0,0,0,1
spol1ba_tr,0,0,0,0,0
spol1ba_fa,1,0,0,1,1
spol1ba_un,2,0,0,1,2
drho2mc,0,0,0,0,0
dpim2mc,1,0,3,0,4
euhd2mc,0,0,0,0,0
comu1ba_un,1,0,0,0,1
soca1ba_fa,1,0,0,0,1
soca1ba_un,1,0,0,0,1
comu2ma,0,0,0,0,0
drhd1ba,0,0,0,0,0
roma1ba,0,0,0,0,0
inge1ba_tr,0,0,0,0,0
inge1ba_fa,0,0,0,1,1
inge1ba_un,0,0,0,1,1
ecge1ba_tr,0,0,0,1,1
ecge1ba_fa,0,0,0,1,1
ecge1ba_un,0,0,0,1,1
droi1ba_n3,1,0,0,1,1
germ1ba_dn,0,0,0,0,0
germ1ba_ad,0,0,0,0,0
germ1ba_an,0,0,0,0,0
droi1ba_fn,1,0,0,1,1
droi1ba_a3,0,0,0,0,0
droi1ba_fa,0,0,0,0,0
droi1ba_un,1,0,0,1,1
