id,decarbonization,energy,consumption,environment,climatology,durability,society
ANGL1191,0,0,0,0,0,0,0
ANGL1192,0,0,0,0,0,0,0
ANGL1291,0,0,0,0,0,0,0
ANGL1292,0,0,0,0,0,0,0
ANGL1391,0,0,0,0,0,0,0
ANGL1392,0,0,0,0,0,0,0
COMU1210,0,0,0,0,0,0,0
COMU1211,0,0,0,0,0,0,0
COMU1212,0,0,0,0,0,0,0
COMU1213,0,0,0,0,0,0,0
COMU1250,0,0,0,0,0,0,0
COMU1310,0,0,0,0,0,0,0
COMU1313,0,0,0,0,0,0,0
COMU1314,0,0,0,0,0,0,0
COMU1315,0,0,0,0,0,0,0
COMU1316,0,0,0,0,0,0,0
COMU1317,0,0,0,0,0,0,0
COMU2103,0,0,0,0,0,0,0
COMU2104,0,0,0,0,0,0,0
COMU2106,0,0,0,1,0,0,0
COMU2107,0,0,0,0,0,0,0
COMU2108,0,0,0,0,0,0,0
COMU2109,0,0,0,0,0,0,0
COMU2110,0,0,0,0,0,0,0
COMU2111,0,0,0,0,0,0,0
COMU2113,0,0,0,0,0,0,0
COMU2114,0,0,0,0,0,0,0
COMU2115,0,0,0,0,0,0,0
COMU2116,0,0,0,0,0,0,0
COMU2201,0,0,0,0,0,0,0
COMU2202,0,0,0,0,0,0,0
COMU2205,0,0,0,0,0,0,0
COMU2212,0,0,0,0,0,0,0
COMU2217,0,0,0,0,0,0,0
COMU2218,0,0,0,0,0,0,0
DPIM2111,0,0,0,0,0,0,0
DPIM2112,0,0,0,0,0,0,0
DPIM2113,0,0,0,0,0,0,0
DPIM2121,0,0,0,0,1,0,0
DPIM2122,0,0,0,0,0,0,0
DPIM2131,0,0,0,0,0,0,0
DPIM2140,0,0,0,0,0,0,0
DPIM2143,0,0,0,0,0,0,0
DPIM2150,0,0,0,0,0,0,0
DPIM2151,0,0,0,0,0,0,0
DPIM2163,0,0,0,0,0,0,0
DRAN1120,0,0,0,0,0,0,0
DRAN1216,0,0,0,0,0,0,0
DRAN1217,0,0,0,0,0,0,0
DRAN1220,0,0,0,0,0,0,0
DRAN1230,0,0,0,0,0,0,0
DRAN1261,0,0,0,0,0,0,0
DRAN1262,0,0,0,0,0,0,0
DRAN1265,0,0,0,0,0,0,0
DRAN1310,0,0,0,0,0,0,0
DRAN1320,0,0,0,0,0,0,0
DRAN1351,0,0,0,1,0,0,0
DRHO2110,0,0,0,0,0,0,0
DRHO2111,0,0,0,0,0,0,0
DRHO2112,0,0,0,0,0,0,0
DRHO2120,0,0,0,0,0,0,0
DRHO2121,0,0,0,0,0,0,0
DRHO2122,0,0,0,0,0,0,0
DRHO2130,0,0,0,0,0,0,0
DRHO2131,0,0,0,0,0,0,0
DRHO2132,0,0,0,0,0,0,0
DRHO2133,0,0,0,0,0,0,0
DRHO2134,0,0,0,0,0,0,0
DRHO2135,0,0,0,0,0,0,0
DRHO2137,0,0,0,0,0,0,0
DRHO2140,0,0,0,0,0,0,0
DRHO2141,0,0,0,0,0,0,0
DRHO2142,0,0,0,0,0,0,0
DRNL1130,0,0,0,0,0,0,0
DRNL1240,0,0,0,0,0,0,0
DRNL1270,0,0,0,0,0,0,0
DRNL1310,0,0,0,0,0,0,0
DRNL1312,0,0,0,0,0,0,0
DRNL1320,0,0,0,0,0,0,0
DRNL1350,0,0,0,0,0,0,0
DROI1110,0,0,0,0,0,0,0
DROI1111,0,0,0,0,0,0,0
DROI1112,0,0,0,0,0,0,0
DROI1120,0,0,0,0,0,0,0
DROI1122,0,0,0,0,0,0,0
DROI1123,0,0,0,0,0,0,0
DROI1124,0,0,0,0,0,0,0
DROI1125,0,0,0,0,0,0,0
DROI1130,0,0,0,0,0,0,0
DROI1140,0,0,0,0,0,0,0
DROI1153,0,0,0,0,0,0,0
DROI1211,0,0,0,0,0,0,0
DROI1212,0,0,0,0,0,0,0
DROI1213,0,0,0,0,0,0,0
DROI1214,0,0,0,0,0,0,0
DROI1218,0,0,0,0,0,0,0
DROI1220,0,0,0,0,0,0,0
DROI1221,0,0,0,0,0,0,0
DROI1241,0,0,0,0,0,0,0
DROI1251,0,0,0,0,0,0,0
DROI1261,0,0,0,0,0,0,0
DROI1262,0,0,0,0,0,0,0
DROI1266,0,0,0,0,0,0,0
DROI1267,0,0,0,0,0,0,0
DROI1272,0,0,0,0,0,0,0
DROI1273,0,0,0,0,0,0,0
DROI1310,0,0,0,0,0,0,0
DROI1311,0,0,0,0,0,0,0
DROI1312,0,0,0,0,0,0,0
DROI1313,0,0,0,0,0,0,0
DROI1314,0,0,0,0,0,0,0
DROI1316,0,0,0,0,0,0,0
DROI1318,0,0,0,0,0,0,0
DROI1319,0,0,0,0,0,0,0
DROI1340,0,0,0,0,0,0,0
DROI1350,0,0,0,0,0,0,0
DROI1355,0,0,0,0,0,0,0
DROI1365,0,0,0,0,1,0,0
DROI1366,0,0,0,0,0,0,0
DROI1369,0,0,0,0,0,0,0
DROI1370,0,0,0,0,0,0,0
ECGE1110,0,0,0,0,0,0,0
ECGE1111,0,0,0,0,0,0,0
ECGE1112,0,0,0,0,0,0,0
ECGE1113,0,0,0,0,0,0,0
ECGE1114,0,0,0,0,0,0,0
ECGE1115,0,0,0,0,0,0,0
ECGE1116,0,0,0,0,0,0,0
ECGE1117,0,0,0,0,0,0,0
ECGE1130,0,0,0,0,0,0,0
ECGE1131,0,0,0,0,0,0,0
ECGE1132,0,0,0,0,0,0,0
ECGE1133,0,0,0,0,0,0,0
ECGE1210,0,0,0,0,0,0,0
ECGE1211,0,0,0,0,0,0,0
ECGE1212,0,0,0,0,0,0,0
ECGE1213,0,0,0,0,0,0,0
ECGE1214,0,0,0,0,0,0,0
ECGE1215,0,0,0,0,0,0,0
ECGE1216,0,0,0,0,0,0,0
ECGE1217,0,0,0,0,0,0,0
ECGE1218,0,0,0,0,0,0,0
ECGE1220,0,0,0,0,0,0,0
ECGE1230,0,0,0,0,0,0,0
ECGE1231,0,0,0,0,0,0,0
ECGE1232,0,0,0,0,0,0,0
ECGE1233,0,0,0,0,0,0,0
ECGE1311,0,0,0,0,0,0,0
ECGE1313,0,0,0,0,0,1,0
ECGE1314,0,0,0,0,0,0,0
ECGE1316,0,0,0,0,0,0,0
ECGE1317,0,0,0,0,0,0,0
ECGE1318,0,0,0,0,0,0,0
ECGE1320,0,0,0,0,0,0,0
ECGE1321,0,0,0,0,0,0,0
ECGE1322,0,0,0,0,0,0,0
ECGE1324,0,0,0,0,0,0,0
ECGE1326,0,0,0,0,0,0,0
ECGE1327,0,0,0,0,0,0,0
ECGE1328,0,0,0,0,0,0,0
ECGE1329,0,0,0,0,0,0,0
ECGE1330,0,0,0,0,0,0,0
ECGE1340,0,0,0,0,0,0,0
ECGE1341,0,0,0,0,0,0,0
ESPO1160,0,0,0,0,0,0,0
ESPO1161,0,0,0,0,0,1,0
ESPO1162,0,0,0,0,0,0,0
ESPO1163,0,0,0,0,0,0,0
ESPO1164,0,0,0,1,0,0,0
ESPO1165,0,0,0,0,0,0,0
ESPO1170,0,0,0,0,0,0,0
ESPO1173,0,0,0,0,0,0,0
ESPO1176,0,0,0,0,0,0,0
ESPO1360,0,0,0,0,0,0,0
FILO1114,0,0,0,0,0,0,0
FILO1115,0,0,0,0,0,0,0
FILO1116,0,0,0,0,0,0,0
FILO1117,0,0,0,0,0,0,0
FILO1119,0,0,0,0,0,0,0
FILO1200,0,0,0,0,0,0,0
FILO1210,0,0,0,0,0,0,0
FILO1213,0,0,0,0,0,0,0
FILO1215,0,0,0,0,0,0,0
FILO1219,0,0,0,0,0,0,0
FILO1220,0,0,0,0,0,0,0
FILO1221,0,0,0,0,0,0,0
FILO1222,0,0,0,0,0,0,0
