id,climate,energy,environment,resources,sustainability,dedicated
AMUV4110-1,0,0,0,0,0,0
AMUV4150-1,0,0,0,0,0,0
AMUV4200-1,0,0,0,0,0,0
AMUV4250-1,0,0,0,0,0,0
AMUV4300-1,0,0,0,0,0,0
AMUV4350-1,0,0,0,0,0,0
AMUV4500-1,0,0,0,0,0,0
AMUV4550-1,0,0,0,0,0,0
AMUV4600-1,0,0,0,0,0,0
AMUV4800-1,0,0,0,0,0,0
AMUV4900-1,0,0,0,0,0,0
ANSV4100-1,0,0,0,0,0,0
ANSV4150-1,0,0,0,0,0,0
ANSV4200-1,0,0,0,0,0,0
ANSV4250-1,0,0,0,0,0,0
ANSV4310-1,0,0,0,0,0,0
ANSV4360-1,0,0,0,0,0,0
ANSV4400-1,0,0,0,0,0,0
ANSV4450-1,0,0,0,0,0,0
APCV2010-1,0,0,0,0,0,0
APCV2020-1,0,0,0,0,0,0
APCV2040-1,0,0,0,0,0,0
APCV2050-1,0,0,0,0,0,0
APCV2060-1,0,0,0,0,0,0
APCV2080-1,0,0,0,0,0,0
APCV2090-1,0,0,0,0,0,0
APCV2100-1,0,0,0,0,0,0
APCV2110-1,0,0,0,0,0,0
APCV3010-1,0,0,0,0,0,0
APCV3020-1,0,0,0,0,0,0
APCV3030-1,0,0,0,0,0,0
APCV3040-1,0,0,0,0,0,0
APCV3060-1,0,0,0,0,0,0
APCV3070-1,0,0,0,0,0,0
APCV3080-1,0,0,0,0,0,0
APOV2010-1,0,0,0,0,0,0
APOV2030-1,0,0,0,0,0,0
APOV2040-1,0,0,0,0,0,0
APOV2050-1,0,0,0,0,0,0
APOV2070-1,0,0,0,0,0,0
APOV2080-1,0,0,0,0,0,0
APOV2090-1,0,0,0,0,0,0
APOV2100-1,0,0,0,0,0,0
APOV2110-1,0,0,0,0,0,0
APOV3010-1,0,0,0,0,0,0
APOV3020-1,0,0,0,0,0,0
APOV3030-1,0,0,0,0,0,0
APOV3040-1,0,0,0,0,0,0
APOV3050-1,0,0,0,0,0,0
APOV3060-1,0,0,0,0,0,0
APPV2022-1,0,0,0,0,0,0
APPV2050-1,0,0,0,0,0,0
APPV2060-1,0,0,0,0,0,0
APPV2070-1,0,0,0,0,0,0
APPV2080-1,0,0,0,0,0,0
APPV2130-1,0,0,0,0,0,0
APPV2142-1,0,0,0,0,0,0
APPV3020-1,0,0,0,0,0,0
APPV3030-1,0,0,0,0,0,0
APPV3070-1,0,0,0,0,0,0
APPV3080-1,0,0,0,0,0,0
APPV3100-1,0,0,0,0,0,0
APPV3110-1,0,0,0,0,0,0
