id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated
AJEC1007-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEC1008-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEC2009-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEC3007-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEC3008-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEG1004-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEG2007-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEG3003-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEI1002-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEI2002-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEI3005-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEV1001-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEV1003-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEV1005-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEV1006-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEV1009-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEV1010-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEV1011-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEV2001-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEV2003-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEV2004-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEV2005-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEV2006-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEV2008-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEV2010-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEV2011-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEV3001-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEV3002-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEV3004-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEV3006-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJEV3009-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AMUV1100-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AMUV1150-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AMUV1200-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AMUV1300-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AMUV1350-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AMUV1500-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AMUV1550-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AMUV1600-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AMUV1650-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AMUV1700-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AMUV1800-1,0,0,0,0,0,0,0,0,0,0,0,0,0
ANSV1100-1,0,0,0,0,0,0,0,0,0,0,0,0,0
ANSV1110-1,0,0,0,0,0,0,0,0,0,0,0,0,0
ANSV1120-1,0,0,0,0,0,0,0,0,0,0,0,0,0
ANSV1130-1,0,0,0,0,0,0,0,0,0,0,0,0,0
ANSV1210-1,0,0,0,0,0,0,0,0,0,0,0,0,0
ANSV1220-1,0,0,0,0,0,0,0,0,0,0,0,0,0
