id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
M1SFEV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1PMOV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1PODV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1LOGV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSSIRV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1SSHV01,1,0,0,0,0,0,0,0,0,0,0,0,0,1
P1SSCV01,0,0,0,0,1,0,0,5,0,0,0,0,5,6
P1INFV01,0,0,0,0,0,0,0,1,0,0,0,0,0,1
S1EDUV01,0,0,0,0,0,0,0,0,0,0,0,1,0,1
S1APSV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1BCHV01,0,0,0,0,2,0,0,2,2,7,1,2,1,10
T1BBQV01,0,0,0,0,1,0,0,0,1,0,1,0,1,2
P1SMAV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1SLGV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1SFRV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1SFLV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1EPSV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1PSCV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1PRIH01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1PRIV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1SHUV02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1SCIV02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1MNUV02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1LGEH02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1FFLV02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1FCAV02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1FREV02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1FLAV02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1FPCV02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1HPEV02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1ESDH02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1ESDV02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1ESUH02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1ESUV02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1SHUV01,0,0,1,0,0,0,0,1,0,0,0,0,0,2
P1SCIV01,0,0,0,0,0,0,0,5,0,0,0,0,4,5
P1MNUV01,0,0,0,0,0,0,0,1,0,0,0,0,0,1
P1LGEH01,0,0,0,0,0,0,0,1,0,0,0,0,0,1
P1LGEV01,0,0,0,0,0,0,0,1,0,0,0,0,0,1
P1FFLV01,0,0,0,0,0,0,0,1,0,0,0,0,0,1
P1FCAV01,0,0,0,0,0,0,0,1,0,0,0,0,0,1
P1FREV01,0,0,0,0,0,0,0,1,0,0,0,0,0,1
P1FLAV01,0,0,0,0,0,0,0,1,0,0,0,0,0,1
P1FPCV01,0,0,0,0,0,0,0,1,0,0,0,0,0,1
P1HPEV01,0,0,0,0,0,0,0,1,0,0,0,0,0,1
P1ESDH01,0,0,0,0,0,0,0,2,0,0,0,0,0,2
P1ESDV01,0,0,0,0,0,0,0,2,0,0,0,0,0,2
P1ESUH01,0,0,0,0,0,0,0,2,0,0,0,0,0,2
P1ESUV01,0,0,0,0,0,0,0,2,0,0,0,0,0,2
P1COSV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1AJEV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSGERV99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSSPOV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSAMUV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSPSYV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSSCOV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSPEDV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSONCV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSANSV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMKINV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1KINV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1BIMV01,0,0,0,0,0,0,0,0,1,0,0,0,0,1
M1BBMV01,0,0,0,0,0,0,0,0,1,0,0,0,0,1
M1ISGW01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1ERGV01,0,0,1,0,0,0,0,12,0,2,0,0,2,14
M1BDIV01,0,0,0,0,1,0,0,2,0,0,0,0,0,2
M1AUDV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
