id,climate,energy,environment,resources,sustainability,dedicated
RHVIV21,0,0,0,0,0,0
RHVIV22,0,0,0,0,0,0
V1A001,0,0,0,0,0,0
V1A002,0,0,0,0,0,0
V1A003,0,0,0,0,0,0
V1A004,0,0,0,0,0,0
V1A007,0,0,0,0,0,0
V1A010,0,0,0,0,0,0
V1A011,0,0,0,0,0,0
V1A012,0,0,0,0,0,0
V1A013,0,0,0,0,0,0
V1A017,0,0,0,0,0,0
V1A018,0,0,0,0,0,0
V1A019,0,0,0,0,0,0
V1A020,0,0,0,0,0,0
V1A023,0,0,0,0,0,0
V1A054,0,0,0,0,0,0
V1A055,0,0,0,0,0,0
V1A056,0,0,0,0,0,0
V1A057,0,0,0,0,0,0
V1A058,0,0,0,0,0,0
V1A060,0,0,0,0,0,0
V1A064,0,0,0,0,0,0
V1A065,0,0,0,0,0,0
V1A067,0,0,0,0,0,0
V1A068,0,0,0,0,0,0
V1A071,0,0,0,0,0,0
V1A072,0,0,0,0,0,0
V1A073,0,0,0,0,0,0
V1A074,0,0,0,0,0,0
V1A084,0,0,0,0,0,0
V1A100,0,0,0,0,0,0
V1A104,0,0,0,0,0,0
V1A105,0,0,0,0,0,0
V1A106,0,0,0,0,0,0
V1A107,0,0,0,0,0,0
V1A108,0,0,0,0,0,0
V1A109,0,0,0,0,0,0
V1A110,0,0,0,0,0,0
V1A111,0,0,0,0,0,0
V1A112,0,0,0,0,0,0
V1A113,0,0,0,0,0,0
V1A114,0,0,0,0,0,0
V1A115,0,0,0,0,0,0
V1A116,0,0,0,0,0,0
V1A117,0,0,0,0,0,0
V1A118,0,0,0,0,0,0
V1A119,0,0,0,0,0,0
V1A120,0,0,0,0,0,0
V1A121,0,0,0,0,0,0
V1A122,0,0,0,0,0,0
V1A123,0,0,0,0,0,0
V1A124,0,0,0,0,0,0
V1A125,0,0,0,0,0,0
V1A126,0,0,0,0,0,0
V1A127,0,0,0,0,0,0
V1A400,0,0,0,0,0,0
V1A410,0,0,0,0,0,0
V1A411,0,0,0,0,0,0
V1A412,0,0,0,0,0,0
V1A413,0,0,0,0,0,0
V1A415,0,0,0,0,0,0
V1A416,0,0,0,0,0,0
V1A417,0,0,0,0,0,0
V1A423,0,0,0,0,0,0
V1A424,0,0,0,0,0,0
V1A429,0,0,0,0,0,0
V1A430,0,0,0,0,0,0
V1A431,0,0,0,0,0,0
V1A432,0,0,0,0,0,0
V1B001,0,0,0,0,0,0
V1B002,0,0,0,0,0,0
V1B003,0,0,0,0,0,0
V1B004,0,0,0,0,0,0
V1B005,0,0,0,0,0,0
V1B006,0,0,0,0,0,0
V1B007,0,0,0,0,0,0
V1B008,0,0,1,0,1,0
V1B009,0,0,0,0,0,0
V1B011,0,0,0,0,0,0
V1B012,0,0,0,0,0,0
V1B014,0,0,0,0,0,0
V1B015,0,0,0,0,0,0
V1B016,0,0,0,0,0,0
V1B018,0,0,0,0,0,0
V1B020,0,0,0,0,0,0
V1B021,0,0,0,0,0,0
V1B023,0,0,0,0,0,0
V1F001,0,0,0,0,0,0
V1F002,0,0,0,0,0,0
V1F003,0,0,0,0,0,0
V1F004,0,0,0,0,0,0
V1F005,0,0,0,0,0,0
V1F006,0,0,0,0,0,0
V1F007,0,0,0,0,0,0
V1F008,0,0,0,0,0,0
V1F009,0,0,0,0,0,0
V1F010,0,0,0,0,0,0
V1F011,0,0,0,0,0,0
V1F012,0,0,0,0,0,0
V1F014,0,0,0,0,0,0
V1F015,0,0,0,0,0,0
V1F016,0,0,0,0,0,0
V1F018,0,0,0,0,0,0
V1F019,0,0,0,0,0,0
V1F020,0,0,0,0,0,0
V1F021,0,0,0,0,0,0
V1F022,0,0,0,0,0,0
V1F023,0,0,0,0,0,0
V1F024,0,0,0,0,0,0
V1F025,0,0,0,0,0,0
V1F026,0,0,0,0,0,0
V1F027,0,0,0,0,0,0
V1F028,0,0,0,0,0,0
V1F029,0,0,0,0,0,0
V1F031,0,0,0,0,0,0
V1F032,0,0,0,0,0,0
V1F034,0,0,0,0,0,0
V1F035,0,0,0,0,0,0
V1F036,0,0,0,0,0,0
V1F037,0,0,0,0,0,0
V1F038,0,0,0,0,0,0
V1F039,0,0,0,0,0,0
V1F040,0,0,0,0,0,0
V1F041,0,0,0,0,0,0
V1F042,0,0,0,0,0,0
V1F043,0,0,1,0,0,0
V1F044,0,0,0,0,0,0
V1F045,0,0,0,0,0,0
V1F046,0,0,0,0,0,0
V1F047,0,0,0,0,0,0
V1F048,0,0,0,0,0,0
V1F049,0,0,0,0,0,0
V1F050,0,0,0,0,0,0
V1F051,0,0,0,0,0,0
V1F052,0,0,0,0,0,0
V1F053,0,0,0,0,0,0
V1F054,0,0,0,0,0,0
V1F055,0,0,0,0,0,0
V1F056,0,0,0,0,0,0
V1F057,0,0,0,0,0,0
V1F058,0,0,0,0,0,0
V1F059,0,0,0,0,0,0
V1F060,0,0,0,0,0,0
V1F061,0,0,0,0,0,0
V1F062,0,0,0,0,0,0
V1F063,0,0,0,0,0,0
V1G004,0,0,0,0,0,0
V1G005,0,0,0,0,0,0
V1G006,0,0,0,0,0,0
V1G007,0,0,0,0,0,0
V1G008,0,0,0,0,0,0
V1G009,0,0,0,0,0,0
V1G010,0,0,0,0,0,0
V1G014,0,0,0,0,0,0
V1G015,0,0,0,0,0,0
V1G016,0,0,0,0,0,0
V1G017,0,0,0,0,0,0
V1G018,0,0,0,0,0,0
V1G019,0,0,0,0,0,0
V1G020,0,0,0,0,0,0
V1G021,0,0,0,0,0,0
V1G022,0,0,0,0,0,0
V1G026,0,0,0,0,0,0
V1G027,0,0,0,0,0,0
V1G028,0,0,0,0,0,0
V1G033,0,0,0,0,0,0
V1G034,0,0,0,0,0,0
V1G035,0,0,0,0,0,0
V1G036,0,0,0,0,0,0
V1G037,0,0,0,0,0,0
V1G038,0,0,0,0,0,0
V1G039,0,0,0,0,0,0
V1G040,0,0,0,0,0,0
V1G041,0,0,0,0,0,0
V1G042,0,0,0,0,0,0
V1G043,0,0,0,0,0,0
V1G044,0,0,0,0,0,0
V1G045,0,0,0,0,0,0
V1G046,0,0,0,0,0,0
V1G048,0,0,0,0,0,0
V1G049,0,0,0,0,0,0
V1G050,0,0,0,0,0,0
V1G051,0,0,0,0,0,0
V1G052,0,0,0,0,0,0
V1G053,0,0,0,0,0,0
V1G054,0,0,0,0,0,0
V1G055,0,0,0,0,0,0
V1G056,0,0,0,0,0,0
V1G057,0,0,0,0,0,0
V1G058,0,0,0,0,0,0
V1G059,0,0,0,0,0,0
V1G060,0,0,0,0,0,0
V1G061,0,0,0,0,0,0
V1G062,0,0,0,0,0,0
V1G063,0,0,0,0,0,0
V1G064,0,0,0,0,0,0
V1G077,0,0,0,0,0,0
V1G078,0,0,0,0,0,0
V1G079,0,0,0,0,0,0
V1G080,0,0,0,0,0,0
V1G081,0,0,0,0,0,0
V1G082,0,0,0,0,0,0
V1G083,0,0,0,0,0,0
V1G084,0,0,0,0,0,0
V1G085,0,0,0,0,0,0
V1G086,0,0,0,0,0,0
V1G087,0,0,0,0,0,0
V1G088,0,0,0,0,0,0
V1G089,0,0,0,0,0,0
V1G090,0,0,0,0,0,0
V1G091,0,0,0,0,0,0
V1G093,0,0,0,0,0,0
V1G094,0,0,0,0,0,0
V1G095,0,0,0,0,0,0
V1G096,0,0,0,0,0,0
V1G098,0,0,0,0,0,0
V1G099,0,0,0,0,0,0
V1G100,0,0,0,0,0,0
V1G101,0,0,0,0,0,0
V1G102,0,0,0,0,0,0
V1G103,0,0,0,0,0,0
V1G104,0,0,0,0,0,0
V1G105,0,0,0,0,0,0
V1G106,0,0,0,0,0,0
V1G107,0,0,0,0,0,0
V1G108,0,0,0,0,0,0
V1G109,0,0,0,0,0,0
V1G110,0,0,0,0,0,0
V1G111,0,0,0,0,0,0
V1G112,0,0,0,0,0,0
V1G114,0,0,0,0,0,0
V1G115,0,0,0,0,0,0
V1G116,0,0,0,0,0,0
V1G117,0,0,0,0,0,0
V1G119,0,0,0,0,0,0
V1G120,0,0,0,0,0,0
V1G121,0,0,0,0,0,0
V1G122,0,0,0,0,0,0
V1G124,0,0,0,0,0,0
V1G125,0,0,0,0,0,0
V1H001,0,0,0,0,0,0
V1H002,0,0,0,0,0,0
V1H003,0,0,0,0,0,0
V1H004,0,0,0,0,0,0
V1H006,0,0,0,0,0,0
V1H007,0,0,0,0,0,0
V1H008,0,0,0,0,0,0
V1H012,0,0,0,0,0,0
V1H013,0,0,0,0,0,0
V1H014,0,0,0,0,0,0
V1H016,0,0,0,0,0,0
V1H017,0,0,0,0,0,0
V1H018,0,0,0,0,0,0
V1H021,0,0,0,0,0,0
V1H022,0,0,0,0,0,0
V1H023,0,0,0,0,0,0
V1H024,0,0,0,0,0,0
V1H025,0,0,0,0,0,0
V1H026,0,0,0,0,0,0
V1H027,0,0,0,0,0,0
V1H028,0,0,0,0,0,0
V1H029,0,0,0,0,0,0
V1H030,0,0,0,0,0,0
V1H031,0,0,0,0,0,0
V1H032,0,0,0,0,0,0
V1H033,0,0,0,0,0,0
V1H034,0,0,0,0,0,0
V1H035,0,0,0,0,0,0
V1H036,0,0,0,0,0,0
V1H037,0,0,0,0,0,0
V1H038,0,0,0,0,0,0
V1H039,0,0,0,0,0,0
V1H040,0,0,0,0,0,0
V1H041,0,0,0,0,0,0
V1H042,0,0,0,0,0,0
V1H043,0,0,0,0,0,0
V1H046,0,0,0,0,0,0
V1H047,0,0,0,0,0,0
V1H048,0,0,0,0,0,0
V1K001,0,0,0,0,0,0
V1K002,0,0,0,0,0,0
V1K003,0,0,0,0,0,0
V1K004,0,0,0,0,0,0
V1K005,0,0,0,0,0,0
V1K006,0,0,0,0,0,0
V1K007,0,0,0,0,0,0
V1K008,0,0,0,0,0,0
V1K009,0,0,0,0,0,0
V1K010,0,0,0,0,0,0
V1K011,0,0,0,0,0,0
V1K012,0,0,0,0,0,0
V1K013,0,0,0,0,0,0
V1K014,0,0,0,0,0,0
V1K015,0,0,0,0,0,0
V1K016,0,0,0,0,0,0
V1K017,0,0,0,0,0,0
V1K018,0,0,0,0,0,0
V1K019,0,0,0,0,0,0
V1K020,0,0,0,0,0,0
V1K021,0,0,0,0,0,0
V1K022,0,0,0,0,0,0
V1K023,0,0,0,0,0,0
V1K024,0,0,0,0,0,0
V1K025,0,0,0,0,0,0
V1K026,0,0,0,0,0,0
V1K027,0,0,0,0,0,0
V1K028,0,0,0,0,0,0
V1K029,0,0,0,0,0,0
V1K030,0,0,0,0,0,0
V1K031,0,0,0,0,0,0
V1K032,0,0,0,0,0,0
V1K033,0,0,0,0,0,0
V1K034,0,0,0,0,0,0
V1K035,0,0,0,0,0,0
V1K036,0,0,0,0,0,0
V1K037,0,0,0,0,0,0
V1K038,0,0,0,0,0,0
V1K039,0,0,0,0,0,0
V1K040,0,0,0,0,0,0
V1K041,0,0,0,0,0,0
V1K042,0,0,0,0,0,0
V1K043,0,0,0,0,0,0
V1K044,0,0,0,0,0,0
V1K045,0,0,0,0,0,0
V1K046,0,0,0,0,0,0
V1K047,0,0,0,0,0,0
V1K048,0,0,0,0,0,0
V1K049,0,0,0,0,0,0
V1K101,0,0,0,0,0,0
V1K102,0,0,0,0,0,0
V1K103,0,0,0,0,0,0
V1K104,0,0,0,0,0,0
V1K105,0,0,0,0,0,0
V1K106,0,0,0,0,0,0
V1K107,0,0,0,0,0,0
V1K108,0,0,0,0,0,0
V1K109,0,0,0,0,0,0
V1K110,0,0,0,0,0,0
V1K111,0,0,0,0,0,0
V1K112,0,0,0,0,0,0
V1K113,0,0,0,0,0,0
V1K114,0,0,0,0,0,0
V1K115,0,0,0,0,0,0
V1K116,0,0,0,0,0,0
V1M001,0,0,0,0,0,0
V1M002,0,0,0,0,0,0
V1M003,0,0,0,0,0,0
V1M006,0,0,0,0,0,0
V1M007,0,0,0,0,0,0
V1M008,0,0,0,0,0,0
V1M009,0,0,0,0,0,0
V1M010,0,0,0,0,0,0
V1M016,0,0,0,0,0,0
V1M018,0,0,0,0,0,0
V1M019,0,0,0,0,0,0
V1M021,0,0,0,0,0,0
V1M038,0,0,0,0,0,0
V1M041,0,0,0,0,0,0
V1M042,0,0,0,0,0,0
V1M044,0,0,0,0,0,0
V1M045,0,0,0,0,0,0
V1M051,0,0,0,0,0,0
V1M055,0,0,0,0,0,0
V1M057,0,0,0,0,0,0
V1M061,0,0,0,0,0,0
V1M062,0,0,0,0,0,0
V1M063,0,0,0,0,0,0
V1M064,0,0,0,0,0,0
V1M066,0,0,0,0,0,0
V1M068,0,0,0,0,0,0
V1M070,0,0,0,0,0,0
V1M071,0,0,0,0,0,0
V1M072,0,0,0,0,0,0
V1M073,0,0,0,0,0,0
V1M074,0,0,0,0,0,0
V1M075,0,0,0,0,0,0
V1M076,0,0,0,0,0,0
V1M077,0,0,0,0,0,0
V1N003,0,0,0,0,0,0
V1N005,0,0,0,0,0,0
V1N007,0,0,0,0,0,0
V1N012,0,0,0,0,0,0
V1N015,0,0,0,0,0,0
V1N016,0,0,0,0,0,0
V1N017,0,0,0,0,0,0
V1N018,0,0,0,0,0,0
V1N020,0,0,0,0,0,0
V1N023,0,0,0,0,0,0
V1N024,0,0,0,0,0,0
V1N025,0,0,0,0,0,0
V1N028,0,0,0,0,0,0
V1N031,0,0,0,0,0,0
V1N035,0,0,0,0,0,0
V1N038,0,0,0,0,0,0
V1N040,0,0,0,0,0,0
V1N043,0,0,0,0,0,0
V1N044,0,0,0,0,0,0
V1N045,0,0,0,0,0,0
V1N046,0,0,0,0,0,0
V1N048,0,0,0,0,0,0
V1N051,0,0,0,0,0,0
V1N052,0,0,0,0,0,0
V1N053,0,0,0,0,0,0
V1N056,0,0,0,0,0,0
V1N065,0,0,0,0,0,0
V1N066,0,0,0,0,0,0
V1N067,0,0,0,0,0,0
V1N069,0,0,0,0,0,0
V1N072,0,0,0,0,0,0
V1N073,0,0,0,0,0,0
V1N078,0,0,0,0,0,0
V1N079,0,0,0,0,0,0
V1N080,0,0,0,0,0,0
V1N081,0,0,0,0,0,0
V1N083,0,0,0,0,0,0
V1N084,0,0,0,0,0,0
V1N085,0,0,0,0,0,0
V1N086,0,0,0,0,0,0
V1N087,0,0,0,0,0,0
V1N088,0,0,0,0,0,0
V1N090,0,0,0,0,0,0
V1N091,0,0,0,0,0,0
V1N093,0,0,0,0,0,0
V1N094,0,0,0,0,0,0
V1N095,0,0,0,0,0,0
V1N096,0,0,0,0,0,0
V1N105,0,0,0,0,0,0
V1N107,0,0,0,0,0,0
V1N108,0,0,0,0,0,0
V1N111,0,0,0,0,0,0
V1O001,0,0,0,0,0,0
V1O002,0,0,0,0,0,0
V1O003,0,0,0,0,0,0
V1O004,0,0,0,0,0,0
V1O005,0,0,0,0,0,0
V1O006,0,0,0,0,0,0
V1O007,0,0,0,0,0,0
V1O008,0,0,0,0,0,0
V1O009,0,0,0,0,0,0
V1O010,0,0,0,0,0,0
V1O011,0,0,0,0,0,0
V1O012,0,0,0,0,0,0
V1O013,0,0,0,0,0,0
V1O014,0,0,0,0,0,0
V1O015,0,0,0,0,0,0
V1O016,0,0,0,0,0,0
