id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated
V2S168,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S383,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S410,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S413,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S414,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S415,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S416,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S418,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S419,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S426,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S427,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S428,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S430,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S436,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S443,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S445,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S447,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S448,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S450,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S451,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S499,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S501,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S506,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S507,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S508,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S510,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S511,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S513,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S514,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S516,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S517,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S518,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S519,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S520,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S521,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S522,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S523,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S615,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S616,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S617,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S618,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S619,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S620,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S652,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S653,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S654,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S666,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S667,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S668,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S693,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S669,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S694,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S696,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S697,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S698,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S699,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S700,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S701,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S702,0,0,0,0,0,0,0,0,0,0,0,0,0
V2S703,0,0,0,0,0,0,0,0,0,0,0,0,0
V33C22,0,0,0,0,0,0,0,0,0,0,0,0,0
V33C34,0,0,0,0,0,0,0,0,0,0,0,0,0
V33C40,0,0,1,0,0,0,0,0,0,0,0,0,0
V33C41,0,0,0,0,0,0,0,0,0,0,0,0,0
V3538C,0,0,0,0,0,0,0,0,0,0,0,0,0
V3558C,0,0,0,0,0,0,0,0,0,0,0,0,0
V3610B,0,0,0,0,0,0,0,0,0,0,0,0,0
V3611B,0,0,0,0,0,0,0,0,0,0,0,0,0
V3614B,0,0,0,0,0,0,0,0,0,0,0,0,0
V3615B,0,0,0,0,0,0,0,0,0,0,0,0,0
V3617B,0,0,0,0,0,0,0,0,0,0,0,0,0
