id,climate,energy,environment,resources,sustainability,dedicated,total
SC_55161278,0,0,0,0,0,0,0
SC_52334929,3,0,3,1,6,2,7
SC_55372679,0,0,0,0,0,0,0
SC_54551576,0,0,0,0,0,0,0
SC_55210994,0,0,0,0,0,0,0
SC_55699130,0,0,0,0,0,0,0
SC_54989801,0,0,0,0,0,0,0
SC_55017842,0,0,0,0,0,0,0
SC_52465676,0,0,0,0,0,0,0
SC_54989805,0,0,0,0,0,0,0
SC_54987639,0,0,0,0,0,0,0
SC_55210878,0,0,0,0,0,0,0
SC_55060833,0,0,1,0,0,0,1
SC_53867238,0,0,0,0,0,0,0
SC_53256962,0,0,1,0,1,0,1
SC_52357553,0,0,2,0,1,1,3
SC_52334921,3,0,4,0,6,2,7
SC_52334920,3,0,6,0,8,3,10
SC_55371857,0,0,0,0,0,0,0
SC_55062826,0,0,0,0,0,0,0
SC_52357563,0,0,0,0,0,0,0
SC_52334947,3,0,3,0,6,2,6
SC_52334946,3,0,3,0,6,2,6
SC_52334928,3,0,3,1,6,2,7
SC_56233788,0,0,0,0,0,0,0
SC_53861109,0,0,0,0,0,0,0
SC_52557907,0,0,0,0,0,0,0
SC_56376531,0,0,0,0,0,0,0
SC_55574283,0,0,1,0,0,0,1
SC_54207000,0,0,0,0,0,0,0
SC_53497685,0,0,0,0,0,0,0
SC_55711988,0,0,0,0,0,0,0
SC_52334917,5,2,8,1,8,3,12
SC_55018975,0,0,2,0,0,0,2
SC_52334916,9,8,25,1,17,12,32
SC_56207363,1,1,2,0,2,1,4
SC_55587523,1,0,2,0,2,1,2
SC_55556597,2,3,8,1,4,3,13
SC_53425692,0,0,0,0,0,0,0
SC_56239909,0,0,0,0,0,0,0
SC_55141231,0,0,0,0,0,0,0
SC_52972279,0,0,0,0,0,0,0
SC_52972192,0,0,0,0,0,0,0
SC_52904435,0,0,0,0,0,0,0
SC_53860886,0,0,1,0,1,0,1
SC_55089736,0,0,0,0,1,1,1
SC_52440542,0,0,0,0,0,0,0
SC_52334909,0,0,0,0,0,0,0
SC_52334911,0,0,0,0,1,1,1
SC_55044761,0,0,0,0,0,0,0
SC_53420400,1,1,3,1,1,1,4
SC_52357485,0,0,0,0,0,0,0
SC_52354730,0,0,0,0,0,0,0
SC_55065856,0,0,0,0,0,0,0
SC_55610818,0,0,0,0,0,0,0
SC_53861183,0,0,1,0,1,0,1
SC_52526054,0,0,0,0,0,0,0
SC_52525945,0,0,0,0,0,0,0
SC_55063163,0,0,0,0,0,0,0
SC_55063161,0,0,0,0,0,0,0
SC_55065792,0,0,0,0,0,0,0
SC_55063166,0,0,0,0,0,0,0
SC_52354728,0,0,0,0,0,0,0
SC_52334932,3,0,3,0,6,2,6
SC_52334934,3,0,3,0,7,2,7
SC_52334931,3,0,3,0,7,2,7
SC_52354731,0,0,0,0,0,0,0
SC_52334936,3,0,3,0,6,2,6
SC_52357516,0,0,1,0,0,0,1
SC_52357503,0,0,1,0,0,0,1
SC_52334940,4,0,3,0,6,2,7
SC_54578345,1,0,0,0,0,0,1
SC_54577772,1,0,0,0,0,0,1
SC_52334938,4,0,3,0,6,2,7
SC_52334939,3,0,4,0,7,2,8
SC_52357631,1,2,3,1,1,1,5
SC_52357626,1,2,3,1,1,1,5
SC_52357627,1,2,4,1,1,1,6
SC_52334945,4,2,7,1,7,3,12
SC_52357633,0,2,2,1,1,1,4
SC_52387045,3,2,5,1,7,3,10
SC_52334952,3,2,5,1,7,3,10
SC_55026106,1,2,2,1,1,0,4
SC_55021080,0,0,2,0,0,1,2
SC_52525931,0,0,0,0,0,0,0
SC_56314527,0,0,0,0,0,0,0
SC_56297452,0,0,0,0,0,0,0
SC_56209090,0,0,0,0,0,0,0
SC_56209087,0,0,0,0,0,0,0
SC_56209086,0,0,0,0,0,0,0
SC_56208298,0,0,0,0,0,0,0
SC_55703073,0,0,0,0,0,0,0
SC_55702916,0,0,0,0,0,0,0
SC_55702912,0,0,0,0,0,0,0
SC_55700155,0,0,0,0,0,0,0
SC_54567398,0,0,0,0,0,0,0
SC_54132030,0,0,0,0,0,0,0
SC_53156181,0,0,0,0,0,0,0
SC_52334912,0,0,0,0,0,0,0
SC_52334910,0,0,0,0,0,0,0
SC_52334964,0,0,3,0,3,0,3
SC_54636286,0,0,3,0,2,0,3
SC_54580976,0,0,3,0,2,0,3
SC_54098173,3,0,5,0,6,2,8
SC_54098047,0,0,2,0,0,0,2
SC_53636535,3,0,9,0,9,2,11
SC_53636532,0,0,13,0,11,0,13
SC_53630105,3,0,9,0,9,2,11
SC_52334963,3,0,5,0,7,2,7
SC_56333554,0,0,0,0,0,0,0
SC_56236833,0,0,0,0,0,0,0
SC_56222398,0,0,0,0,0,0,0
SC_56222391,0,0,0,0,0,0,0
SC_56222297,0,0,0,0,0,0,0
SC_56222202,0,0,0,0,0,0,0
SC_54779050,3,0,3,0,7,2,7
SC_53656275,0,2,0,0,0,0,2
SC_53861485,0,0,0,0,0,0,0
SC_55161912,0,0,0,0,0,0,0
SC_54365574,0,4,11,2,4,0,11
SC_55074202,1,6,3,0,1,4,6
SC_55589719,0,0,0,0,0,0,0
SC_52334924,4,18,19,0,11,3,26
SC_52941772,3,3,15,5,11,13,24
SC_56191707,0,1,0,0,0,0,1
SC_55018709,0,0,4,0,0,0,4
SC_55012032,0,0,1,1,0,1,1
SC_55092726,0,1,0,0,0,0,1
SC_52334919,3,3,4,0,7,2,11
SC_52334925,3,0,3,0,6,2,6
SC_52334927,4,11,16,0,7,10,25
SC_52334948,3,11,20,2,17,2,23
SC_53252729,3,0,3,0,6,2,6
SC_53783929,0,0,0,0,0,0,0
SC_52465644,0,0,1,0,1,0,1
SC_54814290,0,0,1,0,1,0,1
SC_54814285,0,0,0,0,0,0,0
SC_54814280,0,0,0,0,0,0,0
SC_54814275,0,0,0,0,0,0,0
SC_54814245,0,0,1,0,1,0,1
SC_54814237,0,0,0,0,0,0,0
SC_53861758,0,0,0,0,0,0,0
SC_54008479,0,0,0,0,0,0,0
SC_53861612,1,0,0,0,1,1,1
SC_53861527,0,0,0,0,0,0,0
SC_54217072,0,0,1,0,0,0,1
SC_52592498,0,0,0,0,0,0,0
SC_52592941,0,0,0,0,0,0,0
SC_54217253,0,0,0,0,0,0,0
SC_54217266,0,0,0,0,0,0,0
SC_54694142,0,0,1,0,0,0,1
SC_53039656,0,0,0,0,0,0,0
SC_52334965,1,0,3,0,9,3,9
SC_53745303,0,0,0,0,0,0,0
SC_54217058,0,0,0,0,0,0,0
SC_54662961,0,0,1,0,0,0,1
SC_52357567,0,0,0,0,0,0,0
SC_56245925,0,0,0,0,0,0,0
SC_52354784,1,0,0,0,0,0,1
SC_55032484,0,0,0,0,0,0,0
SC_52334942,4,0,5,0,8,2,9
SC_52357675,0,0,0,0,0,0,0
SC_52334950,3,0,3,0,6,2,6
SC_56245859,1,0,1,0,2,1,2
SC_52357674,0,0,0,0,0,0,0
SC_52334949,3,0,4,0,7,2,7
SC_52334956,3,0,4,0,6,2,7
SC_52357565,0,0,1,0,0,0,1
SC_52334955,3,0,5,0,8,2,9
SC_54664707,0,0,1,0,0,0,1
SC_56293960,3,0,4,0,6,2,7
SC_52357555,0,0,0,0,0,0,0
SC_52334954,3,0,4,0,6,2,7
SC_55619298,1,0,4,0,2,1,5
SC_55617861,1,0,4,0,2,1,5
SC_52357531,0,0,1,0,0,0,1
SC_52334953,3,0,7,0,7,2,10
SC_55020896,0,0,1,0,0,0,1
SC_55021349,0,0,0,0,0,0,0
SC_55032479,0,0,0,0,0,0,0
SC_56268693,0,0,0,0,0,0,0
SC_52388361,0,0,0,0,0,0,0
SC_54100351,0,0,1,0,0,0,1
SC_52467752,0,0,0,0,0,0,0
SC_54842589,0,0,0,0,0,0,0
