id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
SC_56189218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_52334914,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SC_54110003,0,0,0,0,1,0,0,1,0,0,0,0,0,2
SC_52334929,0,0,0,1,0,0,0,0,0,0,2,0,0,3
SC_55062826,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54551576,0,0,0,1,0,0,0,0,0,0,0,0,1,1
SC_58092036,0,0,0,2,0,0,0,2,0,0,0,0,0,4
SC_56839602,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_52465676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55210994,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55210878,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55060833,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_53867238,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_53256962,0,0,0,1,0,0,0,0,0,0,0,0,0,1
SC_52357553,0,0,0,0,1,0,0,1,0,0,0,0,0,2
SC_52334921,0,0,0,1,0,0,0,1,0,0,0,0,0,2
SC_52334920,0,0,0,2,1,0,0,2,0,1,0,0,0,6
SC_52357563,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_52334947,0,0,0,1,0,0,0,0,0,0,0,0,0,1
SC_52334946,0,0,0,1,0,0,0,1,0,0,0,0,0,2
SC_52334928,0,0,0,1,0,0,0,0,0,0,2,0,0,3
SC_56233788,0,0,0,0,0,0,0,0,0,0,2,0,0,2
SC_53249809,0,0,0,1,1,0,0,1,0,0,0,0,0,3
SC_56189216,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54986218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54985716,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57956336,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_57956329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57954971,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_53861109,0,0,2,2,0,0,0,0,0,0,0,0,4,4
SC_52557907,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_56376531,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55574283,0,0,1,0,0,0,0,3,0,0,0,0,0,3
SC_54207000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55711988,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56207363,1,1,1,1,2,1,0,11,0,0,0,0,1,12
