id,climate,energy,environment,resources,sustainability,dedicated,total
00721-0000002104,0,0,0,0,0,0,0
00066-0000000093,0,0,1,0,1,0,1
00183-0000000482,3,1,4,0,1,2,8
00180-0000000465,1,0,0,0,1,0,2
00097-0000001090,0,0,0,0,0,0,0
00099-0000000995,0,0,0,0,0,0,0
00052-0000000067,0,0,0,0,0,0,0
00187-0000000494,0,0,0,0,0,0,0
00360-0000000730,0,0,0,0,1,0,1
00330-0000001279,0,0,0,0,0,0,0
00679-0000001988,0,0,0,0,0,0,0
00708-0000002069,0,0,0,0,0,0,0
00405-0000000781,0,0,0,0,0,0,0
00420-0000000801,0,0,0,0,0,0,0
00680-0000001989,0,1,1,0,0,0,2
00404-0000000780,0,0,0,0,1,0,1
00619-0000001735,0,0,0,0,0,0,0
00647-0000001841,0,0,0,0,0,0,0
00674-0000001980,0,0,0,0,0,0,0
00724-0000002132,0,0,0,0,0,0,0
00723-0000002131,0,0,0,0,0,0,0
00593-0000001703,0,0,0,0,0,0,0
00676-0000001984,0,0,0,0,0,0,0
00540-0000001404,1,0,1,0,0,0,2
00591-0000001701,0,0,0,0,0,0,0
00541-0000001405,1,0,1,0,0,0,2
00592-0000001702,0,0,0,0,0,0,0
00444-0000000838,1,0,0,0,0,0,1
00539-0000001403,0,0,0,0,0,0,0
00265-0000000619,0,0,0,0,0,0,0
00530-0000001269,0,0,0,0,0,0,0
00294-0000000671,0,0,0,0,1,1,1
00705-0000002063,5,0,2,1,5,4,8
00634-0000001811,0,0,0,0,0,0,0
00538-0000001392,1,0,0,0,0,0,1
00292-0000000640,0,1,0,0,4,1,5
00173-0000000448,0,0,1,0,0,1,1
00192-0000000507,0,0,1,0,0,1,1
00392-0000000765,2,0,10,1,2,5,12
00224-0000000550,0,0,0,0,1,0,1
00531-0000001767,0,0,0,0,0,0,0
00235-0000000561,1,0,0,0,1,0,2
00244-0000000575,4,0,4,2,6,5,8
00151-0000001745,0,1,0,0,0,0,1
00414-0000000793,1,2,3,0,13,0,14
00589-0000001695,0,2,2,0,7,0,7
00419-0000000800,0,0,0,0,1,0,1
00411-0000000787,0,0,1,0,0,0,1
00415-0000000797,4,5,7,2,16,3,18
00537-0000001995,1,1,6,0,2,1,7
00413-0000000791,0,2,4,1,14,3,15
00532-0000001280,2,0,0,1,2,1,3
00646-0000001840,0,0,1,0,1,1,2
00399-0000002012,0,1,1,0,3,0,5
00397-0000001398,6,0,29,2,4,22,32
00416-0000000798,1,13,13,1,21,4,22
00243-0000000574,4,0,1,1,6,3,9
00058-0000000073,3,1,2,1,3,3,4
00262-0000000613,0,0,0,0,1,0,1
00579-0000001699,0,0,0,0,0,0,0
00722-0000002105,0,0,0,0,0,0,0
00629-0000001801,0,0,0,0,0,0,0
00343-0000000717,0,0,0,0,0,0,0
00344-0000000718,0,0,0,0,0,0,0
00398-0000000774,0,0,0,0,0,0,0
00365-0000002092,0,0,0,0,0,0,0
00327-0000000701,0,0,0,0,0,0,0
00506-0000001163,0,0,0,0,1,0,1
00340-0000000714,0,0,0,0,0,0,0
00590-0000001696,0,1,0,0,0,0,1
00337-0000000711,0,0,0,0,0,0,0
00339-0000000713,0,0,0,0,0,0,0
00336-0000000710,0,0,0,0,0,0,0
00332-0000000706,0,0,0,0,0,0,0
00355-0000000728,0,1,1,0,1,0,2
00354-0000000727,0,0,0,0,1,0,1
00348-0000002094,0,0,0,0,0,0,0
00351-0000000724,0,0,0,0,0,0,0
00350-0000000723,0,0,0,0,0,0,0
00338-0000000712,0,0,0,0,0,0,0
00325-0000001278,0,0,0,0,0,0,0
00335-0000000949,0,0,0,0,0,0,0
00328-0000000702,0,1,1,0,1,0,2
00424-0000000803,0,0,0,0,0,0,0
00396-0000000768,0,0,0,0,0,0,0
00342-0000000716,0,0,0,0,0,0,0
00504-0000001158,0,0,0,0,0,0,0
00505-0000001161,0,0,0,0,0,0,0
00367-0000000736,0,0,0,0,0,0,0
00346-0000000870,0,0,0,0,0,0,0
00323-0000000697,0,0,1,0,1,0,1
00500-0000001149,0,0,0,0,0,0,0
00333-0000000707,0,0,0,0,0,0,0
00401-0000000777,0,0,4,0,0,3,4
00221-0000000548,0,0,0,0,0,0,0
00108-0000000326,0,0,0,0,0,0,0
00321-0000000695,0,0,0,0,0,0,0
00509-0000001166,0,0,0,1,2,0,2
00311-0000000686,0,0,0,0,0,0,0
00308-0000002071,0,0,0,0,0,0,0
00310-0000000685,0,0,0,0,0,0,0
00319-0000000994,0,0,0,0,0,0,0
00510-0000002051,0,0,0,0,0,0,0
00511-0000002049,0,2,0,0,0,0,2
00309-0000000684,0,0,0,0,0,0,0
00298-0000002102,0,0,0,0,0,0,0
00306-0000000945,0,0,0,0,0,0,0
00307-0000000682,0,0,0,0,0,0,0
00313-0000000688,0,0,0,0,0,0,0
00503-0000001156,0,0,0,0,0,0,0
00502-0000001154,0,0,0,0,0,0,0
00322-0000000696,0,0,0,0,0,0,0
00317-0000000692,0,0,0,0,0,0,0
00297-0000000674,0,0,1,0,1,0,1
00501-0000001152,0,0,0,0,0,0,0
00304-0000000679,0,0,0,0,0,0,0
00695-0000002011,0,0,0,0,0,0,0
00694-0000002010,0,0,0,0,0,0,0
00692-0000002008,0,0,0,0,0,0,0
00690-0000002070,0,0,0,0,0,0,0
00689-0000002005,0,0,0,0,0,0,0
00688-0000002004,0,0,0,0,0,0,0
00273-0000000627,0,0,0,0,0,0,0
00727-0000002135,0,0,0,0,0,0,0
00448-0000001002,0,0,0,0,0,0,0
00522-0000001241,0,0,0,0,0,0,0
00697-0000002027,0,0,0,0,0,0,0
00696-0000002026,0,0,0,0,0,0,0
00272-0000000626,0,0,0,0,0,0,0
00516-0000001193,0,0,0,0,0,0,0
00517-0000001195,0,0,0,0,0,0,0
00054-0000000069,0,0,0,0,0,0,0
00057-0000000072,0,0,0,0,0,0,0
00220-0000000547,0,0,0,0,0,0,0
00107-0000000325,0,0,1,0,0,0,1
00056-0000000071,1,0,0,0,1,1,1
00116-0000000334,0,0,0,0,0,0,0
00199-0000000515,0,0,0,0,0,0,0
