id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
00721-0000002104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00156-0000000430,11,0,1,1,3,0,0,16,1,1,0,0,2,17
00155-0000000993,2,0,1,1,3,0,0,3,1,1,0,1,2,6
00515-0000001182,1,0,1,1,7,0,0,1,1,1,0,0,1,7
00066-0000002157,0,0,0,0,0,0,0,4,0,0,0,0,1,4
00183-0000000482,0,0,4,0,0,0,0,7,0,0,0,0,5,11
00097-0000001090,0,0,0,0,0,0,0,1,0,0,0,0,0,1
00180-0000000465,0,0,1,0,1,0,0,0,0,0,0,0,0,2
00360-0000000730,0,0,0,0,1,0,0,0,0,0,0,0,0,1
00330-0000001279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00679-0000001988,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00708-0000002069,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00405-0000000781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00420-0000000801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00680-0000001989,0,0,0,0,0,0,0,1,0,0,0,0,0,1
00404-0000000780,0,0,0,0,1,0,0,0,0,0,0,0,0,1
00619-0000001735,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00647-0000001841,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00674-0000001980,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00758-0000002183,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00724-0000002132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00723-0000002131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00593-0000001703,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00676-0000001984,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00540-0000001404,0,0,0,0,0,0,0,1,0,0,0,0,0,1
00541-0000001405,0,0,0,0,0,0,0,1,0,0,0,0,0,1
00592-0000001702,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00444-0000000838,0,1,1,0,0,0,0,0,0,0,0,0,1,1
00539-0000001403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00759-0000002184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00265-0000000619,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00530-0000001269,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00294-0000000671,0,0,0,0,0,0,0,1,0,0,0,0,1,1
00705-0000002063,0,0,5,0,1,0,0,6,3,0,5,1,7,13
00634-0000001811,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00538-0000001392,0,0,1,0,0,0,0,0,0,0,0,0,0,1
00292-0000000640,0,0,0,0,0,0,0,2,0,0,0,1,0,3
00173-0000000448,0,0,1,0,1,0,0,2,1,0,0,0,2,3
00192-0000000507,0,0,0,0,0,0,0,2,0,0,0,0,1,2
00392-0000000765,0,1,3,0,0,1,0,15,2,0,0,0,8,17
00224-0000000550,0,0,0,0,0,0,0,0,0,0,0,1,0,1
00531-0000001767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00235-0000000561,0,1,1,0,0,0,0,0,0,0,0,1,1,3
00244-0000000575,0,0,4,0,0,0,0,11,1,0,2,1,9,14
00151-0000002040,0,0,0,1,0,0,0,0,0,0,0,0,0,1
00414-0000000793,2,1,0,0,11,0,0,3,2,0,2,11,0,15
00589-0000001695,2,0,0,0,2,0,0,3,0,0,2,0,0,3
00419-0000000800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00411-0000000787,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00415-0000000797,7,0,4,0,5,0,0,10,2,0,7,0,3,16
00537-0000001995,1,2,3,0,0,0,0,9,5,0,1,0,3,12
00413-0000000791,2,0,1,1,3,0,0,6,0,2,7,0,5,11
00532-0000001280,0,1,2,0,1,0,0,1,0,0,0,1,3,4
00646-0000001840,0,0,0,0,0,0,0,5,0,0,0,0,0,5
00399-0000002012,0,0,0,0,0,0,0,3,0,0,0,0,0,3
00397-0000001398,1,0,4,0,0,2,0,45,1,0,0,0,31,45
00416-0000000798,14,0,1,0,13,0,0,13,0,0,4,0,4,18
00243-0000000574,0,0,4,0,1,0,0,4,1,0,1,1,4,7
00746-0000002169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00058-0000000073,0,0,3,1,0,0,0,3,0,0,1,0,3,4
00262-0000000613,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00579-0000001699,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00722-0000002105,0,0,1,0,0,0,0,0,0,0,0,0,0,1
00629-0000001801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00343-0000000717,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00344-0000000718,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00398-0000000774,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00365-0000002092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00327-0000000701,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00506-0000001163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00340-0000000714,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00590-0000001696,0,0,0,0,0,0,0,0,0,0,0,1,0,1
00337-0000000711,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00339-0000000713,0,0,0,0,0,0,0,1,0,0,0,0,0,1
00336-0000000710,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00332-0000000706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00355-0000000728,0,0,0,0,1,0,0,1,0,0,0,0,0,1
00354-0000000727,0,0,0,0,1,0,0,0,0,0,0,0,0,1
00348-0000002094,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00351-0000000724,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00350-0000000723,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00338-0000000712,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00325-0000001278,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00335-0000000949,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00328-0000000702,0,0,0,0,1,0,0,1,0,0,0,0,0,1
00424-0000000803,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00396-0000000768,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00342-0000000716,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00504-0000001158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00505-0000002167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00367-0000000736,0,0,1,0,0,0,0,1,0,0,0,0,0,2
00346-0000000870,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00323-0000000697,0,0,0,0,0,0,0,2,0,0,0,0,1,2
00500-0000001149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00333-0000000707,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00401-0000000777,0,0,0,0,0,0,0,5,0,0,0,0,3,5
00221-0000000548,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00108-0000000326,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00321-0000000695,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00509-0000001166,1,0,0,0,0,0,0,3,0,0,0,0,1,3
00311-0000000686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00305-0000000680,0,0,0,0,0,0,0,0,0,0,0,1,0,1
00308-0000002071,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00310-0000000685,0,0,0,0,0,0,0,1,0,0,0,0,0,1
00319-0000000994,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00510-0000002051,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00511-0000002049,0,0,0,0,4,0,0,0,0,0,0,0,1,4
00309-0000000684,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00298-0000002102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00306-0000000945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00307-0000000682,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00313-0000000688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00503-0000001156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00502-0000001153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00744-0000002159,0,0,0,0,0,0,0,3,0,0,0,0,0,3
