id,decarbonization,energy,consumption,environment,climatology,durability,society
000006,0,0,0,0,0,0,0
000008,0,0,0,0,0,0,0
000026,0,0,0,0,0,0,0
000028,0,0,0,0,0,0,0
000030,0,0,0,0,0,0,0
000052,0,0,0,0,0,0,0
000055,0,0,0,0,0,0,0
000056,0,0,0,0,0,0,0
000059,0,0,0,0,0,0,0
000063,0,0,0,0,0,0,0
000066,0,0,0,0,0,0,0
000069,0,0,0,0,0,0,0
000071,0,0,0,0,0,0,0
000074,0,0,0,0,0,0,0
000085,0,0,0,0,0,0,0
000086,0,0,0,0,0,0,0
000088,0,0,0,0,0,0,0
000089,0,0,0,0,0,0,0
000093,0,0,0,0,0,0,0
000096,0,0,0,0,0,0,0
000097,0,0,0,0,0,0,0
000101,0,0,0,0,0,0,0
000110,0,0,0,0,0,0,0
000113,0,0,0,0,0,0,0
000139,0,0,0,0,0,0,0
000152,0,0,0,0,0,0,0
000092,0,0,0,0,0,0,0
000155,0,0,0,0,0,0,0
000159,0,0,0,0,0,0,0
000163,0,0,0,0,0,0,0
000164,0,0,0,0,0,0,0
000170,0,0,0,0,0,0,0
000173,0,0,0,0,0,0,0
000191,0,0,0,0,0,0,0
000200,0,0,0,0,0,0,0
000202,0,0,0,0,0,0,0
000211,0,0,0,0,0,0,0
000213,0,0,0,0,0,0,0
000221,0,0,0,0,0,0,0
000236,0,0,0,0,0,0,0
000242,0,0,0,0,0,0,0
000244,0,0,0,0,0,0,0
000246,0,0,0,0,0,0,0
000249,0,1,1,0,0,0,0
000253,0,0,0,0,0,0,0
000259,0,0,0,0,0,0,0
000275,0,0,0,0,0,0,0
000295,0,0,0,0,0,0,0
000303,0,0,0,0,0,0,0
000330,0,0,0,0,0,0,0
000354,0,0,0,0,0,0,0
000361,0,0,0,0,0,0,0
000363,0,0,0,0,0,0,0
000383,0,0,0,0,0,0,0
000384,0,0,0,0,0,0,0
000387,0,0,0,0,0,0,0
000402,0,0,0,0,0,0,0
000407,0,0,0,0,0,0,0
000414,0,0,0,0,0,0,0
000441,0,0,0,0,0,0,0
000442,0,0,0,0,0,0,0
000447,0,0,0,0,0,0,0
000448,0,0,0,0,0,0,0
000452,0,0,0,0,0,0,0
000454,0,0,0,0,0,0,0
000456,0,0,0,0,0,0,0
000459,0,0,0,0,0,0,0
000460,0,0,0,0,0,0,0
000462,0,0,0,0,0,0,0
000463,0,0,0,0,0,0,0
000465,0,0,0,0,0,0,0
000466,0,0,0,0,0,0,0
000469,0,0,0,0,0,0,0
000470,0,0,0,0,0,0,0
000471,0,0,0,0,1,0,0
000472,0,0,0,0,0,0,0
000445,0,0,0,0,0,0,0
000483,0,0,0,0,0,0,0
000485,0,0,0,0,0,0,0
000488,0,1,1,0,0,0,0
000467,0,0,0,0,0,0,0
000490,0,0,0,0,0,0,0
000494,0,0,0,0,0,0,0
000502,0,0,0,0,0,0,0
000503,0,0,0,0,0,0,0
000508,0,0,0,0,0,0,0
000514,0,0,0,0,0,0,0
000529,0,0,0,0,0,0,0
000546,0,0,0,0,0,0,0
000548,0,0,0,0,0,0,0
000602,0,0,0,0,0,0,0
000498,0,0,0,0,0,0,0
000635,0,0,0,0,0,0,0
