code,shift_score,shiftpatterns,class,teachers,climate_score,climate_patterns,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
LBARC1101,0.0,{},Projet d'architecture 1 : initiation,"['Capron Jean-Luc', ' De Myttenaere Michèle', ' Raucent Marie-Christine', ' Van Craen Ariane', ' Vilet Guénola', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LBARC1301,0.0,{},Projet d'architecture 3 : confirmation,"['Caucheteux Philippe', ' Honhon Philippe', ' Wuillaume Gregoire', '']",0.0,{},0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
LBARC1202,0.0,{},Projet d'architecture thématique : architectonique,"['Caucheteux Philippe', ' Raucent Marie-Christine', ' Van de Kerchove Pascale', ' Vilet Guénola', '']",0.0,{},0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
LBARC1307,0.0,{},Projet d'architecture thématique : territoire,"['Caucheteux Philippe', ' Denef Julie', ' Honhon Philippe', ' Kandjee Thierry', ' Wuillaume Gregoire', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LBARC1120,0.0,{},Géométrie spatiale : initiation aux modes de représentation,"['Delcommune Thierry', ' Malevez Jerome', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBARC1122,0.0,{},Moyens d'expression et représentation : initiation,"['De Myttenaere Michèle', ' Houdé Joelle', ' Malevez Jerome', ' Perez Perez Manuel', ' Raucent Marie-Christine', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LBARC1221,0.0,{},Moyens d'expression et représentation : exploration,"['Houdé Joelle', ' Malevez Jerome', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LBARC1224,0.0,{},Moyens d'expression et représentation : approfondissement,"['Cipolat Francesco', ' Houdé Joelle', ' Perez Perez Manuel', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
LBARC1321,0.0,{},Moyens d'expression et représentation : confirmation,"['Couwenbergh Jean', ' Houdé Joelle', ' Malevez Jerome', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
LBARC1105,0.0,{},Introduction à l'architecture,"['Chanvillard Cécile', ' Fontaine Christine', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
