id,name,year,teacher,language,cycle,ects,content,url,faculty,campus,program,programlinks,shift_score,shiftpatterns,climate_score,climate_patterns,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
OCEA0060-1,Advanced Marine Zoology,2020-2021 ,"['Patrick\xa0Dauby', 'Mathieu\xa0Poulicek', 'Christian\xa0Michel', 'Mathieu\xa0Poulicek']",['en'],['master'],[6],"
Biology of benthos and necton animals : invertebrates
Dans le cadre de ce cours nous nous efforçons de décrire systématiquement une série de facettes relatives à tous les phyla d'invertébrés marins (des unicellulaires aux chordés). Sont décrits pour chacun des groupes : le plan de structure et leurs variations au sein du phylum, les larves et le mode de reproduction, les moyens de déplacements éventuels et le mode de prise des aliments. Enfin on termine par quelques remarques d'ordre plus écologique (abondance et diversité, impact sur l'environnement...).


Le cours est systématiquement illustré de diapositives (classiques ou powerpoint) de manière à montrer les organismes ainsi que de transparents pour illustrer les structures.


Ecoethology of the marine animals
En matière de comportement, les poissons marins, et notamment les labridés méditerranéens nous fournissent un ensemble varié d'adaptations, de structures sociales, de stratégies de reproductions, en relation avec l'environnement. Les chercheurs de l'Université de Liège se sont penchés sur eux depuis plus de 40 ans, et les travaux réalisés permettent de mieux percevoir cette diversité.


Ecology of the coral reefs
Le cours consiste en une mise au point synthétique sur les cnidaires récifaux (morphologie, biologie, systématique, fonctionnement des symbioses, essentiellement en eaux chaudes) avant d'aborder différentes facettes de la structure et du fonctionnement des récifs coralliens : émergence paléontologique du phénomène récifal, structure et zonation d'un récif,  évolution géologique des structures récifales (récifs frangeant, barrière, plateau et atolls), zoogéographie des récifs coralliens, communautés animales associées au différentes niches écologiques, fonctionnement trophique du récif, ...
Le cours se termine par un aperçu socio-économique de l'importance des récifs et les dangers qui les guettent (impact des activités touristiques, ""global change"", blanchiment et autres pathologies, surexploitation des ressources, ... )",https://www.programmes.uliege.be/cocoon/20202021/cours/OCEA0060-1.html,['Faculté des Sciences'],['Liège Sart-Tilman'],"['Master en océanographie, à finalité (MER - Erasmus mundus)']",,0.8267044164643681,"{""ecology of the"": 1, ""ecology of"": 1, ""ecology"": 1, ""ecologiques fonctionnement trophique"": 1, ""ecologiques fonctionnement"": 1, ""ecologiques"": 1, ""ecologique abondance diversite"": 1, ""ecologique abondance"": 1, ""ecologique"": 1}",0.0,{},1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
MECA0515-1,Advanced thermal systems,2020-2021 ,['Vincent\xa0Lemort'],['en'],['master'],[3],"Au cours de sa carrière, l'ingénieur électromécanicien devra sans cesse faire preuve de créativité en concevant ou adaptant des machines et systèmes thermiques qui répondent aux besoins du secteur de l'énergie, secteur en permanente évolution.



A titre d'exemples, on assiste actuellement au développent de moteurs à combustion externes permettant l'exploitation des sources d'énergie renouvelables, de systèmes permettant la valorisation des rejets de chaleur (en industrie, dans l'automobile, dans les bâtiment), de composants HVAC adaptés à l'évolution de l'habitat (par exemple, les bâtiments basse énergie) et aussi compatibles avec le développement des smart grid et de systèmes de micro-cogénération.





Ce cours vise à informer l'étudiant des technologies avancées de machines et systèmes thermiques et de le familiariser avec des techniques de modélisation et de simulation permettant de les dimensionner et d'en évaluer les performances à pleine charge et à charge partielle. On abordera autant les machines motrices que réceptrices.




La première partie de cours traitera des conceptions avancées de machines volumétriques (compresseurs et expanseurs). On y abordera la modélisation 1D de ces machines volumétriques permettant d'en générer les diagrammes indicateurs. Pour ce faire, on établira les équations différentielles de conservation de la masse et de l'énergie que l'on résoudra numériquement.




La seconde partie du cours s'intéressera aux machines à compression de vapeur. On abordera les cycles de Rankine organiques (ORC) en listant les critères à considérer lors du choix du fluide de travail et de la machine de détente, en explorant les différentes architectures du cycle et en décrivant les stratégies de contrôle de tels systèmes. En mode récepteur, on décrira différentes configurations et utilisations avancées de pompes à chaleur : pompes à chaleur haute température, machines transcritiques, pompes à chaleur dédiées aux bâtiments passifs, réfrigération basse température.




La troisième partie du cours traitera des systèmes de stockage énergétiques thermiques et par air comprimé.




La quatrième partie de cours détaillera les derniers développements réalisés dans le domaine des machines à sorption (absorption et adsorption) : choix des couples sorbant/réfrigérant, utilisation en pompe à chaleur, climatisation solaire, etc. Tout comme pour les seconde et troisième parties du cours, des techniques de modélisation en régime établi seront présentées.




La cinquième partie du cours couvrira différentes technologies qui présentent un intérêt certains pour le secteur de l'énergie : notamment, des configurations avancées de cycles trithermes, la thermoélectricité, et l'exploitation de l'effet magnétocalorique en réfrigération et en production de puissance.",https://www.programmes.uliege.be/cocoon/20202021/cours/MECA0515-1.html,['Faculté des Sciences Appliquées'],['Liège Sart-Tilman'],"['Master : ingénieur civil électromécanicien, à finalité']",,0.4558476577533948,"{""solaire etc. seconde"": 1, ""solaire etc."": 1, ""solaire"": 1, ""climatisation solaire etc."": 1, ""climatisation solaire"": 1, ""climatisation"": 1}",0.0,{},0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0
AERO0032-1,Aeroelasticity and experimental aerodynamics,2020-2021 ,"['Thomas\xa0Andrianne', 'Grigorios\xa0Dimitriadis']",['en'],"['master', 'master']","[5, 5]","L'aéroélasticité est l'étude de l'interaction entre les forces inertielles, élastiques et aérodynamiques qui s'appliquent sur les avions, les ponts, les éoliennes, les câbles haute tension et d'autres structures du domaine de l'ingénieur. Cette interaction peut mener à des phénomènes peu désirables tels que le flottement, la divergence statique et l'inversion de commandes de contrôle. Un grand nombre d'accidents ont été attribués aux effets aéroélastiques, commençant par le bombardier Handley Page O/400 en 1916. Depuis lors il y eu plusieurs désastres tels que la destruction du Tacoma Narrows Bridge (1940) ou la perte de l'avion à énergie solaire Helios (2003). Très clairement, le design aéroélastique est une partie importante du design de chaque structure aérospatiale.",https://www.programmes.uliege.be/cocoon/20202021/cours/AERO0032-1.html,"['Faculté des Sciences Appliquées', 'Faculté des Sciences Appliquées']","['Liège Sart-Tilman', '']","['Master : ingénieur civil en aérospatiale, à finalité spécialisée en ""turbomachinery aeromechanics (THRUST)""', 'Master : ingénieur civil en aérospatiale, à finalité']",,0.9582675469520638,"{""solaire helios clairement"": 1, ""solaire helios"": 1, ""solaire"": 1, ""eoliennes cables haute"": 1, ""eoliennes cables"": 1, ""eoliennes"": 1}",0.0,{},0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AGRO0016-1,Agriculture,2020-2021 ,"['Frédéric\xa0Lebeau', 'Manfred\xa0Greger']",['fr'],['master'],[4],"
Partim 1 : Consommation et production énergétiques en agriculture

Consommation et production énergétique en agriculture



Dans le contexte de la transition énergétique, le secteur agricole doit d'une part réduire sa dépendance aux énergies fossiles mais peut également contribuer au développment des énergies renouvelables. 


Le cours forme les étudiants aux enjeux énergétiques dans le secteur agricole


Partim 2 : Energie et biomasse
Ce cours présente une des sources d'énergie renouvelable qui est pertienente dans le contexte belge : biomasse, et l'éventuel future vecteur hydrogène. Le cours présente la ressource, les technologies de captation et de conversion, des éléments de dimensionnement,  et une analyse des impacts environnementaux.",https://www.programmes.uliege.be/cocoon/20202021/cours/AGRO0016-1.html,['Faculté des Sciences'],['Arlon'],"[""Master de spécialisation en gestion durable de l'énergie""]",,0.08228661590158459,"{""transition energetique secteur"": 1, ""transition energetique"": 1}",0.0,{},0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
ENVT0065-1,Agrométéorologie,2020-2021 ,['Bernard\xa0Tychon'],['fr'],"['master', 'master', 'master']","[2, 2, 2]","Définition de l'agrométéorologie et domaines d'application.


Calcul du bilan radiatif et modèle de biomasse utilisant l'efficience d'utilisation du rayonnement.


Calcul des évapotranspirations.


Aquacrop, un modèle de croissance de culture.


Calculs des flux de quantité de mouvement, de chaleur, de vapeur d'eau et de CO2 entre le couvert végétal et l'atmosphère.


Base de l'agroclimatologie et applications pour la détermination des longueurs des saisons culturales.


Développement végétal et conditions météorologiques.",https://www.programmes.uliege.be/cocoon/20202021/cours/ENVT0065-1.html,"['Faculté des Sciences', 'Faculté des Sciences', 'Faculté des Sciences']","['Arlon', 'Arlon', 'Arlon']","[""Master en sciences et gestion de l'environnement, à finalité"", ""Master en sciences et gestion de l'environnement"", ""Master de spécialisation en sciences et gestion de l'environnement dans les pays en développement""]",,0.035730786474733045,"{""co2 couvert vegetal"": 1, ""co2 couvert"": 1, ""co2"": 1}",0.0,{},0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
GEOG0603-3,Analyse et gestion des paysages,2020-2021 ,['Serge\xa0Schmitz'],['fr'],['master'],[6],"1) Diversité des approches du paysage dans le monde scientifique et politique2) Le paysage matière, le paysage aspect, le paysage perçu3) Visibilité, stabilité, conformité, intégrité4) L'écologie du paysage5) La convention européenne du paysage6) La gestion paysagère7) Le paysage ordinaire",https://www.programmes.uliege.be/cocoon/20202021/cours/GEOG0603-3.html,['Faculté des Sciences'],['Liège Sart-Tilman'],"['Master en sciences géographiques, orientation générale, à finalité']",,0.6807449022872356,"{""ecologie paysage5 convention"": 1, ""ecologie paysage5"": 1, ""ecologie"": 1}",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FORE0008-2,Analyse et valorisation stationnelles,2020-2021 ,['Hugues\xa0Claessens'],['fr'],['master'],[3],"
Partie 1 : bases théoriques de l'analyse des stations


 - caractérisation abiotique


 - caractérisation floristique


 - les classifications écologiques


 
Partie 2 : cas d'étude de la Wallonie


 - approche abiotique : conditions écologiques, territoires écologiques, matrice de référence, typologie géomorphopédologique.


 - approche floristique : phytogéographie, groupes écologiques, syntaxonomie.


 - catalogue des stations",https://www.programmes.uliege.be/cocoon/20202021/cours/FORE0008-2.html,['Gembloux Agro-Bio Tech'],['Gembloux'],"['Master : bioingénieur en gestion des forêts et des espaces naturels, à finalité']",,2.3589550616387407,"{""ecologiques territoires ecologiques"": 1, ""ecologiques territoires"": 1, ""ecologiques syntaxonomie -"": 1, ""ecologiques syntaxonomie"": 1, ""ecologiques partie cas"": 1, ""ecologiques partie"": 1, ""ecologiques matrice reference"": 1, ""ecologiques matrice"": 1, ""ecologiques"": 1}",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GERE0023-1,"Analyse spatiale, organisation des sols dans le paysage et conservation des sols",2020-2021 ,"['Gilles\xa0Colinet', 'Jean-Thomas\xa0Cornelis', 'Aurore\xa0Degré', 'Jeroen\xa0Meersmans', 'Youri\xa0Rothfuss']",['fr'],"['master', 'master']","[6, 6]","Le cours aborde la gestion des bassins versants agricoles en vue de la conservation des eaux et des sols. Il propose aux étudiants des bases théoriques mais aussi leur mise en application via l'analyse d'un cas concret visant à l'aménagement agronomique et hydraulique d'un bassin versant et la quantification des effets sur l'hydrologie et les pertes en sol. 


 Le contenu du cours couvre : 


 Les différentes formes de l'érosion,


 Les différents types d'érosion hydrique,


 Les mesures de terrain pour la quantification de l'érosion,


 La modélisation des pertes en terre,


 Les techniques d'aménagement de conservation des eaux et des sols


 Notions de modélisation cartographique appliquée à la conservation des eaux et des sols. 


 Une application pratique est proposée, en groupe de 4-5 étudiants.


 Par ailleurs, le cours abordera aussi les méthodes d'analyses physico-chimiques des sols, les principes d'analyse pédopaysagère et de cartographie des sols. Cette partie du cours sera organisée comme suit:


 - Fonctions écosystémiques des sols au sein des paysages.


 - Méthodes d'analyses physico-chimiques des sols


 - Analyse pédopaysagère


 - Classification des sols


 - Système d'information géographique sur les sols


 - Notion de pédoclimat


 Enfin, dans une troisième partie, les méthodes relatives à l'analyse exploratoire des données, à l'analyse spatiale des propriétés des sols et les techniques d'interpolation spatiale seront abordées.  


 Ces notions seront vues en cours magistraux, séances pratiques sur PC et sorties de terrain.


 Un travail de groupe servira d'évaluation finale.",https://www.programmes.uliege.be/cocoon/20202021/cours/GERE0023-1.html,"['Gembloux Agro-Bio Tech', 'Gembloux Agro-Bio Tech']","['Gembloux', '']","[""Master : bioingénieur en sciences et technologies de l'environnement, à finalité"", 'Master en smart ruralité, à finalité']",,0.30608256651832555,"{""ecosystemiques sols paysages"": 1, ""ecosystemiques sols"": 1, ""ecosystemiques"": 1}",0.0,{},0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
LANG2972-1,Anglais 1,2020-2021 ,['Véronique\xa0Doppagne'],['en'],['master'],[2],"

Pesticides 
Recyclage 
Protection de l'environnement 
Les changements de l'environnement 
Défis environnementaux 
Energies renouvelables 
Groupes de préservation de l'environnement 
La faim dans le monde 
Etre écologique 
Termes écologiques 
La malnutrition dans les pays en voie de développement 
L'indice de développement humain 
La pauvreté 
Les produits chimiques 
News sur l'environnement 
Les nouvelles technologies en matière environnementale",https://www.programmes.uliege.be/cocoon/20202021/cours/LANG2972-1.html,['Gembloux Agro-Bio Tech'],['Gembloux'],"['Master en agroécologie, à finalité']",,1.2673923499184223,"{""ecologiques malnutrition pays"": 1, ""ecologiques malnutrition"": 1, ""ecologiques"": 1, ""ecologique termes ecologiques"": 1, ""ecologique termes"": 1, ""ecologique"": 1}",0.0,{},1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
LANG2973-1,Anglais 2,2020-2021 ,['Véronique\xa0Doppagne'],['en'],[],[],"

Pesticides 
Recyclage 
Protection de l'environnement 
Les changements de l'environnement 
Défis environnementaux 
Energies renouvelables 
Groupes de préservation de l'environnement 
La faim dans le monde 
Etre écologique 
Termes écologiques 
La malnutrition dans les pays en voie de développement 
L'indice de développement humain 
La pauvreté 
Les produits chimiques 
News sur l'environnement 
Les nouvelles technologies en matière environnementale",https://www.programmes.uliege.be/cocoon/20202021/cours/LANG2973-1.html,[''],[''],[],[],1.2673923499184223,"{""ecologiques malnutrition pays"": 1, ""ecologiques malnutrition"": 1, ""ecologiques"": 1, ""ecologique termes ecologiques"": 1, ""ecologique termes"": 1, ""ecologique"": 1}",0.0,{},1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
