id,name,year,teacher,language,cycle,ects,content,url,faculty,campus,program,shift_score,shiftpatterns,climate_score,climate_patterns,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
AGRE2221,Apprendre et enseigner avec les nouvelles technologies et exercices  ,2020-2021,[],['fr'],['Master'],[2],"Méthodes d'enseignement
Les modalités d'enseignement et d'évaluation des unités d'enseignement ont été rédigées en fonction de la situation à la rentrée académique 2020-2021. Cependant, ces modalités pourraient faire 
l'objet de modifications en fonction de l'évolution de la crise sanitaire liée à la covid-19. Les étudiants seront informés de toute modification de la situation générale 
(passage à l'enseignement à distance partiel ou complet) par les autorités de l'UNamur tandis que les modifications propres à chaque unité d'enseignement leur seront communiquées par les enseignants, via webcampus


      Mode d'évaluation
Les modalités d'enseignement et d'évaluation des unités d'enseignement ont été rédigées en fonction de la situation à la rentrée académique 2020-2021. Cependant, ces modalités pourraient faire 
l'objet de modifications en fonction de l'évolution de la crise sanitaire liée à la covid-19. Les étudiants seront informés de toute modification de la situation générale 
(passage à l'enseignement à distance partiel ou complet) par les autorités de l'UNamur tandis que les modifications propres à chaque unité d'enseignement leur seront communiquées par les enseignants, via webcampus


      
     
      Langue d'enseignementFrançais
      Lieu de l'activitéLOUVAIN-LA-NEUVE
      Faculté organisatrice
        Faculté des sciencesRue de Bruxelles, 615000 NAMUR
      CycleEtudes de 2ème cycle
      
     BlocCrédits
      Master 120 en biologie des organismes et écologie, à finalité didactique22",https://directory.unamur.be/teaching/courses/AGRE2221/2020,Faculté des sciences,LOUVAIN-LA-NEUVE,"['Master 120 en biologie des organismes et écologie, à finalité didactique']",0.8271874346698728,"{""ecologie finalite didactique22"": 1, ""ecologie finalite"": 1, ""ecologie"": 1}",0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
AGRE2310,Exercices de micro-enseignement ,2020-2021,[],['fr'],['Master'],[2],"Méthodes d'enseignement
Les modalités d'enseignement et d'évaluation des unités d'enseignement ont été rédigées en fonction de la situation à la rentrée académique 2020-2021. Cependant, ces modalités pourraient faire 
l'objet de modifications en fonction de l'évolution de la crise sanitaire liée à la covid-19. Les étudiants seront informés de toute modification de la situation générale 
(passage à l'enseignement à distance partiel ou complet) par les autorités de l'UNamur tandis que les modifications propres à chaque unité d'enseignement leur seront communiquées par les enseignants, via webcampus


      Mode d'évaluation
Les modalités d'enseignement et d'évaluation des unités d'enseignement ont été rédigées en fonction de la situation à la rentrée académique 2020-2021. Cependant, ces modalités pourraient faire 
l'objet de modifications en fonction de l'évolution de la crise sanitaire liée à la covid-19. Les étudiants seront informés de toute modification de la situation générale 
(passage à l'enseignement à distance partiel ou complet) par les autorités de l'UNamur tandis que les modifications propres à chaque unité d'enseignement leur seront communiquées par les enseignants, via webcampus


      
     
      Langue d'enseignementFrançais
      Lieu de l'activitéLOUVAIN-LA-NEUVE
      Faculté organisatrice
        Faculté des sciencesRue de Bruxelles, 615000 NAMUR
      CycleEtudes de 2ème cycle
      
     BlocCrédits
      Master 120 en biologie des organismes et écologie, à finalité didactique22",https://directory.unamur.be/teaching/courses/AGRE2310/2020,Faculté des sciences,LOUVAIN-LA-NEUVE,"['Master 120 en biologie des organismes et écologie, à finalité didactique']",0.8271874346698728,"{""ecologie finalite didactique22"": 1, ""ecologie finalite"": 1, ""ecologie"": 1}",0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
BIOE2001,Biodiversité marine - expertise flore ,2020-2021,[],['fr'],"['Master', 'Master', 'Master', 'Master', 'Master', 'Master']","[6, 6, 6, 6, 6, 6]","Méthodes d'enseignement
Les modalités d'enseignement et d'évaluation des unités d'enseignement ont été rédigées en fonction de la situation à la rentrée académique 2020-2021. Cependant, ces modalités pourraient faire 
l'objet de modifications en fonction de l'évolution de la crise sanitaire liée à la covid-19. Les étudiants seront informés de toute modification de la situation générale 
(passage à l'enseignement à distance partiel ou complet) par les autorités de l'UNamur tandis que les modifications propres à chaque unité d'enseignement leur seront communiquées par les enseignants, via webcampus


      Mode d'évaluation
Les modalités d'enseignement et d'évaluation des unités d'enseignement ont été rédigées en fonction de la situation à la rentrée académique 2020-2021. Cependant, ces modalités pourraient faire 
l'objet de modifications en fonction de l'évolution de la crise sanitaire liée à la covid-19. Les étudiants seront informés de toute modification de la situation générale 
(passage à l'enseignement à distance partiel ou complet) par les autorités de l'UNamur tandis que les modifications propres à chaque unité d'enseignement leur seront communiquées par les enseignants, via webcampus


      
     
      Langue d'enseignementFrançais
      Lieu de l'activitéLOUVAIN-LA-NEUVE
      Faculté organisatrice
        Faculté des sciencesRue de Bruxelles, 615000 NAMUR
      CycleEtudes de 2ème cycle
      
     BlocCrédits
      Master 120 en biologie des organismes et écologie, à finalité approfondie16
      Master 120 en biologie des organismes et écologie, à finalité didactique16
      Master 120 en biologie des organismes et écologie, à finalité spécialisée16
      Master 120 en biologie des organismes et écologie, à finalité approfondie26
      Master 120 en biologie des organismes et écologie, à finalité didactique26
      Master 120 en biologie des organismes et écologie, à finalité spécialisée26",https://directory.unamur.be/teaching/courses/BIOE2001/2020,Faculté des sciences,LOUVAIN-LA-NEUVE,"['Master 120 en biologie des organismes et écologie, à finalité approfondie', 'Master 120 en biologie des organismes et écologie, à finalité didactique', 'Master 120 en biologie des organismes et écologie, à finalité spécialisée', 'Master 120 en biologie des organismes et écologie, à finalité approfondie', 'Master 120 en biologie des organismes et écologie, à finalité didactique', 'Master 120 en biologie des organismes et écologie, à finalité spécialisée']",2.2456095045084314,"{""ecologie finalite specialisee26"": 1, ""ecologie finalite specialisee16"": 1, ""ecologie finalite didactique26"": 1, ""ecologie finalite didactique16"": 1, ""ecologie finalite approfondie26"": 1, ""ecologie finalite approfondie16"": 1, ""ecologie finalite"": 1, ""ecologie"": 1}",0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
BIOE2002,Biodiversité marine - expertise faune  ,2020-2021,[],['fr'],"['Master', 'Master', 'Master', 'Master', 'Master', 'Master']","[6, 6, 6, 6, 6, 6]","Méthodes d'enseignement
Les modalités d'enseignement et d'évaluation des unités d'enseignement ont été rédigées en fonction de la situation à la rentrée académique 2020-2021. Cependant, ces modalités pourraient faire 
l'objet de modifications en fonction de l'évolution de la crise sanitaire liée à la covid-19. Les étudiants seront informés de toute modification de la situation générale 
(passage à l'enseignement à distance partiel ou complet) par les autorités de l'UNamur tandis que les modifications propres à chaque unité d'enseignement leur seront communiquées par les enseignants, via webcampus


      Mode d'évaluation
Les modalités d'enseignement et d'évaluation des unités d'enseignement ont été rédigées en fonction de la situation à la rentrée académique 2020-2021. Cependant, ces modalités pourraient faire 
l'objet de modifications en fonction de l'évolution de la crise sanitaire liée à la covid-19. Les étudiants seront informés de toute modification de la situation générale 
(passage à l'enseignement à distance partiel ou complet) par les autorités de l'UNamur tandis que les modifications propres à chaque unité d'enseignement leur seront communiquées par les enseignants, via webcampus


      
     
      Langue d'enseignementFrançais
      Lieu de l'activitéLOUVAIN-LA-NEUVE
      Faculté organisatrice
        Faculté des sciencesRue de Bruxelles, 615000 NAMUR
      CycleEtudes de 2ème cycle
      
     BlocCrédits
      Master 120 en biologie des organismes et écologie, à finalité approfondie16
      Master 120 en biologie des organismes et écologie, à finalité didactique16
      Master 120 en biologie des organismes et écologie, à finalité spécialisée16
      Master 120 en biologie des organismes et écologie, à finalité approfondie26
      Master 120 en biologie des organismes et écologie, à finalité didactique26
      Master 120 en biologie des organismes et écologie, à finalité spécialisée26",https://directory.unamur.be/teaching/courses/BIOE2002/2020,Faculté des sciences,LOUVAIN-LA-NEUVE,"['Master 120 en biologie des organismes et écologie, à finalité approfondie', 'Master 120 en biologie des organismes et écologie, à finalité didactique', 'Master 120 en biologie des organismes et écologie, à finalité spécialisée', 'Master 120 en biologie des organismes et écologie, à finalité approfondie', 'Master 120 en biologie des organismes et écologie, à finalité didactique', 'Master 120 en biologie des organismes et écologie, à finalité spécialisée']",2.2456095045084314,"{""ecologie finalite specialisee26"": 1, ""ecologie finalite specialisee16"": 1, ""ecologie finalite didactique26"": 1, ""ecologie finalite didactique16"": 1, ""ecologie finalite approfondie26"": 1, ""ecologie finalite approfondie16"": 1, ""ecologie finalite"": 1, ""ecologie"": 1}",0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
BIRE2101,Analyse statistique de données spatiales et temporelles ,2020-2021,[],['fr'],"['Master', 'Master', 'Master', 'Master', 'Master', 'Master']","[3, 3, 3, 3, 3, 3]","Méthodes d'enseignement
Les modalités d'enseignement et d'évaluation des unités d'enseignement ont été rédigées en fonction de la situation à la rentrée académique 2020-2021. Cependant, ces modalités pourraient faire 
l'objet de modifications en fonction de l'évolution de la crise sanitaire liée à la covid-19. Les étudiants seront informés de toute modification de la situation générale 
(passage à l'enseignement à distance partiel ou complet) par les autorités de l'UNamur tandis que les modifications propres à chaque unité d'enseignement leur seront communiquées par les enseignants, via webcampus


      Mode d'évaluation
Les modalités d'enseignement et d'évaluation des unités d'enseignement ont été rédigées en fonction de la situation à la rentrée académique 2020-2021. Cependant, ces modalités pourraient faire 
l'objet de modifications en fonction de l'évolution de la crise sanitaire liée à la covid-19. Les étudiants seront informés de toute modification de la situation générale 
(passage à l'enseignement à distance partiel ou complet) par les autorités de l'UNamur tandis que les modifications propres à chaque unité d'enseignement leur seront communiquées par les enseignants, via webcampus


      
     
      Langue d'enseignementFrançais
      Lieu de l'activitéLOUVAIN-LA-NEUVE
      Faculté organisatrice
        Faculté des sciencesRue de Bruxelles, 615000 NAMUR
      CycleEtudes de 2ème cycle
      
     BlocCrédits
      Master 120 en biologie des organismes et écologie, à finalité approfondie13
      Master 120 en biologie des organismes et écologie, à finalité didactique13
      Master 120 en biologie des organismes et écologie, à finalité spécialisée13
      Master 120 en biologie des organismes et écologie, à finalité approfondie23
      Master 120 en biologie des organismes et écologie, à finalité spécialisée23
      Master 120 en biologie des organismes et écologie, à finalité didactique23",https://directory.unamur.be/teaching/courses/BIRE2101/2020,Faculté des sciences,LOUVAIN-LA-NEUVE,"['Master 120 en biologie des organismes et écologie, à finalité approfondie', 'Master 120 en biologie des organismes et écologie, à finalité didactique', 'Master 120 en biologie des organismes et écologie, à finalité spécialisée', 'Master 120 en biologie des organismes et écologie, à finalité approfondie', 'Master 120 en biologie des organismes et écologie, à finalité spécialisée', 'Master 120 en biologie des organismes et écologie, à finalité didactique']",2.0419371636318107,"{""ecologie finalite specialisee23"": 1, ""ecologie finalite specialisee13"": 1, ""ecologie finalite didactique23"": 1, ""ecologie finalite didactique13"": 1, ""ecologie finalite approfondie23"": 1, ""ecologie finalite approfondie13"": 1, ""ecologie finalite"": 1, ""ecologie"": 1}",0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
BIRE2102,Géomatique appliquée ,2020-2021,[],['fr'],"['Master', 'Master', 'Master', 'Master', 'Master', 'Master']","[4, 4, 4, 4, 4, 4]","Méthodes d'enseignement
Les modalités d'enseignement et d'évaluation des unités d'enseignement ont été rédigées en fonction de la situation à la rentrée académique 2020-2021. Cependant, ces modalités pourraient faire 
l'objet de modifications en fonction de l'évolution de la crise sanitaire liée à la covid-19. Les étudiants seront informés de toute modification de la situation générale 
(passage à l'enseignement à distance partiel ou complet) par les autorités de l'UNamur tandis que les modifications propres à chaque unité d'enseignement leur seront communiquées par les enseignants, via webcampus


      Mode d'évaluation
Les modalités d'enseignement et d'évaluation des unités d'enseignement ont été rédigées en fonction de la situation à la rentrée académique 2020-2021. Cependant, ces modalités pourraient faire 
l'objet de modifications en fonction de l'évolution de la crise sanitaire liée à la covid-19. Les étudiants seront informés de toute modification de la situation générale 
(passage à l'enseignement à distance partiel ou complet) par les autorités de l'UNamur tandis que les modifications propres à chaque unité d'enseignement leur seront communiquées par les enseignants, via webcampus


      
     
      Langue d'enseignementFrançais
      Lieu de l'activitéLOUVAIN-LA-NEUVE
      Faculté organisatrice
        Faculté des sciencesRue de Bruxelles, 615000 NAMUR
      CycleEtudes de 2ème cycle
      
     BlocCrédits
      Master 120 en biologie des organismes et écologie, à finalité approfondie14
      Master 120 en biologie des organismes et écologie, à finalité didactique14
      Master 120 en biologie des organismes et écologie, à finalité spécialisée14
      Master 120 en biologie des organismes et écologie, à finalité approfondie24
      Master 120 en biologie des organismes et écologie, à finalité spécialisée24
      Master 120 en biologie des organismes et écologie, à finalité didactique24",https://directory.unamur.be/teaching/courses/BIRE2102/2020,Faculté des sciences,LOUVAIN-LA-NEUVE,"['Master 120 en biologie des organismes et écologie, à finalité approfondie', 'Master 120 en biologie des organismes et écologie, à finalité didactique', 'Master 120 en biologie des organismes et écologie, à finalité spécialisée', 'Master 120 en biologie des organismes et écologie, à finalité approfondie', 'Master 120 en biologie des organismes et écologie, à finalité spécialisée', 'Master 120 en biologie des organismes et écologie, à finalité didactique']",2.07092372815303,"{""ecologie finalite specialisee24"": 1, ""ecologie finalite specialisee14"": 1, ""ecologie finalite didactique24"": 1, ""ecologie finalite didactique14"": 1, ""ecologie finalite approfondie24"": 1, ""ecologie finalite approfondie14"": 1, ""ecologie finalite"": 1, ""ecologie"": 1}",0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
BIRE2105,Evaluation de la qualité des eaux et des sols ,2020-2021,[],['fr'],"['Master', 'Master', 'Master', 'Master', 'Master', 'Master']","[3, 3, 3, 3, 3, 3]","Méthodes d'enseignement
Les modalités d'enseignement et d'évaluation des unités d'enseignement ont été rédigées en fonction de la situation à la rentrée académique 2020-2021. Cependant, ces modalités pourraient faire 
l'objet de modifications en fonction de l'évolution de la crise sanitaire liée à la covid-19. Les étudiants seront informés de toute modification de la situation générale 
(passage à l'enseignement à distance partiel ou complet) par les autorités de l'UNamur tandis que les modifications propres à chaque unité d'enseignement leur seront communiquées par les enseignants, via webcampus


      Mode d'évaluation
Les modalités d'enseignement et d'évaluation des unités d'enseignement ont été rédigées en fonction de la situation à la rentrée académique 2020-2021. Cependant, ces modalités pourraient faire 
l'objet de modifications en fonction de l'évolution de la crise sanitaire liée à la covid-19. Les étudiants seront informés de toute modification de la situation générale 
(passage à l'enseignement à distance partiel ou complet) par les autorités de l'UNamur tandis que les modifications propres à chaque unité d'enseignement leur seront communiquées par les enseignants, via webcampus


      
     
      Langue d'enseignementFrançais
      Lieu de l'activitéLOUVAIN-LA-NEUVE
      Faculté organisatrice
        Faculté des sciencesRue de Bruxelles, 615000 NAMUR
      CycleEtudes de 2ème cycle
      
     BlocCrédits
      Master 120 en biologie des organismes et écologie, à finalité approfondie13
      Master 120 en biologie des organismes et écologie, à finalité didactique13
      Master 120 en biologie des organismes et écologie, à finalité spécialisée13
      Master 120 en biologie des organismes et écologie, à finalité approfondie23
      Master 120 en biologie des organismes et écologie, à finalité didactique23
      Master 120 en biologie des organismes et écologie, à finalité spécialisée23",https://directory.unamur.be/teaching/courses/BIRE2105/2020,Faculté des sciences,LOUVAIN-LA-NEUVE,"['Master 120 en biologie des organismes et écologie, à finalité approfondie', 'Master 120 en biologie des organismes et écologie, à finalité didactique', 'Master 120 en biologie des organismes et écologie, à finalité spécialisée', 'Master 120 en biologie des organismes et écologie, à finalité approfondie', 'Master 120 en biologie des organismes et écologie, à finalité didactique', 'Master 120 en biologie des organismes et écologie, à finalité spécialisée']",2.052946066068765,"{""ecologie finalite specialisee23"": 1, ""ecologie finalite specialisee13"": 1, ""ecologie finalite didactique23"": 1, ""ecologie finalite didactique13"": 1, ""ecologie finalite approfondie23"": 1, ""ecologie finalite approfondie13"": 1, ""ecologie finalite"": 1, ""ecologie"": 1}",0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
BIRF2104,Phytosociologie  ,2020-2021,[],['fr'],"['Master', 'Master', 'Master', 'Master', 'Master', 'Master']","[3, 3, 3, 3, 3, 3]","Méthodes d'enseignement
Les modalités d'enseignement et d'évaluation des unités d'enseignement ont été rédigées en fonction de la situation à la rentrée académique 2020-2021. Cependant, ces modalités pourraient faire 
l'objet de modifications en fonction de l'évolution de la crise sanitaire liée à la covid-19. Les étudiants seront informés de toute modification de la situation générale 
(passage à l'enseignement à distance partiel ou complet) par les autorités de l'UNamur tandis que les modifications propres à chaque unité d'enseignement leur seront communiquées par les enseignants, via webcampus


      Mode d'évaluation
Les modalités d'enseignement et d'évaluation des unités d'enseignement ont été rédigées en fonction de la situation à la rentrée académique 2020-2021. Cependant, ces modalités pourraient faire 
l'objet de modifications en fonction de l'évolution de la crise sanitaire liée à la covid-19. Les étudiants seront informés de toute modification de la situation générale 
(passage à l'enseignement à distance partiel ou complet) par les autorités de l'UNamur tandis que les modifications propres à chaque unité d'enseignement leur seront communiquées par les enseignants, via webcampus


      
     
      Langue d'enseignementFrançais
      Lieu de l'activitéLOUVAIN-LA-NEUVE
      Faculté organisatrice
        Faculté des sciencesRue de Bruxelles, 615000 NAMUR
      CycleEtudes de 2ème cycle
      
     BlocCrédits
      Master 120 en biologie des organismes et écologie, à finalité approfondie13
      Master 120 en biologie des organismes et écologie, à finalité didactique13
      Master 120 en biologie des organismes et écologie, à finalité spécialisée13
      Master 120 en biologie des organismes et écologie, à finalité approfondie23
      Master 120 en biologie des organismes et écologie, à finalité didactique23
      Master 120 en biologie des organismes et écologie, à finalité spécialisée23",https://directory.unamur.be/teaching/courses/BIRF2104/2020,Faculté des sciences,LOUVAIN-LA-NEUVE,"['Master 120 en biologie des organismes et écologie, à finalité approfondie', 'Master 120 en biologie des organismes et écologie, à finalité didactique', 'Master 120 en biologie des organismes et écologie, à finalité spécialisée', 'Master 120 en biologie des organismes et écologie, à finalité approfondie', 'Master 120 en biologie des organismes et écologie, à finalité didactique', 'Master 120 en biologie des organismes et écologie, à finalité spécialisée']",2.052946066068765,"{""ecologie finalite specialisee23"": 1, ""ecologie finalite specialisee13"": 1, ""ecologie finalite didactique23"": 1, ""ecologie finalite didactique13"": 1, ""ecologie finalite approfondie23"": 1, ""ecologie finalite approfondie13"": 1, ""ecologie finalite"": 1, ""ecologie"": 1}",0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
BRAT2101,Aménagement du territoire ,2020-2021,[],['fr'],"['Master', 'Master', 'Master', 'Master', 'Master', 'Master']","[5, 5, 5, 5, 5, 5]","Méthodes d'enseignement
Les modalités d'enseignement et d'évaluation des unités d'enseignement ont été rédigées en fonction de la situation à la rentrée académique 2020-2021. Cependant, ces modalités pourraient faire 
l'objet de modifications en fonction de l'évolution de la crise sanitaire liée à la covid-19. Les étudiants seront informés de toute modification de la situation générale 
(passage à l'enseignement à distance partiel ou complet) par les autorités de l'UNamur tandis que les modifications propres à chaque unité d'enseignement leur seront communiquées par les enseignants, via webcampus


      Mode d'évaluation
Les modalités d'enseignement et d'évaluation des unités d'enseignement ont été rédigées en fonction de la situation à la rentrée académique 2020-2021. Cependant, ces modalités pourraient faire 
l'objet de modifications en fonction de l'évolution de la crise sanitaire liée à la covid-19. Les étudiants seront informés de toute modification de la situation générale 
(passage à l'enseignement à distance partiel ou complet) par les autorités de l'UNamur tandis que les modifications propres à chaque unité d'enseignement leur seront communiquées par les enseignants, via webcampus


      
     
      Langue d'enseignementFrançais
      Lieu de l'activitéLOUVAIN-LA-NEUVE
      Faculté organisatrice
        Faculté des sciencesRue de Bruxelles, 615000 NAMUR
      CycleEtudes de 2ème cycle
      
     BlocCrédits
      Master 120 en biologie des organismes et écologie, à finalité approfondie15
      Master 120 en biologie des organismes et écologie, à finalité didactique15
      Master 120 en biologie des organismes et écologie, à finalité spécialisée15
      Master 120 en biologie des organismes et écologie, à finalité approfondie25
      Master 120 en biologie des organismes et écologie, à finalité spécialisée25
      Master 120 en biologie des organismes et écologie, à finalité didactique25",https://directory.unamur.be/teaching/courses/BRAT2101/2020,Faculté des sciences,LOUVAIN-LA-NEUVE,"['Master 120 en biologie des organismes et écologie, à finalité approfondie', 'Master 120 en biologie des organismes et écologie, à finalité didactique', 'Master 120 en biologie des organismes et écologie, à finalité spécialisée', 'Master 120 en biologie des organismes et écologie, à finalité approfondie', 'Master 120 en biologie des organismes et écologie, à finalité spécialisée', 'Master 120 en biologie des organismes et écologie, à finalité didactique']",2.1532165458352246,"{""ecologie finalite specialisee25"": 1, ""ecologie finalite specialisee15"": 1, ""ecologie finalite didactique25"": 1, ""ecologie finalite didactique15"": 1, ""ecologie finalite approfondie25"": 1, ""ecologie finalite approfondie15"": 1, ""ecologie finalite"": 1, ""ecologie"": 1}",0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
BRES2106,Gestion intégrée du système sol-plante : Processus et cycles biopédologiques  ,2020-2021,[],['fr'],"['Master', 'Master', 'Master', 'Master', 'Master', 'Master']","[2, 2, 2, 2, 2, 2]","Méthodes d'enseignement
Les modalités d'enseignement et d'évaluation des unités d'enseignement ont été rédigées en fonction de la situation à la rentrée académique 2020-2021. Cependant, ces modalités pourraient faire 
l'objet de modifications en fonction de l'évolution de la crise sanitaire liée à la covid-19. Les étudiants seront informés de toute modification de la situation générale 
(passage à l'enseignement à distance partiel ou complet) par les autorités de l'UNamur tandis que les modifications propres à chaque unité d'enseignement leur seront communiquées par les enseignants, via webcampus


      Mode d'évaluation
Les modalités d'enseignement et d'évaluation des unités d'enseignement ont été rédigées en fonction de la situation à la rentrée académique 2020-2021. Cependant, ces modalités pourraient faire 
l'objet de modifications en fonction de l'évolution de la crise sanitaire liée à la covid-19. Les étudiants seront informés de toute modification de la situation générale 
(passage à l'enseignement à distance partiel ou complet) par les autorités de l'UNamur tandis que les modifications propres à chaque unité d'enseignement leur seront communiquées par les enseignants, via webcampus


      
     
      Langue d'enseignementFrançais
      Lieu de l'activitéLOUVAIN-LA-NEUVE
      Faculté organisatrice
        Faculté des sciencesRue de Bruxelles, 615000 NAMUR
      CycleEtudes de 2ème cycle
      
     BlocCrédits
      Master 120 en biologie des organismes et écologie, à finalité approfondie12
      Master 120 en biologie des organismes et écologie, à finalité didactique12
      Master 120 en biologie des organismes et écologie, à finalité spécialisée12
      Master 120 en biologie des organismes et écologie, à finalité approfondie22
      Master 120 en biologie des organismes et écologie, à finalité spécialisée22
      Master 120 en biologie des organismes et écologie, à finalité didactique22",https://directory.unamur.be/teaching/courses/BRES2106/2020,Faculté des sciences,LOUVAIN-LA-NEUVE,"['Master 120 en biologie des organismes et écologie, à finalité approfondie', 'Master 120 en biologie des organismes et écologie, à finalité didactique', 'Master 120 en biologie des organismes et écologie, à finalité spécialisée', 'Master 120 en biologie des organismes et écologie, à finalité approfondie', 'Master 120 en biologie des organismes et écologie, à finalité spécialisée', 'Master 120 en biologie des organismes et écologie, à finalité didactique']",1.975485550569312,"{""ecologie finalite specialisee22"": 1, ""ecologie finalite master"": 1, ""ecologie finalite didactique22"": 1, ""ecologie finalite didactique12"": 1, ""ecologie finalite approfondie12"": 1, ""ecologie finalite"": 1, ""ecologie"": 1}",0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
